K5P18_1.PV;K0P125.PV
-81.32083;67.2805
-81.31302;67.28725
-81.30885;67.26292
-81.30534;66.59367
-81.3026;66.731
-81.30209;66.5975
-81.2987;66.8225
-81.2961;66.602
-81.29531;67.30067
-81.29375;66.982
-81.29323;67.04166
-81.28841;67.16758
-81.28503;67.45092
-81.28477;67.05209
-81.26575;67.10667
-81.26315;66.94383
-81.25794;66.74558
-81.25664;67.73875
-81.25573;66.98425
-81.2556;67.52734
-81.24974;67.19667
-81.24753;66.73975
-81.24479;66.88225
-81.24219;67.03133
-81.24088;67.0475
-81.23347;66.45725
-81.23164;66.62867
-81.23125;67.26642
-81.21745;66.90617
-81.21445;67.01884
-81.20976;67.05217
-81.20482;67.48083
-81.2043;67.21525
-81.20013;66.47491
-81.19883;66.95483
-81.18659;67.1435
-81.17799;67.801
-81.17318;66.6115
-81.17044;66.54716
-81.1681;67.08425
-81.15664;66.82283
-81.15091;67.41209
-81.14948;67.14291
-81.14544;67.18034
-81.14375;67.14117
-81.13958;67.30891
-81.13412;67.03933
-81.13112;67.19975
-81.1306;67.15583
-81.12852;66.79984
-81.12305;66.15542
-81.12032;66.274
-81.11758;67.0425
-81.11406;67.09233
-81.10873;66.941
-81.0983;67.43467
-81.09219;67.45233
-81.08932;66.66258
-81.08607;67.29366
-81.07787;67.57716
-81.06797;67.11967
-81.06523;66.82467
-81.06419;66.69625
-81.04232;67.14167
-81.03151;66.89242
-81.02969;67.21183
-81.02799;66.96091
-81.02708;67.41625
-81.01653;67.44633
-81.01315;66.73917
-81.01185;67.08234
-81.01054;66.881
-81.0099;67.03042
-81.00573;67.14925
-80.99987;67.19308
-80.99935;67.20008
-80.99167;66.13934
-80.99088;67.31983
-80.98946;67.248
-80.98698;67.15283
-80.98086;66.29225
-80.98034;67.09133
-80.98008;67.31667
-80.9651;66.90058
-80.96432;67.04225
-80.95586;66.98942
-80.94231;66.56625
-80.94076;66.88825
-80.93919;67.37891
-80.93529;67.41641
-80.93229;66.39875
-80.92995;66.36308
-80.91185;66.84592
-80.91185;66.27116
-80.91146;67.14034
-80.91042;66.65858
-80.9099;66.70475
-80.90664;66.28575
-80.9056;67.49416
-80.9043;67.10858
-80.90286;66.96392
-80.90013;66.75275
-80.88998;67.32442
-80.88372;67.1265
-80.88203;67.00242
-80.88021;68.50992
-80.87826;66.6255
-80.87656;66.8815
-80.87357;66.83933
-80.87318;66.83633
-80.87305;67.096
-80.872;67.64575
-80.87057;67.2365
-80.86549;67.11625
-80.85963;67.03267
-80.85703;67.3105
-80.85651;66.69217
-80.85599;67.19175
-80.85117;67.39067
-80.8444;66.57325
-80.84349;66.66383
-80.84193;67.15875
-80.83971;66.438
-80.82969;67.43308
-80.8263;66.78492
-80.81875;66.68417
-80.81432;67.07967
-80.81042;67.07692
-80.80937;67.08283
-80.80846;67.00941
-80.8043;66.90858
-80.79675;66.50233
-80.79649;66.78958
-80.79636;66.73209
-80.79206;67.14367
-80.7914;67.17484
-80.78919;67.10091
-80.78451;67.11417
-80.78425;66.45766
-80.78255;66.407
-80.77018;66.95042
-80.7664;67.054
-80.76263;67.5155
-80.7612;66.96233
-80.7582;66.985
-80.75286;66.47733
-80.75182;67.01717
-80.74349;67.25567
-80.74284;66.38383
-80.74128;67.05334
-80.73997;66.53833
-80.73542;67.19675
-80.73386;66.91875
-80.73281;67.287
-80.73086;66.9745
-80.72903;66.753
-80.7237;66.9575
-80.71549;66.62617
-80.70989;66.33266
-80.69336;66.72542
-80.69231;66.9035
-80.68685;66.70892
-80.67969;66.74917
-80.67722;66.53275
-80.6737;66.738
-80.66888;67.328
-80.66771;67.037
-80.66615;67.45742
-80.66406;67.31441
-80.66354;67.21033
-80.65807;66.59642
-80.65638;66.40467
-80.65534;67.38558
-80.65065;67.09333
-80.64375;66.37875
-80.63945;67.03675
-80.63359;66.93117
-80.62904;67.45883
-80.62721;67.1075
-80.62135;67.12241
-80.61497;67.45842
-80.60287;66.838
-80.60143;66.97608
-80.59987;67.29858
-80.59883;66.92284
-80.59766;66.63892
-80.59661;66.848
-80.5948;66.68667
-80.59349;66.75417
-80.59167;67.24975
-80.59128;67.0185
-80.59075;67.15041
-80.59036;66.56175
-80.58672;67.195
-80.58177;67.16067
-80.57864;67.18559
-80.57656;66.66908
-80.56367;67.4295
-80.56198;66.84775
-80.55769;67.085
-80.55716;67.44133
-80.5556;67.36625
-80.55391;67.83117
-80.53906;66.77825
-80.53893;67.21191
-80.53893;67.08659
-80.53606;67.11242
-80.53385;66.93175
-80.52812;67.14433
-80.52435;67.29025
-80.52031;67.26308
-80.51758;66.62833
-80.51732;66.97533
-80.51458;66.45592
-80.51211;67.566
-80.5112;66.39883
-80.50872;66.78133
-80.50638;67.16666
-80.5056;67.19542
-80.50443;66.94683
-80.49922;66.45825
-80.49753;67.06
-80.4888;66.36983
-80.48542;66.6425
-80.48399;67.19967
-80.4806;66.59642
-80.47942;67.18642
-80.47721;67.0325
-80.47708;66.82117
-80.47695;67.33992
-80.47305;66.34766
-80.47266;66.92233
-80.46823;67.20983
-80.46497;66.70258
-80.46328;67.00275
-80.46198;67.3615
-80.46198;67.17492
-80.45651;67.14816
-80.45586;66.93983
-80.4444;67.1165
-80.43763;67.42083
-80.4375;66.99758
-80.43724;66.8585
-80.43411;67.01208
-80.43138;66.78958
-80.425;66.5875
-80.42265;66.49433
-80.42213;66.66866
-80.42149;67.57317
-80.41146;67.0235
-80.40339;67.14291
-80.40208;67.33083
-80.40104;67.58783
-80.39779;67.50459
-80.38763;67.18275
-80.38646;66.58459
-80.378;66.84834
-80.37135;67.20483
-80.36575;66.85025
-80.36341;67.06634
-80.36289;66.76884
-80.3595;66.67492
-80.35573;66.65683
-80.35416;66.91092
-80.34909;66.42558
-80.34792;67.39008
-80.34688;67.08942
-80.33984;67.15083
-80.33984;66.52758
-80.33907;66.74966
-80.33894;67.13025
-80.33372;67.04967
-80.33334;67.24717
-80.33216;66.98133
-80.3293;66.749
-80.3293;66.69334
-80.32838;66.69025
-80.32722;67.151
-80.32513;67.50775
-80.32317;67.20592
-80.32253;66.7415
-80.32057;66.305
-80.31966;66.43
-80.31849;67.14017
-80.31705;66.78958
-80.31589;66.63433
-80.31471;67.12975
-80.31341;67.39375
-80.30586;67.001
-80.29597;67.10533
-80.28737;67.02167
-80.28606;66.61259
-80.28451;67.2595
-80.27943;66.63609
-80.27917;66.9665
-80.27097;66.58642
-80.26524;66.89367
-80.26432;66.72009
-80.26081;67.00517
-80.25977;66.37425
-80.25951;66.6415
-80.25534;66.28675
-80.25065;67.32325
-80.24401;66.72842
-80.24193;67.27625
-80.2418;67.80675
-80.24062;66.99509
-80.23528;67.10408
-80.23515;66.97017
-80.23125;67.17375
-80.22669;66.40117
-80.22656;66.61925
-80.2181;67.35467
-80.21654;66.66625
-80.21615;66.65875
-80.21602;66.38567
-80.20729;67.27558
-80.20443;66.96291
-80.19948;67.3705
-80.19791;66.64725
-80.19675;66.86066
-80.19271;66.67825
-80.19271;67.14091
-80.19245;66.94817
-80.1845;67.39841
-80.18229;66.55241
-80.17435;67.424
-80.16875;66.96816
-80.16875;66.88758
-80.16849;66.86383
-80.16745;66.72475
-80.16419;67.159
-80.1608;67.10516
-80.16003;66.43784
-80.15755;67.08791
-80.15664;67.37434
-80.15599;67.22584
-80.15586;66.61808
-80.15508;67.13275
-80.14648;66.85733
-80.14622;67.17667
-80.14558;67.21992
-80.1431;66.57867
-80.14037;67.11725
-80.13932;67.159
-80.13541;66.44625
-80.13515;66.92667
-80.13515;66.74683
-80.1237;67.37991
-80.122;67.18225
-80.11849;66.61958
-80.11797;67.08958
-80.11315;66.47642
-80.11146;66.72808
-80.10755;67.22275
-80.10482;67.01633
-80.10234;66.3045
-80.10156;66.85225
-80.09427;67.23092
-80.09219;66.75375
-80.08894;66.92941
-80.08308;66.90491
-80.08047;66.70033
-80.07578;66.61567
-80.06836;66.56
-80.0625;66.77458
-80.06237;66.969
-80.05703;66.5175
-80.05104;66.70742
-80.0444;66.99575
-80.04336;67.22625
-80.04153;67.11475
-80.03503;67.05192
-80.03411;67.174
-80.03216;67.04342
-80.02292;66.97433
-80.01614;67.09458
-80.01537;66.431
-80.01458;67.53741
-80.0138;66.55867
-80.01367;67.17667
-80.01224;67.34067
-80.01172;67.381
-80.00547;66.94341
-79.99961;67.43484
-79.99766;67.10592
-79.98489;66.97175
-79.98399;66.71267
-79.98125;67.0515
-79.97617;67.27441
-79.97148;66.64567
-79.96914;66.77058
-79.96354;66.908
-79.96029;66.93275
-79.95976;66.79391
-79.95808;66.2815
-79.95195;67.38084
-79.94583;66.81425
-79.94323;66.89166
-79.93867;66.81025
-79.93359;66.38792
-79.93295;67.16583
-79.9319;67.21642
-79.92226;67.11742
-79.92005;66.45942
-79.91797;66.93567
-79.91666;66.6935
-79.91315;66.51308
-79.91042;67.29916
-79.90378;67.00892
-79.89922;67.21883
-79.88307;66.92783
-79.88294;67.23067
-79.87981;67.09392
-79.87852;66.47691
-79.87721;67.04933
-79.86433;67.24225
-79.86393;67.12592
-79.86224;66.62942
-79.85912;66.2485
-79.8586;66.80392
-79.85833;66.54708
-79.84896;67.13067
-79.84336;67.29225
-79.83802;66.59875
-79.83698;67.34
-79.83568;67.38008
-79.83476;67.51125
-79.83385;66.71025
-79.83216;67.21558
-79.82903;66.52367
-79.8289;67.54025
-79.828;67.14417
-79.82461;67.34433
-79.82291;66.43867
-79.8181;66.60217
-79.8168;67.25667
-79.81432;66.79025
-79.80937;66.89858
-79.80742;66.85225
-79.8056;67.21975
-79.8043;67.498
-79.80235;66.9245
-79.80065;66.54775
-79.79987;67.30042
-79.79831;66.57283
-79.79726;66.90916
-79.797;67.1265
-79.79688;66.91542
-79.79401;67.13167
-79.79284;67.29608
-79.78932;66.8265
-79.78815;66.81216
-79.78203;67.07775
-79.77799;67.31758
-79.77539;67.01925
-79.77174;67.24767
-79.77135;67.24433
-79.77058;66.67542
-79.76745;66.74533
-79.76601;67.08058
-79.7638;67.37292
-79.76315;66.83867
-79.75925;66.52625
-79.75729;67.54442
-79.75313;66.82034
-79.74075;67.035
-79.7401;67.42492
-79.73997;66.35117
-79.73476;67.30367
-79.73333;66.83933
-79.73177;66.65292
-79.73112;66.70175
-79.72682;66.33933
-79.72227;66.78558
-79.72018;66.58542
-79.72005;67.34092
-79.71784;66.92208
-79.7138;66.59383
-79.71003;66.79366
-79.71003;67.177
-79.70599;67.43667
-79.7056;67.45908
-79.70351;66.57433
-79.70235;67.24983
-79.70052;66.65342
-79.70026;67.81783
-79.69804;66.37
-79.69778;66.68291
