K5PCV5I.PV;K5PCV6I.PV
97.68015;97.56693
97.67989;97.57651
97.67989;97.58188
97.67984;97.59666
97.67984;97.55745
97.67979;97.56953
97.67979;97.61411
97.67958;97.59427
97.67953;97.60307
97.67948;97.56917
97.67943;97.5712
97.67932;97.5513
97.67932;97.58219
97.67932;97.57005
97.67927;97.54922
97.67921;97.57818
97.67921;97.55734
97.67906;97.60239
97.67901;97.59843
97.67875;97.60932
97.67864;97.56505
97.67864;97.5887
97.67828;97.60838
97.67818;97.60339
97.67818;97.56213
97.67797;97.56891
97.67786;97.56744
97.67781;97.5562
97.67776;97.5975
97.6776;97.55432
97.6774;97.61916
97.67729;97.59021
97.67724;97.57781
97.67719;97.55183
97.67713;97.56375
97.67709;97.57349
97.67698;97.54422
97.67687;97.60687
97.67687;97.5575
97.67651;97.60167
97.67635;97.56818
97.67625;97.57526
97.67625;97.54729
97.67609;97.56339
97.67604;97.57677
97.67594;97.59625
97.67589;97.5675
97.67573;97.58495
97.67532;97.60307
97.67526;97.56203
97.67516;97.57047
97.675;97.57912
97.6749;97.62719
97.6749;97.56193
97.67453;97.55959
97.67448;97.56245
97.67443;97.55651
97.67443;97.59312
97.67365;97.57672
97.67359;97.58714
97.67339;97.55609
97.67318;97.58531
97.67318;97.55964
97.67276;97.56151
97.67224;97.60047
97.67204;97.5924
97.67177;97.59625
97.67172;97.56203
97.67057;97.56646
97.67052;97.57766
97.67052;97.55042
97.67036;97.57661
97.67026;97.59885
97.67021;97.60495
97.67016;97.60094
97.66979;97.56802
97.66959;97.56734
97.66953;97.55959
97.66948;97.5737
97.66943;97.56333
97.66943;97.57297
97.66937;97.55386
97.66927;97.55594
97.66906;97.59318
97.66896;97.56891
97.66891;97.5826
97.66891;97.5636
97.66817;97.56469
97.66808;97.58339
97.66802;97.59427
97.66797;97.57385
97.66786;97.59609
97.66756;97.58443
97.66708;97.58208
97.66703;97.59354
97.66666;97.5524
97.66666;97.57359
97.66631;97.5588
97.66589;97.57453
97.66589;97.57599
97.66568;97.5576
97.66542;97.57182
97.66531;97.54588
97.66531;97.55963
97.66515;97.57823
97.66479;97.57063
97.66453;97.55255
97.66448;97.57875
97.66438;97.57729
97.66401;97.57031
97.66391;97.53766
97.66354;97.55953
97.66349;97.59657
97.66344;97.55042
97.66302;97.57755
97.66271;97.56302
97.66266;97.57766
97.66203;97.54156
97.66198;97.57906
97.66182;97.55682
97.66161;97.57005
97.66151;97.58089
97.66146;97.58203
97.66125;97.56536
97.66115;97.56781
97.66031;97.58041
97.6601;97.57136
97.65953;97.5675
97.65886;97.55052
97.65787;97.55599
97.65781;97.56911
97.65781;97.56812
97.65765;97.57745
97.65765;97.57094
97.65724;97.53469
97.65688;97.53667
97.65677;97.57203
97.65604;97.55745
97.65573;97.58458
97.65463;97.58323
97.65448;97.57104
97.65437;97.57901
97.65385;97.57724
97.65063;97.53422
97.65015;97.54677
97.64203;97.54219
97.64099;97.54979
97.63922;97.53713
97.63136;97.54588
97.63057;97.54193
97.62636;97.53974
97.62427;97.53995
97.61797;97.54208
97.60984;97.55109
97.60974;97.55448
97.60896;97.54995
97.60458;97.54573
97.60213;97.55666
97.60057;97.55099
97.59786;97.54057
97.59208;97.54828
97.59151;97.53479
97.59073;97.53948
97.58708;97.55817
97.58052;97.5513
97.57813;97.54693
97.5751;97.54761
97.5724;97.55198
97.56557;97.54037
97.56151;97.53693
97.55609;97.52438
97.55307;97.53619
97.54292;97.52198
97.54109;97.5275
97.535;97.53146
97.53442;97.52474
97.52458;97.52104
97.52448;97.51579
97.52338;97.51911
97.5213;97.51614
97.52005;97.50245
97.51787;97.48755
97.51756;97.5099
97.45432;97.49615
97.36604;97.50468
97.35313;97.50813
97.345;97.50073
97.33542;97.49802
97.32953;97.49265
97.32792;97.48479
97.3212;97.48438
97.31906;97.48714
97.30891;97.49932
97.30625;97.49734
97.30104;97.49385
97.30047;97.49625
97.29359;97.49755
97.29026;97.49354
97.28901;97.49818
97.28328;97.49094
97.28208;97.49589
97.28;97.38084
97.27995;97.48386
97.27953;97.50037
97.27682;97.38115
97.27541;97.39214
97.27396;97.38719
97.27375;97.37349
97.27302;97.34782
97.27161;97.3764
97.27146;97.49339
97.27094;97.38338
97.27058;97.35505
97.27036;97.37984
97.27031;97.49167
97.27005;97.48985
97.26995;97.3689
97.26964;97.36474
97.26911;97.36063
97.26885;97.35776
97.26865;97.49307
97.26865;97.48589
97.26844;97.35927
