K5PC5CH.OP;K5T5_2.PV;K5F3.PV
53.08537;756.9703;3069.383
56.34261;756.9656;3093.012
55.38427;756.9537;3081.536
55.54719;756.9526;3090.631
55.52255;756.9526;3082.05
53.07417;756.95;3066.525
55.14755;756.9453;3076.414
55.37959;756.9276;3073.082
55.52375;756.9271;3035.914
52.73375;756.9151;3054.802
56.45531;756.9068;3084.138
56.22203;756.9011;3099.032
53.11474;756.8958;3066.155
55.56739;756.888;3083.621
55.51771;756.887;3070.326
55.59031;756.8854;3076.588
54.43255;756.8828;3060.721
55.46614;756.8792;3071.334
55.4588;756.874;3079
53.10625;756.8677;3065.633
55.4301;756.8615;3065.499
55.3387;756.8573;3066.124
55.4862;756.8474;3077.884
56.33318;756.8386;3101.185
55.30401;756.8281;3041.614
52.76062;756.8265;3064.072
55.41088;756.8151;3033.305
52.84422;756.8078;3053.329
55.55734;756.7932;3079.694
55.58172;756.788;3085.941
55.79703;756.7662;3076.7
55.39682;756.7656;3090.876
54.65297;756.764;3060.812
55.34167;756.737;3086.318
55.26839;756.7338;3070.661
53.25807;756.7333;3067.527
55.57031;756.7292;3072.122
55.63443;756.7255;3060.906
55.48573;756.7219;3080.987
55.65115;756.7214;3079.241
55.4439;756.7172;3087.784
55.5299;756.7136;3080.536
55.79708;756.6974;3082.697
52.70995;756.6865;3051.592
56.16833;756.6776;3102.761
55.57953;756.674;3087.743
55.37057;756.6667;3085.461
54.42339;756.6661;3066.835
56.31984;756.662;3088.804
52.9687;756.6614;3056.98
56.52047;756.6583;3087.701
55.57964;756.6547;3081.259
52.95557;756.6448;3061.102
55.36958;756.6339;3081.501
55.74635;756.6276;3139.304
55.54521;756.6271;3075.279
55.49005;756.626;3075.828
56.50677;756.6083;3078.183
56.14766;756.6078;3087.978
52.69635;756.6073;3042.904
52.72703;756.6063;3056.153
52.73193;756.6042;3060.771
55.35677;756.5989;3090.017
55.52417;756.5964;3088.925
55.58042;756.5948;3080.403
55.43932;756.5938;3073.821
55.59557;756.5917;3082.862
52.89042;756.5886;3061.133
53.96568;756.5886;3032.437
55.55995;756.5839;3078.413
55.12365;756.5833;3078.205
55.54401;756.5807;3072.368
55.5574;756.576;3080.108
55.44177;756.575;3075.265
55.55729;756.5714;3080.988
55.49229;756.5709;3080.609
55.38609;756.5693;3037.704
56.30938;756.5667;3080.55
56.3362;756.5667;3076.886
55.755;756.5594;3076.112
55.39057;756.5588;3090.189
54.04057;756.5563;3049.47
55.48302;756.5541;3087.102
56.56651;756.551;3097.188
55.4663;756.5438;3081.987
55.54083;756.5432;3081.509
56.27536;756.5375;3089.591
56.5113;756.5292;3087.992
55.35417;756.5224;3084.425
55.46786;756.5193;3083.148
55.41359;756.5146;3090.325
52.71011;756.5047;3045.574
55.28495;756.5037;3071.738
56.44011;756.499;3109.629
55.61057;756.499;3047.833
54.16073;756.4969;3050.99
52.90479;756.4844;3063.047
55.4737;756.4703;3074.881
53.09193;756.4682;3065.739
52.72792;756.4656;3048.785
55.4076;756.4646;3079.636
55.45667;756.4625;3041.525
52.58906;756.4615;3053.193
56.56354;756.4589;3094.577
55.35729;756.4479;3083.471
54.24448;756.4271;3044.437
53.21875;756.4146;3069.8
55.65182;756.4099;3075.124
56.42823;756.4005;3102.863
56.57635;756.3979;3092.269
55.35495;756.3974;3071.012
55.73635;756.3958;3084.549
