K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5HCV62I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
32.11076;96.26775;110.4979;-310.5583;79.52145;37.77346;-263.2335;-312.5003;44.92787;96.13561;0;20.13576;20.61201;46.56885;57.82109;101.2847;94.93235;70.68388;90.26237;-65.81863;-73.90153;0.6764353;0.7485657;-814.0372;580.2913;679.4576;214.0929;93.26229;98.59125;144.9311
33.09315;95.92415;113.0762;-320.3119;84.56463;39.27854;-259.6563;-309.437;46.03994;95.99004;0;23.27166;25.06268;47.75668;60.25334;103.2712;94.87467;72.9974;93.30994;-66.11977;-75.06075;0.7063009;0.7758755;-810.1451;583.9914;685.3218;215.1663;95.22826;100.5239;146.6463
35.88268;95.8332;117.6625;-346.6027;89.20448;41.2014;-252.904;-303.8806;48.56837;95.99173;0;25.48137;29.09303;50.19271;62.94159;106.7192;94.94534;76.45231;96.93317;-67.39817;-76.86179;0.7834011;0.8577213;-798.8347;587.0068;696.6699;220.6286;97.73759;103.5581;150.3202
36.22343;95.85051;115.5536;-345.8355;84.8729;38.93796;-254.6585;-305.6552;48.34172;96.52909;0;21.32377;21.82187;49.38325;60.40651;104.0852;95.2552;73.00182;93.57274;-67.53445;-76.24722;0.7782946;0.8568913;-799.5569;585.5215;694.6959;220.6475;96.60659;102.5452;149.6136
37.67001;95.9295;116.487;-356.2675;84.54155;39.40962;-252.496;-304.6122;49.37671;96.80836;0;21.25401;19.97933;50.70383;60.80674;104.6055;95.37441;71.35365;93.80874;-68.52809;-76.4767;0.80587;0.8897852;-795.0353;585.9274;697.7172;221.9468;96.87464;102.9765;150.1257
38.8069;96.22968;118.0384;-362.2301;85.07615;40.70534;-251.735;-304.5078;50.2333;97.16196;0;22.28682;21.27637;52.46207;62.21794;105.9536;95.5981;63.68466;94.96601;-68.54617;-76.1401;0.825215;0.9151977;-791.9146;587.3591;701.3203;223.3132;98.35891;104.422;151.4369
39.97833;96.55122;119.8876;-370.4288;85.35666;42.08424;-250.2855;-303.379;51.12699;97.43373;0;23.06726;22.64375;54.40036;63.45561;107.7033;95.72925;70.10346;96.45912;-69.4165;-76.63219;0.847315;0.9413428;-787.2715;590.0394;706.5898;225.1705;100.1273;106.1444;153.3183
43.48853;96.61485;123.806;-407.245;88.30469;41.99727;-242.2318;-296.9588;54.65651;97.33384;0;22.73332;21.5615;54.98484;64.6349;109.6099;95.57275;65.20161;98.26917;-71.27549;-78.08809;0.9667628;1.073742;-771.0084;595.6254;719.2953;232.4434;102.1948;108.8362;157.1005
45.20169;96.67517;126.4537;-422.7233;90.14834;43.45117;-239.2376;-294.6255;56.43749;97.35173;0;24.03436;21.96032;56.68121;66.51939;111.6238;95.5734;56.02581;99.87626;-72.25494;-78.30891;1.0207;1.136713;-764.1017;597.4421;723.0702;235.6557;104.308;111.0371;159.6044
48.37173;96.8401;130.5039;-450.3575;91.97198;45.95111;-233.9917;-290.7882;59.27212;97.49612;0;25.50388;22.47165;59.7047;69.27193;114.484;95.83095;70.08797;102.0315;-74.44878;-78.98567;1.11054;1.244328;-750.1495;603.2587;730.4785;239.443;107.443;114.3497;162.7682
47.17307;96.87836;129.2928;-438.9225;89.06949;44.9296;-237.7465;-293.3191;58.16887;97.286;0;23.8235;22.57331;58.91977;69.04855;113.5092;95.50468;77.51721;100.6086;-74.00901;-78.12349;1.071853;1.204608;-754.9962;599.4615;725.5964;237.9873;106.3069;113.303;161.7437
37.92285;96.58967;120.6651;-353.7961;84.608;42.21286;-256.4814;-307.7527;49.84254;96.56436;0;23.22928;23.03634;53.44335;64.57549;107.7536;95.08751;71.86251;95.64438;-69.29945;-74.85224;0.7998515;0.897141;-794.7546;581.2401;693.297;224.2343;100.0307;106.0687;153.3998
35.59554;96.45395;117.3453;-333.6649;81.8271;41.08984;-260.972;-311.4428;47.56156;96.52377;0;22.00818;21.40757;51.84676;62.44992;105.4732;95.05975;64.47109;93.40629;-68.39961;-74.16393;0.7325681;0.8220077;-804.7969;579.46;685.8892;219.7316;97.62517;103.3725;150.0146
34.75961;95.96149;116.0408;-335.7108;83.16307;38.37439;-257.7724;-308.6579;47.24014;95.95115;0;20.99198;21.50312;48.62275;60.28492;103.8188;94.80202;59.72303;92.65924;-67.83383;-75.25227;0.7438647;0.8242662;-803.7803;583.8773;689.5408;219.352;95.70532;101.6473;148.7954
34.63472;95.78459;116.6989;-336.0828;83.58611;39.37112;-256.9497;-307.899;47.16803;95.95004;0;21.99176;23.52802;49.2265;61.04057;104.6974;94.89345;47.51976;93.73205;-67.86864;-75.72886;0.747268;0.8248605;-803.3775;585.145;690.3813;219.484;96.20813;102.0852;149.1346
34.5291;95.80677;116.5875;-334.9645;83.86367;39.42943;-257.3719;-307.9187;46.98098;96.03755;0;21.96183;21.72675;49.42578;60.69656;104.3918;95.11803;47.39054;93.36624;-67.67162;-75.52831;0.7459626;0.8231614;-803.8911;585.1797;689.7621;219.3819;96.29356;102.1335;149.0901
34.3339;95.83171;116.4321;-329.5329;83.15954;40.17798;-259.6482;-309.6774;46.51976;96.39178;0;22.20342;20.5859;50.35718;61.01203;104.4278;95.34601;48.48192;93.19459;-67.45671;-75.12174;0.7282701;0.8064384;-806.904;584.7463;687.868;218.6738;96.47181;102.1833;148.9266
37.00447;96.07417;118.5913;-346.8024;83.51245;41.93174;-256.3082;-307.397;48.5083;96.95875;0;23.24496;21.72732;52.86295;62.96798;105.8617;95.633;43.57221;94.28467;-68.88473;-75.77714;0.7769912;0.8672438;-798.0953;588.434;696.2855;220.4108;98.25981;104.1173;150.4068
34.68679;96.37237;117.3898;-322.724;82.09911;43.86687;-264.2633;-313.8084;46.50087;97.16173;0;24.59924;22.40708;54.2112;64.25695;106.0943;95.68483;43.2294;93.9367;-67.95412;-73.43513;0.7024981;0.7916188;-809.0443;582.2584;682.5069;216.478;98.53073;103.713;149.0373
33.80516;96.46794;116.0629;-312.9428;81.75993;44.44241;-266.5592;-315.5453;45.86667;97.21466;0;24.99743;22.86098;54.57402;64.69566;106.1487;95.70071;47.75001;93.72823;-68.57645;-73.18094;0.6801465;0.7706398;-811.6475;581.1814;679.56;215.578;98.72416;103.6573;148.6692
33.66739;96.5023;115.2825;-312.3132;79.90562;43.38144;-267.2523;-315.7455;45.70878;97.16342;0;23.85531;23.07709;53.47937;63.82056;105.5763;95.62302;65.85126;92.71043;-68.36113;-72.59409;0.6792167;0.7714359;-811.4972;581.274;679.9196;215.6791;98.14675;103.3062;148.396
32.92389;96.59135;112.5411;-314.0107;76.74249;39.00293;-264.3717;-313.5697;45.16146;96.61176;0;19.89647;19.26096;49.63577;59.64935;102.6661;95.02126;65.29431;90.22555;-67.42315;-73.1991;0.6853449;0.7703089;-810.5282;583.1179;682.1313;215.8351;94.81876;100.3869;146.5824
27.98144;96.24676;107.8576;-281.7275;75.02061;36.6778;-270.9513;-318.4364;41.43258;95.97853;0;18.5048;17.21257;45.61385;56.38025;100.2446;94.81519;52.20293;87.99998;-63.99501;-71.09235;0.5898131;0.6562137;-825.9528;568.7259;660.739;210.613;91.61369;96.47494;142.6654
27.71554;95.95222;106.8168;-283.2811;75.31562;35.06069;-269.433;-316.6151;41.11135;95.85023;0;18.27505;19.03915;44.30102;55.09455;99.47317;94.88129;52.57626;88.19975;-62.67266;-71.79682;0.5927445;0.6530716;-826.5356;569.5168;662.3812;210.1832;89.88236;94.95676;141.4444
27.58563;95.89177;107.6969;-279.7112;74.85468;37.36961;-271.2373;-318.4277;40.93564;96.17526;0;20.17555;20.18084;45.68832;56.4115;100.4874;95.17951;56.48846;89.04796;-62.35994;-71.23182;0.5826623;0.6452463;-827.6955;567.2595;658.801;209.9184;90.97845;95.67902;141.9525
37.31076;95.78364;117.9982;-370.5291;85.73611;38.39202;-246.1219;-299.2723;49.57811;95.8858;0;20.9047;22.54518;48.33924;60.03542;105.2984;95.16669;64.55011;95.05842;-68.59191;-77.77152;0.8557959;0.9384281;-785.4112;593.5137;708.8804;227.4264;96.616;103.2625;151.9617
36.85258;95.72119;119.5513;-368.3114;90.5033;39.55018;-246.183;-299.075;49.51871;95.5255;0;23.58756;26.19103;48.09112;61.74286;106.9981;94.87939;70.75868;97.14286;-67.64417;-77.53815;0.8474337;0.9259838;-787.5515;587.3024;702.0958;227.3745;97.90383;104.466;153.2236
35.27369;95.69392;116.8829;-352.6267;88.15159;37.27291;-251.7059;-303.3398;48.13171;95.61661;0;20.37351;21.93834;46.57328;60.03643;104.8217;94.94498;69.16283;94.38756;-66.91682;-76.68463;0.7922001;0.8747745;-795.2327;582.0524;693.2328;225.0376;96.58276;102.855;151.341
36.1285;95.60097;117.6685;-363.6852;89.49908;37.47694;-248.5789;-300.4068;49.13676;95.34827;0;21.30447;22.36293;46.82935;60.50723;105.2511;94.77954;78.64793;95.17949;-67.98924;-77.94826;0.8248007;0.9081611;-790.2327;590.6537;704.5164;225.726;96.54318;102.8173;151.599
50.47416;95.58419;131.3306;-508.8642;98.88358;40.1608;-212.6788;-272.8607;62.29572;95.62699;0;22.90881;24.77688;53.33409;65.86002;113.483;95.0153;91.09779;103.6079;-75.02075;-84.34444;1.298635;1.424265;-724.3501;614.5725;748.4112;248.8402;104.8376;113.1416;164.9
52.43256;96.24587;132.6989;-508.6351;96.20809;41.97145;-215.9105;-276.2386;63.50603;96.87322;0;23.10803;23.27638;57.01526;68.00761;115.3624;95.56659;47.29745;104.4599;-75.24079;-83.30565;1.315201;1.443824;-724.7084;610.7068;741.5828;248.9852;107.3554;115.3896;166.7137
52.99632;96.77605;133.9702;-501.2698;92.75892;45.53771;-221.418;-280.9921;63.97196;97.48583;0;24.60325;25.38022;61.09479;70.9757;117.1209;95.75198;21.58577;104.7029;-75.59874;-81.47894;1.294286;1.443027;-725.3129;607.7937;737.0858;248.4443;109.8913;117.5873;167.744
53.06498;96.77106;134.4359;-498.994;95.04833;46.67839;-222.977;-281.8707;64.30648;97.51136;0;25.64506;24.20627;61.54677;71.58602;117.6767;95.80904;52.59531;104.6744;-75.98601;-80.22286;1.288446;1.443438;-725.4376;606.9885;735.4639;247.8035;110.6853;118.2074;167.9377
53.25539;96.82864;132.8387;-499.6873;92.28172;44.41206;-223.1017;-281.6704;64.08926;97.47414;0;22.85881;21.81877;60.26996;69.64595;115.9206;95.65205;61.15227;102.4935;-76.50516;-80.85193;1.28583;1.444966;-725.3846;607.5529;737.7582;248.1174;109.3481;117.1371;167.3322
45.07667;96.89228;123.5086;-411.0916;86.42978;42.69745;-244.3804;-298.001;56.00072;97.32187;0;21.96438;21.14713;56.96954;66.20311;110.891;95.39085;67.96628;97.65414;-70.78255;-76.58239;0.9944122;1.121415;-766.2159;590.5095;712.7353;234.4367;104.1135;110.5589;159.4677
40.97502;96.8843;116.3869;-371.5855;81.09863;39.48352;-252.8689;-304.6444;51.65934;97.25687;0;19.23671;19.29615;52.41164;62.58014;105.7832;95.22894;48.77014;93.06995;-68.02663;-75.18676;0.85823;0.9672771;-784.9843;582.4279;699.4631;226.7401;98.27553;104.3739;152.7498
39.03453;96.59716;114.7502;-355.2051;80.36185;38.97664;-256.2904;-307.0074;49.75091;97.27042;0;19.3787;20.11349;51.68181;61.81611;104.8599;95.25393;21.3845;92.47743;-66.39116;-75.0775;0.8052376;0.9064907;-792.5073;579.5924;693.7807;224.7317;97.28607;103.1777;151.3878
36.2478;96.57719;113.7901;-328.9632;80.64419;40.81588;-263.0311;-312.4783;47.4427;97.20747;0;21.13965;20.22598;52.96385;62.36055;105.3091;95.30343;30.50717;92.49481;-66.08915;-73.81671;0.7262362;0.8233196;-803.2705;577.8278;684.8022;220.2734;98.08252;103.2679;150.1653
36.82307;96.48138;114.6655;-338.3582;82.8649;41.26929;-259.2659;-309.8009;48.23235;97.01324;0;22.16045;21.30494;52.63781;62.93991;105.7109;95.16729;40.62644;93.4544;-67.21439;-74.83872;0.7571301;0.8522204;-798.8889;584.3345;693.0048;221.3672;98.40453;103.5987;150.5607
37.7322;96.45834;117.9518;-342.8931;85.4298;45.59838;-259.5524;-310.1027;49.34542;97.04731;0;25.91349;26.06872;56.38929;67.37724;109.2937;95.23051;55.20759;96.8218;-69.45174;-74.5808;0.7715686;0.873088;-797.0468;584.7006;694.7331;221.9178;101.8662;106.6781;152.8027
38.589;96.53893;119.4278;-347.1392;84.68575;46.31139;-259.3423;-310.4251;50.01831;97.16398;0;26.01606;25.92865;57.38678;67.91122;109.6348;95.31504;56.14299;97.00533;-70.69646;-74.30624;0.7813873;0.8866871;-795.3931;584.1301;696.1315;222.1207;102.3042;107.0704;153.0864
39.57156;96.57236;123.9458;-352.1621;82.89586;47.39332;-258.8547;-309.8364;50.89086;97.39012;0;26.43525;25.80437;58.88845;68.79568;110.2064;95.54082;61.99448;97.5037;-71.72107;-74.1525;0.7982657;0.906135;-793.663;581.7244;695.2565;222.7881;103.2845;107.97;153.8212
38.22289;96.64793;122.5426;-337.6966;84.75747;46.94777;-262.6967;-311.8781;49.72723;97.54569;0;26.26166;24.09216;58.36204;68.47697;109.7726;95.75416;66.48905;96.43643;-71.11256;-73.24966;0.7595685;0.8653567;-800.3823;576.239;686.825;221.6438;102.9776;107.5155;153.1533
37.66147;96.68211;118.9756;-336.2019;80.83459;42.59832;-262.2373;-311.7769;48.80198;97.34248;0;22.00957;20.40406;54.74881;64.15738;106.3133;95.49743;66.14414;92.82574;-69.38804;-73.53951;0.7497378;0.8548858;-800.777;577.499;687.8035;221.2985;99.54939;104.6259;150.9893
35.36905;96.59843;116.3459;-324.4236;79.97526;40.10791;-262.9857;-312.5734;46.89466;96.92967;0;20.51046;18.85436;51.63344;61.59808;104.1563;95.08073;62.39564;91.22826;-67.18503;-73.38425;0.7165422;0.8094177;-806.9418;578.2987;683.3951;218.6501;96.80028;101.8874;148.5343
36.42595;96.4169;117.8466;-340.0193;82.04697;39.18899;-257.6402;-308.3255;47.99287;96.71108;0;20.37879;18.96075;50.98716;61.28331;104.3146;94.95628;51.23798;92.11316;-67.51441;-74.99301;0.7632785;0.8533058;-799.8397;584.7068;692.3345;220.9674;96.85291;102.2424;149.4466
34.19679;95.80092;117.3546;-325.6824;83.7934;39.84954;-260.0711;-310.555;46.53955;96.25045;0;21.789;20.59395;49.84691;61.06953;104.2208;94.81712;42.05631;92.4031;-67.05569;-74.34471;0.7221904;0.8040743;-806.233;580.357;682.7188;218.5839;96.39789;101.5055;148.4539
35.38226;95.52285;118.5545;-335.2729;84.9436;40.62532;-258.3578;-308.7549;47.55611;96.31493;0;22.67806;21.48272;50.69069;62.04045;104.6759;95.06731;39.17282;93.37101;-68.26198;-75.29722;0.7514307;0.8363534;-801.4638;585.4839;690.7155;219.3794;97.35426;102.3315;149.1686
36.88359;95.55518;120.127;-342.095;84.84446;42.31206;-258.0988;-308.5504;48.53782;96.74497;0;23.46767;21.70359;53.05182;63.7509;105.8932;95.3251;39.58965;94.24794;-69.26649;-75.42659;0.7690055;0.8616209;-798.7379;585.4523;693.0939;220.3965;98.84589;103.7511;150.2944
38.70781;95.89884;122.9021;-351.8427;85.6236;44.42401;-257.5096;-308.4437;49.96714;97.16074;0;24.81591;23.13429;55.69987;66.21272;108.32;95.5669;44.95024;96.24987;-70.05516;-75.0275;0.7969338;0.89856;-794.3612;582.4839;694.4846;223.4751;101.3812;106.2842;152.8444
39.18129;96.24998;124.0687;-351.7915;85.34171;46.16316;-258.6949;-309.7657;50.29133;97.42314;0;25.75704;24.39519;57.48888;67.69759;109.5663;95.70818;56.93621;97.01694;-70.86689;-74.47274;0.7938148;0.9016559;-793.3522;581.1969;693.3649;223.7187;102.741;107.5524;153.7993
39.56374;96.39206;123.8805;-356.1889;85.14568;45.44539;-257.0228;-308.7963;50.60464;97.46963;0;24.9362;23.53881;57.35819;66.69074;109.2877;95.72417;58.15538;96.58402;-71.32623;-74.62217;0.8067513;0.9153481;-791.0542;584.1838;697.9837;223.9769;102.3935;107.3082;153.7161
42.59916;96.38216;126.2537;-388.2331;87.94794;44.96575;-249.0859;-302.1918;53.53995;97.38544;0;24.9247;23.28438;57.55648;66.89505;110.1378;95.65887;61.80501;97.69738;-72.58311;-76.41297;0.9097413;1.027023;-776.421;591.8496;710.7166;228.6273;103.3751;108.894;155.8943
