K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T9_2.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV
18.24969;94.49469;99.81521;66.60188;32.33693;24.19052;94.67094;68.65292;86.01927
17.59615;94.36146;99.81385;66.45667;32.81313;26.44406;94.29708;69.53615;86.70792
17.4188;94.24234;99.81208;65.59854;32.75604;25.59312;94.24901;71.53416;86.26354
17.57156;94.26724;99.81187;66.58958;32.74786;26.09937;94.26344;72.0424;86.59479
17.64995;94.32943;99.81125;65.10146;32.74411;25.18573;94.33057;69.07333;86.19021
18.83896;94.49182;99.81104;65.63146;32.66781;22.84875;94.73922;67.83;85.05938
18.16562;94.4975;99.80968;65.52812;32.25323;20.58646;94.73963;67.96781;85.26729
17.77792;94.34927;99.80959;66.30896;32.7762;25.96521;94.28807;69.54938;86.83323
17.81969;94.51891;99.80813;65.90125;32.2862;23.49552;94.5437;67.8975;85.34521
17.41974;94.23542;99.80542;65.51479;32.72813;24.69771;94.25854;70.40573;86.13406
18.2137;94.24651;99.80489;67.16875;32.85917;27.12906;94.33531;72.48219;87.27458
22.42213;94.13667;99.80437;68.93;35.39818;19.88906;94.5386;81.35;85.62489
22.32995;94.13287;99.80428;68.86146;35.5775;21.75042;94.52734;81.4325;85.33302
18.14182;94.45776;99.80344;66.78854;32.75948;24.76937;94.54719;69.00302;86.32854
18.01;94.34646;99.80292;65.87791;32.74541;25.19917;94.32083;69.27354;86.37365
17.28052;94.23792;99.80209;65.01917;32.73844;25.24031;94.25011;70.07354;86.09312
18.2601;94.50505;99.80198;66.0302;32.28474;23.08927;94.63328;68.20823;85.53083
18.29203;94.47713;99.80187;66.53333;32.72698;24.68885;94.7863;68.64531;85.89323
17.67391;94.34364;99.80115;66.52146;32.78458;25.98063;94.29135;69.53864;86.89407
17.61641;94.26125;99.80073;66.63812;32.76698;26.18281;94.26485;72.27666;86.57
17.94365;94.45375;99.79958;65.88145;32.78974;25.82927;94.47568;68.9125;86.19354
22.27823;94.12865;99.7975;69.00833;35.6112;21.34937;94.53672;81.00948;85.62802
18.36911;94.47531;99.79708;66.25042;32.77958;25.70125;94.67886;68.79125;86.17635
17.87672;94.45203;99.79521;65.82063;32.77089;25.06781;94.54552;68.83427;86.16782
17.75984;94.33865;99.79271;66.78604;32.80995;26.08948;94.2813;69.37177;86.70802
17.55828;94.25114;99.79135;65.10208;32.74599;25.28615;94.26427;69.67354;86.15073
17.93948;94.4139;99.79011;66.24979;32.81406;26.02094;94.385;69.24261;86.54646
17.37734;94.23386;99.78573;65.04625;32.73463;25.16854;94.2551;71.42261;86.09323
26.18188;94.07109;99.78396;66.7075;39.07359;14.95781;94.23281;79.86792;83.0525
22.45427;94.13177;99.78271;69.63021;35.67208;21.58677;94.54427;80.70948;85.82
18.7012;94.48656;99.78198;65.37437;32.67089;22.07885;94.72479;67.72916;84.90188
23.34443;94.13506;99.78177;69.48021;36.23568;17.99365;94.50599;81.31458;85.03886
17.47104;94.35385;99.78167;66.44604;32.80766;26.5301;94.29765;69.53198;86.70969
17.75146;94.26969;99.78167;66.36229;32.77385;26.1349;94.2662;72.13729;86.5651
26.61062;94.20692;99.78156;66.32375;39.01385;12.82906;94.22005;79.73375;82.77021
18.22578;94.49287;99.77865;67.18105;32.34958;24.83792;94.72771;68.81917;86.22885
25.64625;94.21156;99.77843;66.30479;38.86531;11.29313;94.21464;79.41344;82.54552
17.21286;94.23771;99.77541;65.11646;32.72417;24.82813;94.24385;70.62302;86.10416
17.90281;94.51344;99.77364;66.15125;32.28838;23.19604;94.54573;67.84219;85.26312
17.73573;94.33948;99.77323;65.30791;32.73792;25.23635;94.34021;69.17875;86.25729
18.35589;94.49667;99.77271;66.00604;32.24229;19.64927;94.73266;68.20521;85.43063
18.96042;94.5062;99.77271;66.05292;32.72886;24.0175;94.73781;68.23177;85.4199
18.25401;94.4674;99.77209;66.53396;32.7751;25.81708;94.6824;68.76907;86.19771
18.06828;94.45161;99.77167;66.2475;32.72234;24.23583;94.55552;68.76271;86.0676
17.59901;94.34515;99.76865;66.40312;32.78318;26.10708;94.28828;69.48719;86.84093
17.41344;94.28156;99.76802;64.96938;32.7112;24.84615;94.30286;69.28646;86.13219
20.42922;94.57354;99.76771;66.435;34.23229;20.09031;94.53432;67.36698;84.48458
17.19042;94.23537;99.76729;65.35709;32.7312;25.06031;94.255;70.49073;86.12614
18.88412;94.48969;99.76708;65.67125;32.66526;22.72646;94.72974;67.75885;84.95885
18.1049;94.50781;99.76698;65.67979;32.17927;20.8076;94.7374;67.8326;85.21584
22.37281;94.12286;99.76427;68.87271;35.40635;19.1301;94.50433;81.09583;84.95958
18.65328;94.48994;99.7624;66.20834;32.82167;25.66781;94.81604;68.82635;86.45625
18.24156;94.51354;99.76156;65.79437;32.39661;25.96854;94.62214;68.50177;86.15562
17.6863;94.35963;99.76041;66.93667;32.75724;25.52;94.25562;69.46698;86.82031
17.95526;94.51828;99.7599;65.74917;32.19844;22.79354;94.54474;67.90271;85.30917
17.33474;94.23906;99.75969;65.27187;32.74969;25.54917;94.24891;70.14354;86.13844
18.09354;94.46062;99.75885;65.70541;32.76396;25.3624;94.52573;68.85427;86.19021
18.27896;94.46615;99.75687;66.85125;32.79094;25.45646;94.58813;68.92261;86.33041
19.65016;94.54339;99.75448;65.65083;33.44089;18.56333;94.56781;67.02677;84.49667
18.7226;94.50713;99.75323;65.98;32.70161;23.75365;94.75156;68.24479;85.37427
17.51672;94.26229;99.75313;64.81541;32.73938;25.34875;94.30968;69.31073;85.98979
17.52161;94.25604;99.7526;64.58521;32.72391;25.26854;94.31239;69.49167;86.07531
17.58203;94.24396;99.75042;65.04958;32.75052;25.32865;94.30312;69.55031;86.13031
18.39688;94.4725;99.75011;66.69375;32.79089;25.22719;94.75505;68.56364;85.96938
17.42922;94.24136;99.74823;65.14542;32.73859;25.0825;94.25333;70.4827;86.13219
23.25109;94.13266;99.74136;69.53104;36.33437;18.22187;94.50771;81.22157;84.88865
18.34797;94.48933;99.74125;66.49604;32.81281;25.29198;94.81057;68.83188;86.41771
17.88396;94.46442;99.74073;65.95834;32.79052;25.27479;94.4363;69.12052;86.53
17.71766;94.26922;99.73885;66.65562;32.75057;26.03458;94.25922;72.09084;86.5425
17.97031;94.52021;99.73521;65.77417;32.17287;22.13083;94.56234;67.85844;85.25792
