K5T14.PV;K5T3.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV
366.3884;188.086;26.76036;30.36442;126.2477;4.001937
366.3575;188.155;26.77578;30.28671;126.2917;3.996506
366.3488;187.8577;26.75885;29.93844;125.9252;4.001447
366.3431;188.1471;40.26193;28.66788;124.9498;3.967022
366.3119;187.6488;26.7651;30.11967;125.3367;4.017059
366.2984;187.8071;26.76755;30.34333;125.5369;3.994297
366.2866;187.4812;26.76448;30.13714;125.2992;3.997775
366.2791;188.0923;26.76141;30.17941;126.0492;4.008044
366.2747;188.2006;26.77245;30.40809;126.3412;4.014019
366.2662;189.5217;26.76625;30.35666;126.1998;4.037741
366.2619;187.1892;26.77755;29.06498;126.001;4.014659
366.2591;187.9317;26.77365;30.35464;126.2113;3.997959
366.2506;187.6533;26.76958;30.3191;125.3192;3.999347
366.2356;187.6346;26.76885;30.11981;126.0948;3.992956
366.2341;187.4733;26.76656;29.99917;125.3827;3.988647
366.2256;188.0071;26.77682;29.99253;126.3579;4.007969
366.2162;187.2717;26.76255;30.11406;125.4485;3.988766
366.2109;187.5644;26.78193;29.09864;126.036;4.012744
366.1916;187.8406;26.76776;30.1629;125.6988;4.020041
366.1894;187.7854;26.77521;30.08445;125.7588;4.019519
366.1762;188.0473;26.76417;30.07638;125.694;4.016403
366.1475;197.0796;40.01011;30.83877;114.7883;4.014444
366.1228;187.9279;26.76646;30.10942;126.4092;4.013334
366.0991;197.3887;40.02729;30.78264;115.0846;4.018422
366.0688;187.5231;26.76536;30.12955;125.4792;3.986963
366.0594;187.7808;26.77333;30.12494;125.6102;4.019609
365.9991;187.6675;26.77802;30.18646;125.4981;4.020656
365.955;187.7754;40.27016;28.54002;124.7969;3.96565
365.9025;195.5373;41.95583;31.48465;117.3517;3.977519
365.8934;197.33;40.03088;31.458;117.361;3.979019
365.8791;197.4025;40.02844;30.71176;115.3498;4.011769
365.8622;195.85;40.01823;28.94074;117.7283;3.961572
365.8606;193.3615;22.32359;28.60657;124.64;4.026716
365.7994;194.4483;22.33552;27.72617;119.0346;3.972112
365.795;195.7569;40.01146;28.93254;117.7808;3.969012
365.7875;195.7413;40.02859;29.19613;118.4781;3.951403
365.7684;197.2583;40.02667;31.49348;117.3133;3.981716
365.7666;195.4956;40.03057;29.0064;117.6148;3.95485
365.7584;195.8927;40.02823;28.99806;117.8538;3.950841
365.7566;194.4506;22.32661;27.84066;118.6348;3.975419
365.735;196.6308;40.02234;29.73131;116.8758;3.987384
365.7166;196.7544;40.02448;29.835;117.0948;4.000137
365.7066;195.396;40.03057;28.79263;117.5667;3.955978
365.705;187.5423;40.2551;28.53571;124.6338;3.964047
365.7031;196.789;40.01969;29.79966;116.6902;3.982356
365.7009;196.9046;40.01083;30.62093;114.4992;4.012984
365.6853;197.229;40.02187;30.80108;117.1219;3.995938
365.6806;195.8344;40.01958;29.4015;118.5675;3.959894
365.68;195.8983;40.02604;29.25827;117.7937;3.944656
365.6766;197.1229;40.02557;30.7269;115.5779;4.012428
365.6725;187.1294;40.25844;28.63724;124.5092;3.965338
365.6684;195.8883;40.02323;29.67541;117.8598;3.938881
365.6663;196.4398;40.01537;29.80334;116.6335;3.979341
365.6659;198.0302;23.61698;30.89373;113.9369;3.999406
365.6647;197.2969;40.0201;30.74203;117.2777;3.970988
365.6497;196.8744;40.01859;29.85265;117.171;3.999297
365.6063;196.4962;40.02547;29.71461;116.9329;3.992191
365.5925;196.7235;40.0136;29.78668;116.7712;3.984191
365.5916;197.4379;40.03198;30.96234;116.7171;3.975909
365.5844;196.689;40.02708;29.7013;117.0062;3.993491
365.5734;195.6733;40.01432;28.75511;117.5596;3.955459
365.5713;197.2033;40.03036;30.86062;117.0723;3.992837
365.5591;197.0813;40.02083;30.89487;117.669;3.968056
365.5503;196.7173;40.01052;29.92705;117.245;4.001122
365.5497;195.5146;40.01651;28.74176;118.4529;3.942219
365.54;196.4229;40.02662;29.71129;116.5658;3.980884
365.5366;196.9608;40.03146;30.39463;117.2515;3.967344
365.5356;196.065;40.01635;29.93708;117.866;3.94315
365.5316;197.6454;40.03818;31.2576;118.381;4.018281
365.5309;195.6948;40.03073;28.94255;117.6837;3.959547
365.5228;196.8854;40.01135;29.99824;117.3292;4.000606
365.5169;197.4431;40.03365;30.96303;118.4171;4.012256
365.5141;195.5833;40.0274;29.04832;117.5523;3.952372
365.5038;195.5562;40.02682;28.77627;117.8992;3.944438
365.5006;196.8417;40.02151;30.04873;118.3325;3.992763
365.4915;187.0896;40.25495;28.56179;124.5035;3.964575
365.4813;197.49;40.02187;31.07046;117.3785;3.973494
365.4791;197.2462;40.02901;30.92038;116.6885;3.975553
365.4778;197.0767;40.02302;30.77804;117.6646;3.968216
365.4763;197.2073;40.02719;30.71887;117.1485;3.997559
365.4631;187.3769;40.26172;28.63956;124.4952;3.963003
365.46;197.501;40.0288;30.66558;118.531;4.008307
365.4569;197.2954;40.02167;30.96939;116.765;3.971491
365.4534;197.2623;40.02875;30.90203;117.0444;3.989616
365.45;194.2958;22.31292;27.61535;119.5879;3.967894
365.4459;197.5715;40.03526;30.75165;118.594;4.015372
365.4453;195.6387;40.0187;28.80511;117.8325;3.964259
365.4381;197.0556;40.025;30.72776;117.6913;3.969603
365.4381;197.5429;40.0338;31.34457;118.3271;4.016747
365.4309;195.9175;41.95896;31.55205;117.394;3.978031
365.4284;196.4113;40.02917;30.08733;118.5317;3.977387
365.4244;197.0921;40.02864;30.85631;116.6671;3.974503
365.4197;196.2525;40.01844;30.08778;118.5837;3.977575
365.4188;195.7142;40.02729;29.32372;117.675;3.962356
365.4169;195.5433;40.02906;29.12534;117.6333;3.961175
365.4163;195.5821;40.01818;28.98341;117.134;3.975534
365.4144;197.3225;40.01844;30.92006;117.1629;4.004069
