K5T3.PV;K5TCV2I.PV;K5L2.PV
202.0073;11.81401;295.2803
207.184;15.19865;295.2794
207.0085;16.00208;295.2784
204.4135;11.18234;295.2764
201.4863;11.37594;295.2758
202.0665;11.81255;295.2748
206.9371;16.71589;295.2738
204.115;10.35141;295.2725
198.995;11.41203;295.2702
201.739;11.81068;295.2679
204.4487;11.18505;295.2675
204.0033;10.34838;295.2643
204.4302;10.34995;295.2626
206.8852;16.71651;295.2587
206.706;16.71688;295.2554
206.7071;16.71781;295.2548
201.6173;11.80474;295.2524
197.9881;14.26589;295.2515
205.5671;10.35234;295.2498
204.6379;11.19115;295.2492
201.8112;11.80953;295.2485
204.7598;10.34917;295.2466
201.4692;11.37979;295.2462
202.284;11.81516;295.2446
204.5542;11.18458;295.2426
204.6725;11.17698;295.2423
206.8631;16.7051;295.2416
202.2694;11.81208;295.2413
204.3644;11.1837;295.24
202.5077;11.8001;295.2393
204.1719;11.18714;295.2383
201.0704;11.44208;295.2374
201.4252;11.37;295.237
204.2571;11.18385;295.2295
206.646;16.72391;295.2295
204.5871;11.1776;295.2278
204.2681;10.34161;295.2259
197.9973;14.26406;295.2239
201.6629;11.37557;295.2229
207.0844;16.71714;295.2213
204.3071;11.20396;295.2206
203.6919;11.1899;295.2206
200.9627;11.38401;295.2193
206.5692;15.18703;295.217
197.7954;14.28969;295.2164
206.8175;16.71578;295.2151
201.9656;11.79182;295.2151
201.4015;11.37505;295.2151
204.3927;10.35526;295.2134
204.1919;10.34568;295.2104
201.8765;11.80922;295.2091
206.9787;16.71026;295.2082
201.2004;11.37349;295.2065
197.9442;14.26609;295.2055
205.0096;11.18688;295.2049
207.125;16.71563;295.2049
204.5665;11.17177;295.2046
204.984;11.19057;295.2029
204.5642;11.18333;295.2022
204.8735;11.17917;295.2013
204.3348;11.18156;295.1973
201.9031;11.81662;295.195
201.4023;11.47646;295.1947
203.755;10.3499;295.1944
204.4881;10.35703;295.1941
197.8381;14.2799;295.1914
201.7954;11.47802;295.1888
202.1913;11.81135;295.1881
201.4294;11.38823;295.1878
202.099;11.79714;295.1868
201.9415;11.81859;295.1862
202.0544;11.8012;295.1852
204.3656;11.17505;295.1836
204.3265;10.34214;295.1832
197.6946;14.2637;295.1806
201.1767;11.39109;295.1776
206.8248;15.18677;295.1773
204.7912;11.18375;295.1767
203.8692;10.35359;295.1767
198.1769;14.2487;295.1767
200.9965;14.26833;295.1757
206.6333;15.18521;295.1734
197.8473;14.26495;295.173
206.9471;16.70734;295.1718
201.7588;11.80391;295.1717
204.4819;11.18432;295.1714
204.3652;11.18385;295.1707
202.2156;11.8138;295.1704
204.2102;10.34875;295.1701
201.9223;11.80568;295.1698
204.175;10.34568;295.1685
207.0765;16.71906;295.1675
204.3194;10.34859;295.1662
202.3175;11.80609;295.1658
202.0667;11.80646;295.1632
205.414;10.36198;295.1629
203.9527;10.3599;295.1629
197.9944;14.27495;295.1625
204.3558;11.17974;295.1619
201.5031;11.36932;295.1619
202.2065;11.79896;295.1599
203.446;11.20125;295.1586
201.6531;11.46578;295.1586
202.3965;11.79766;295.1583
201.4837;11.38714;295.1573
204.3673;10.35802;295.1537
204.7306;11.17594;295.1534
200.9619;11.38401;295.1534
204.8465;11.18443;295.1527
195.9219;14.75859;295.1524
207.0227;16.70714;295.152
203.2425;11.19151;295.1517
204.6156;11.17031;295.1494
204.7469;11.18354;295.1468
202.1575;11.80307;295.1465
198.2196;14.27188;295.1461
207.0244;16.71542;295.1451
204.1929;10.33938;295.1445
206.7833;16.71214;295.1442
202.1556;11.80823;295.1435
201.4667;11.37005;295.1425
207.044;16.71141;295.1419
204.1687;10.33354;295.1412
202.0565;11.79547;295.1412
197.9433;14.25427;295.1409
204.2858;11.18578;295.1406
201.7919;11.38734;295.1399
201.3679;11.38813;295.1399
204.6356;10.33875;295.1393
202.2571;11.79302;295.1383
202.0396;11.8075;295.1366
203.924;10.34276;295.136
201.7383;11.8024;295.1357
204.2894;10.35474;295.134
204.2567;11.18667;295.133
204.1187;10.35474;295.1327
207.1544;16.71167;295.1327
201.5477;11.38464;295.1307
198.1856;14.2775;295.1294
204.2702;11.17474;295.1261
202.189;11.7988;295.1245
204.1517;10.35464;295.1238
204.6654;11.1888;295.1225
201.4617;11.38016;295.1222
203.2342;11.18922;295.1215
202.0369;11.81578;295.1215
202.4512;11.79979;295.1212
195.7756;14.77432;295.1186
201.595;11.46302;295.1186
204.4133;10.34823;295.1179
201.1069;11.38172;295.1169
204.0798;10.35083;295.1166
197.8629;14.26328;295.1156
201.8656;11.80865;295.1153
207.0281;16.71;295.1136
204.4567;10.35667;295.1133
204.0938;11.18786;295.1097
204.1958;10.34474;295.1094
204.73;11.16714;295.1091
207.0029;15.19802;295.1091
206.8592;15.1899;295.1091
204.1165;10.34026;295.1068
201.814;11.80109;295.1058
201.4017;11.46651;295.1045
204.1537;10.35422;295.1002
204.0123;11.19896;295.0999
197.851;14.26568;295.0999
204.3594;10.35609;295.0995
202.2804;11.80323;295.0979
195.4529;14.77156;295.0976
202.5304;11.8137;295.0966
201.1962;11.38635;295.0959
206.9402;16.71156;295.093
201.9865;11.79906;295.0927
206.9946;16.72292;295.092
204.4056;11.18786;295.09
201.7977;11.80609;295.09
197.9448;14.26125;295.09
204.5702;11.18958;295.0894
202.2044;11.80734;295.0884
201.96;11.80927;295.0881
206.5631;16.70911;295.0861
204.6923;10.365;295.0851
204.5173;11.18266;295.0844
204.265;11.18745;295.0844
204.9587;11.17427;295.0838
204.4619;11.17906;295.0831
204.5769;11.17354;295.0822
205.0279;10.34104;295.0808
202.2875;11.81354;295.0746
201.3948;11.37859;295.0746
204.1954;11.18849;295.0733
204.386;11.18719;295.0723
202.3913;11.79948;295.072
204.3637;10.34401;295.0703
201.9515;11.81594;295.0697
207.0327;16.70776;295.067
202.2429;11.80995;295.067
201.9892;11.80823;295.067
201.6154;11.37885;295.0661
201.5927;11.38276;295.0651
201.7287;11.37448;295.0638
204.451;10.34641;295.0612
204.4662;11.16484;295.0605
197.97;14.26516;295.0592
204.8425;11.18786;295.0589
204.61;11.18849;295.0579
204.4733;11.18375;295.0572
206.9031;16.7162;295.0565
201.0577;11.37234;295.0562
204.2177;10.34719;295.0559
201.5225;11.37839;295.0552
206.9877;16.72453;295.0549
202.6012;11.8001;295.0549
202.2254;11.80995;295.0546
201.3981;11.38099;295.0546
201.3233;11.37854;295.054
204.0458;11.17677;295.052
204.3404;11.18167;295.052
207.05;16.71;295.052
201.2381;11.38297;295.0516
204.2587;11.17755;295.051
201.9117;11.81047;295.0497
197.7408;14.26;295.0497
201.746;11.4687;295.0497
204.185;11.18354;295.0493
204.3779;11.1901;295.0487
198.1371;14.26979;295.0487
202.2783;11.80406;295.048
197.1721;13.28208;295.048
201.1994;11.39177;295.048
202.361;11.8049;295.0477
204.0302;11.1776;295.0464
203.5827;11.18599;295.0451
202.121;11.80953;295.0451
203.9865;11.18047;295.0447
204.5781;10.36703;295.0444
201.3792;11.37146;295.0438
204.1225;11.18635;295.0434
199.1594;14.26604;295.0415
204.7504;11.18469;295.0388
203.425;11.19479;295.0382
204.525;11.18505;295.0362
204.3327;11.17953;295.0349
204.2508;11.16661;295.0349
201.9904;11.80057;295.0349
201.3775;11.38026;295.0346
204.4996;10.34354;295.0336
206.8567;16.71229;295.0336
204.1281;11.18807;295.032
206.5338;16.71672;295.032
201.6154;11.385;295.0316
205.1048;10.35042;295.0313
202.4408;11.80859;295.0313
203.5217;10.34672;295.031
198.0592;14.25995;295.031
204.2871;10.35422;295.0306
203.9867;11.17969;295.0303
204.0821;10.35448;295.029
204.2948;11.18724;295.0287
197.8567;14.31271;295.0287
206.5567;15.18729;295.0267
204.3896;11.17505;295.0244
204.2325;11.17833;295.0234
206.8537;16.715;295.0231
202.1281;11.79359;295.0231
207.1062;16.70573;295.0218
203.1817;11.18839;295.0215
202.1837;11.79932;295.0211
201.6792;11.38094;295.0201
204.3246;10.35812;295.0195
204.5683;11.18469;295.0185
204.7031;11.19162;295.0182
204.875;10.36323;295.0182
198.2323;14.26214;295.0165
201.3242;11.37802;295.0162
198.4027;14.25906;295.0132
203.0529;11.19177;295.0116
201.8742;11.8088;295.011
204.2012;10.34766;295.0106
201.1985;11.38448;295.0106
199.6144;14.24776;295.0103
201.155;11.37969;295.01
203.9915;11.17948;295.0093
197.7567;14.28453;295.0077
203.9423;10.34026;295.007
207.366;15.18807;295.0067
202.1244;11.80318;295.0063
204.3942;11.17734;295.006
204.2965;11.19443;295.0047
203.3562;11.19;295.0034
203.7917;10.35005;295.0031
203.8079;10.35099;295.0031
204.2319;10.35625;295.0027
201.254;11.38521;295.0021
202.2654;11.79927;294.9998
204.5181;10.35333;294.9988
199.7352;14.2587;294.9988
202.2438;11.80854;294.9969
202.1723;11.8063;294.9958
206.1198;11.3788;294.9942
204.5669;11.18323;294.9939
207.0271;16.7038;294.9932
205.199;10.3526;294.9929
201.8556;11.80062;294.9922
204.4531;10.35698;294.9916
204.2665;11.18458;294.9913
201.1963;11.37453;294.9913
201.189;11.38;294.9906
201.9635;11.80182;294.9903
201.6042;11.38219;294.9903
204.8517;11.1851;294.9896
202.2517;11.80094;294.989
201.3427;11.19385;294.9873
201.4723;11.38078;294.9867
204.1085;11.18005;294.986
203.4846;11.1876;294.9857
202.0175;11.80333;294.9844
203.9594;11.1851;294.984
203.826;10.3437;294.984
203.9648;10.34349;294.9831
204.2908;10.35115;294.9831
208.0565;23.40432;294.9831
203.2231;11.20526;294.9821
201.1715;11.37823;294.9811
202.22;11.78661;294.9795
201.1325;11.37333;294.9785
204.0204;10.34932;294.9778
203.869;10.35026;294.9775
204.695;11.17484;294.9759
197.2017;13.2712;294.9759
204.455;10.34672;294.9749
201.3327;11.37219;294.9749
204.05;11.18208;294.9745
204.2819;11.1851;294.9732
205.0948;10.35932;294.9732
203.9327;11.18943;294.9726
202.1365;11.79589;294.9726
200.8225;11.36547;294.9719
201.5167;11.37932;294.9709
204.8752;10.35875;294.9703
204.2302;10.34859;294.9702
202.1527;11.80828;294.9696
204.0904;10.34115;294.9693
200.2469;13.32828;294.9693
201.6931;11.37896;294.9693
203.9854;10.35417;294.969
205.1962;10.35443;294.9686
204.0208;10.35568;294.9686
202.1613;11.80641;294.9683
202.1081;11.81005;294.968
204.1215;10.35609;294.9677
206.8319;16.72151;294.9677
202.3927;11.79531;294.9663
197.9975;14.27823;294.966
204.249;11.18651;294.9644
203.2604;11.19396;294.964
206.4917;16.71099;294.9637
204.3054;11.19281;294.9634
204.6023;11.1862;294.9617
204.6427;11.18891;294.9614
204.9833;10.35474;294.9604
201.7998;11.81453;294.9604
206.17;11.37469;294.9594
203.9121;11.17906;294.9588
204.8121;11.18026;294.9581
201.6425;11.37964;294.9581
204.0681;10.35604;294.9578
203.2263;11.19307;294.9572
206.2513;10.35427;294.9572
204.0815;11.16734;294.9565
201.9746;11.81531;294.9565
201.4683;11.3838;294.9565
205.0023;11.18146;294.9558
204.2571;11.18885;294.9552
202.1788;11.81505;294.9552
201.4306;11.37536;294.9552
198.2827;14.26734;294.9548
201.1712;11.37906;294.9545
203.7971;11.21333;294.9539
204.1871;10.34391;294.9539
205.1413;10.35656;294.9532
204.6029;11.17354;294.9522
204.5533;11.18599;294.9516
199.3856;14.25698;294.9512
202.1981;11.80562;294.9506
204.194;11.17359;294.9496
204.4719;11.18036;294.9496
205.2275;10.35167;294.9496
204.1956;10.345;294.9493
201.5788;11.38005;294.9493
205.0315;10.35734;294.9489
201.1265;11.37203;294.9486
206.724;15.18146;294.948
201.4254;11.3688;294.9479
204.419;11.17755;294.9476
204.3094;10.34787;294.9473
201.4185;11.38068;294.947
202.1081;11.80562;294.9466
204.2498;11.1799;294.9463
204.254;10.34172;294.9463
207.1083;14.44167;294.9463
202.0144;11.79427;294.946
201.5262;11.37646;294.946
204.3681;10.3401;294.9443
203.4992;11.19281;294.944
200.2656;13.32276;294.9437
204.0683;10.34891;294.9427
204.4856;10.35594;294.9427
201.4444;11.38021;294.9427
204.1383;11.17969;294.9407
204.3169;10.34484;294.9404
204.3629;10.34823;294.9391
204.3756;11.16719;294.9371
204.6404;11.17932;294.9371
204.7183;11.16891;294.9365
198.0406;14.25771;294.9365
201.4362;11.37016;294.9361
204.3144;11.17974;294.9358
204.4669;10.35318;294.9355
204.3048;10.35698;294.9348
198.0115;14.27339;294.9348
201.7325;11.38;294.9342
206.6629;16.71099;294.9335
204.3387;10.35448;294.9332
204.1573;11.18031;294.9325
202.2708;11.8051;294.9322
200.3202;15.71156;294.9309
204.311;10.3462;294.9306
201.3862;11.38583;294.9302
197.3881;13.28156;294.9299
202.0979;11.78995;294.9289
204.1673;11.17583;294.9286
204.2783;11.19151;294.9279
203.2492;11.18839;294.9276
203.6542;11.18083;294.9269
201.3506;11.38688;294.9269
201.2252;11.3788;294.9263
201.3954;11.37698;294.9263
201.2819;11.36599;294.926
204.3854;10.34297;294.9247
204.66;11.19557;294.9243
202.1913;11.80198;294.924
204.5975;11.18182;294.9237
204.3919;11.18125;294.9237
204.515;10.35615;294.9214
203.854;10.33828;294.9214
205.2815;10.34661;294.9187
204.6804;10.34969;294.9187
204.455;10.34516;294.9171
204.314;11.1826;294.9168
201.2185;11.36698;294.9168
198.195;14.26391;294.9158
204.4996;10.35234;294.9155
206.6802;16.72526;294.9151
202.131;11.80411;294.9151
204.5156;10.33677;294.9142
201.4392;11.36948;294.9119
200.0027;15.72;294.9112
206.2998;11.54734;294.9109
204.1423;10.34937;294.9106
204.6294;11.17792;294.9099
203.4596;10.3537;294.9059
198.2415;14.26495;294.9056
203.8358;11.19438;294.9053
207.2317;16.72026;294.9043
198.0117;14.26583;294.9043
204.301;11.17698;294.904
204.6333;11.18552;294.904
201.139;11.3749;294.9033
204.4329;10.34406;294.903
202.7719;11.79891;294.9027
201.3038;11.3687;294.9027
201.385;11.37708;294.9023
202.0923;11.79453;294.902
204.019;10.3576;294.9007
201.3229;11.38854;294.9004
204.284;11.18182;294.8997
202.3333;11.7951;294.8991
203.8237;11.18281;294.899
206.5631;15.19458;294.899
202.0904;11.79536;294.8964
197.8523;14.26385;294.8964
204.096;10.35802;294.8958
203.9746;11.18984;294.8948
204.3325;10.34328;294.8948
204.7533;11.19187;294.8941
204.7669;11.18802;294.8938
204.4077;11.18089;294.8935
204.521;11.1812;294.8922
204.3025;11.18589;294.8918
204.3021;11.17917;294.8918
205.194;10.35667;294.8918
204.3065;11.18531;294.8909
201.281;11.3751;294.8905
201.3998;11.36964;294.8896
202.29;11.79958;294.8892
204.6375;11.19281;294.8889
201.2348;11.37859;294.8889
204.9306;10.35958;294.8882
204.1408;11.17526;294.8879
204.5594;11.18542;294.8866
204.5435;11.18422;294.8866
202.065;11.80161;294.8856
204.355;11.20115;294.8843
201.2702;11.38344;294.8836
201.749;11.37599;294.883
204.4869;11.17505;294.882
207.09;16.71646;294.882
204.5977;11.17656;294.8817
203.8596;11.1901;294.8813
201.2633;11.37792;294.8813
197.769;11.42099;294.8807
204.1719;11.19073;294.8804
207.3479;18.10391;294.88
204.3535;10.34464;294.8797
204.1406;11.18328;294.8784
206.7602;10.35281;294.8774
204.0569;11.18172;294.8767
204.3317;11.18313;294.8767
203.8929;10.36177;294.8764
206.4594;13.05734;294.8761
203.4379;10.35193;294.8738
201.6521;11.38516;294.8735
201.4996;11.37479;294.8731
204.1365;10.35271;294.8728
206.6867;16.7151;294.8722
204.3646;11.18198;294.8715
204.1879;11.19162;294.8715
204.3225;11.1749;294.8712
204.1746;10.34937;294.8689
204.914;10.36063;294.8682
205.6577;10.35052;294.8679
206.6971;15.19151;294.8679
204.5581;11.17818;294.8676
195.8585;14.77984;294.8672
205.516;10.34755;294.8662
202.0796;11.80339;294.8662
204.1008;11.18917;294.8659
205.6619;10.36234;294.8659
206.6671;15.17891;294.8653
195.7988;14.76224;294.8653
197.8233;14.27583;294.8653
204.2831;11.18563;294.8643
201.3783;11.36635;294.8643
201.2604;11.37693;294.8643
204.4669;11.20094;294.864
204.1962;11.18026;294.8633
204.3367;11.1937;294.8633
197.8262;14.26297;294.8626
204.7819;11.19672;294.8623
201.5942;11.38094;294.862
204.8025;10.35401;294.8617
204.8288;10.35099;294.8617
204.2962;10.34208;294.861
204.6281;11.18927;294.8587
204.0665;10.35375;294.858
201.2517;11.36656;294.858
200.0821;15.72698;294.8577
203.404;10.35953;294.8574
195.8421;14.77802;294.8564
200.9806;11.38411;294.8544
198.1392;14.25531;294.8531
202.5688;11.80839;294.8518
204.6435;10.35995;294.8515
201.4083;11.38057;294.8512
204.184;11.18776;294.8508
203.8283;10.35026;294.8505
202.105;11.80719;294.8502
199.3625;14.2638;294.8502
204.3338;11.195;294.8499
198.1058;14.28109;294.8489
204.2719;10.33562;294.8488
206.7329;15.18094;294.8488
201.5573;11.36979;294.8482
197.0448;13.25974;294.8479
