K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.261875;177.925;4.275781;52.84969;37.58072;364.7813;41.67469;30.94584;122.3187;3.980156;133.6125
4.276463;176.6087;4.2915;51.66281;37.56871;364.8994;41.69;30.98865;122.7813;3.997144;133.6094
4.198707;169.8325;4.182875;45.57312;33.23696;353.6888;20.42344;26.5357;122.235;3.920644;133.605
4.218469;177.3237;4.238688;51.2525;37.69706;368.1694;41.6575;32.94987;121.7525;3.940463;133.6044
4.269656;177.3712;4.270531;49.82187;35.54429;365.2556;41.6775;31.28605;122.0462;3.984769;133.6031
4.276762;176.6563;4.294343;52.58219;37.61303;364.8844;41.69969;30.98699;122.8587;3.994725;133.6013
4.198781;169.9125;4.181719;45.56532;33.23584;353.8969;20.42656;26.48057;122.2312;3.9165;133.5994
4.196644;169.6687;4.186;45.57687;33.2994;353.7319;20.41125;26.40169;122.1987;3.916575;133.5994
4.268306;177.2762;4.272563;49.8075;35.57825;365.1563;41.67219;31.13279;122.0687;3.982687;133.59
4.276313;176.6037;4.289094;52.645;37.00679;365.0812;41.68563;30.98936;122.8313;3.993356;133.59
4.2249;178.4763;4.267812;55.90813;39.69434;366.3244;41.67031;34.52615;122.2575;3.944194;133.5894
4.200281;170.0275;4.186687;45.58;33.2785;353.8425;21.15031;26.60965;122.1338;3.925087;133.5881
4.255106;179.8575;4.294781;55.86813;40.36305;366.6263;41.6975;33.12911;122.635;3.974437;133.5838
4.276425;176.6363;4.284469;51.37156;36.4464;365.1131;41.69437;31.02832;122.7525;3.999656;133.5781
4.198369;169.7025;4.179875;45.57344;33.20584;353.7994;20.39781;26.37861;122.1775;3.920381;133.5769
4.2768;176.6387;4.28375;51.38125;36.47873;365.2219;41.68594;31.07785;122.7625;3.987113;133.575
4.2765;176.6125;4.293906;51.66906;37.59621;364.7437;41.68344;31.03278;122.8187;3.991594;133.5737
4.255106;177.0225;4.278219;51.76188;37.72212;367.8525;41.67531;32.96066;121.1825;3.973594;133.5688
4.267744;177.1763;4.270844;49.47938;35.55535;365.0175;41.68563;31.02216;121.9662;3.982687;133.5681
4.201106;170.0825;4.183781;45.57375;33.21396;353.9025;22.79969;26.65312;122.2363;3.9147;133.5681
4.260019;177.895;4.276219;52.79656;37.54181;364.8581;41.68219;30.78769;122.3975;3.973481;133.565
