K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5F6X.PV
177.6875;4.304469;53.49531;38.09455;367.9444;33.08787
177.7238;4.302625;54.21125;38.09636;367.7044;33.08657
177.825;4.327531;56.20281;39.32502;366.7894;33.08657
177.9438;4.283344;55.02531;38.87757;366.99;33.08583
177.7238;4.319188;53.39844;38.40887;367.08;33.08484
177.1563;4.300594;54.32188;37.76952;367.5225;33.08209
178.87;4.307406;55.24125;40.10616;366.5887;33.07654
177.7075;4.313406;55.46938;39.7596;367.1719;33.07397
177.705;4.311094;54.25031;38.66506;367.3613;33.07362
177.365;4.277812;52.46969;37.73062;367.7944;33.06873
177.9563;4.288625;55.01031;38.91967;366.8062;33.06762
179.4812;4.301688;55.84094;40.28151;366.6131;33.06673
177.73;4.319656;53.40187;38.44489;367.0144;33.06603
176.98;4.305532;54.335;37.69861;367.6237;33.05929
177.385;4.311344;54.31531;38.05559;367.8825;33.05714
177.4088;4.298063;53.08812;37.56097;367.7081;33.05677
178.1013;4.307844;54.18813;38.01143;367.365;33.05459
177.6625;4.322375;55.46719;39.99698;367.0162;33.05144
177.455;4.322969;55.19437;39.67394;366.7031;33.0514
177.1525;4.284812;52.47906;37.69901;368.0231;33.04866
177.4337;4.308625;54.32844;38.06192;367.9369;33.0469
179.7063;4.302063;55.84687;40.34882;366.5606;33.04671
177.3013;4.307469;55.00938;38.10654;367.4587;33.04628
177.8887;4.311719;55.03156;39.57615;367.3631;33.04567
177.7875;4.285156;52.68344;37.65322;367.575;33.04551
177.2575;4.301531;54.07781;37.90186;368.4225;33.04527
177.7238;4.31725;55.03375;39.60809;367.245;33.03874
178.37;4.317219;55.70562;39.40503;366.8456;33.03798
178.1087;4.319531;55.58125;39.55886;366.9956;33.03618
179.57;4.310563;56.57;40.24881;366.4125;33.0356
177.685;4.325562;55.15781;39.55534;366.705;33.03282
176.8913;4.314219;53.41781;38.31675;367.575;33.03265
176.9775;4.303531;54.32125;37.61573;367.6013;33.03101
177.4563;4.322813;55.18719;39.6729;366.6094;33.03038
177.66;4.320562;55.47219;39.97407;367.11;33.02966
177.7412;4.319031;55.46688;39.85891;367.2206;33.02923
177.7337;4.309312;53.67813;38.95668;367.1194;33.02919
177.8913;4.285687;54.12563;38.56644;366.9919;33.02901
177.7;4.312031;53.675;38.83006;366.9562;33.02778
178.0975;4.31425;54.42156;39.46791;367.1756;33.0257
177.43;4.301594;53.47344;38.10982;368.2238;33.02433
177.8425;4.319813;55.04031;39.56568;367.0762;33.02393
176.8412;4.312781;53.84781;38.32911;367.6162;33.02061
178.1563;4.312094;55.77563;39.42064;367.2037;33.01946
176.9263;4.302032;52.6525;37.56172;367.7588;33.01941
178.0537;4.30125;54.18344;38.04662;367.5075;33.01905
177.5638;4.280031;53.05656;37.78598;367.0725;33.0147
177.93;4.283375;54.26781;39.01991;366.8081;33.01461
177.3075;4.324156;55.19094;39.72309;366.735;33.0125
178.2088;4.313781;54.425;39.06834;367.0669;33.01242
177.6488;4.316562;53.67313;38.94641;367.1119;33.01038
177.7112;4.328938;55.135;39.525;366.57;33.00979
177.8925;4.310875;56.15375;39.07097;367.2037;33.00899
178.145;4.319219;56.02375;39.57687;367.14;33.00821
177.75;4.315844;55.24062;38.71019;367.2637;33.00549
177.3112;4.328;55.18219;39.67142;366.5887;33.00533
177.7712;4.313906;55.04656;39.57595;367.2412;33.00426
178.0437;4.306437;54.1875;38.07165;367.3763;33.00404
177.68;4.318469;53.39406;38.43845;366.945;33.00325
177.7112;4.317625;55.03875;39.56034;367.29;33.00311
177.7225;4.313656;53.6825;38.952;366.8588;33.00212
177.6888;4.311781;55.88813;39.10912;367.2319;32.99916
177.8;4.316093;54.77125;38.74231;367.2844;32.99694
177.7988;4.279;54.69312;39.10408;366.7106;32.99557
177.7937;4.276531;54.7025;39.10149;366.615;32.99551
178.8025;4.312812;55.23438;40.08345;366.6038;32.99539
177.39;4.299531;55.01875;38.13522;367.2319;32.99432
177.815;4.312156;54.7425;38.7577;367.2;32.99162
177.9362;4.315187;54.81718;39.90099;367.425;32.99076
178.185;4.31875;56.02344;39.48411;366.6675;32.98886
176.9413;4.242343;50.8675;37.43837;367.9425;32.9886
176.6763;4.236844;55.32844;39.57021;366.3619;32.98764
176.8737;4.312875;53.40656;38.32645;367.83;32.9876
176.9725;4.275281;51.22906;37.73968;367.7794;32.98748
177.6888;4.309625;54.70031;37.90465;367.3556;32.987
177.9512;4.327531;56.49688;39.31651;367.3275;32.98629
177.425;4.312187;54.46062;38.9699;367.4438;32.98601
177.525;4.322656;55.19781;39.59764;366.8062;32.98588
177.0938;4.287344;52.20344;37.6517;367.3125;32.98558
177.2575;4.323031;55.03844;40.01078;367.0031;32.98469
176.8938;4.274062;51.17781;37.89011;367.6031;32.98406
177.515;4.319625;53.01437;38.15967;367.29;32.98351
177.7813;4.331563;55.50281;39.58128;366.7613;32.98289
177.9563;4.283469;54.82063;38.88788;366.9037;32.98252
179.1537;4.306719;55.82844;40.27611;366.3488;32.98159
178.0175;4.249844;51.39656;37.44667;367.8225;32.98132
177.7188;4.306094;54.25281;38.6146;367.3312;32.98087
177.53;4.301875;53.205;37.59272;367.5;32.97952
177.385;4.298063;53.11844;37.57724;367.5731;32.9777
179.2587;4.305094;55.83156;40.28945;366.4969;32.97735
178.215;4.316813;55.2225;39.06717;367.0819;32.97693
177.6413;4.323031;55.4475;40.08549;366.8212;32.97652
177.385;4.325718;55.18625;39.68608;366.6394;32.97645
178.12;4.329437;57.15375;40.11516;366.9619;32.97469
176.9575;4.310062;53.40094;38.26662;367.7044;32.97376
177.9;4.312031;55.46969;38.75016;367.2956;32.97279
177.9175;4.312375;56.15937;39.10875;367.215;32.97196
177.1225;4.298969;51.66187;37.52104;367.7962;32.97078
177.5912;4.321281;55.195;39.5276;366.9487;32.97063
177.955;4.249688;50.61094;37.49138;368.0363;32.97034
177.8712;4.327063;55.45187;39.2289;366.6488;32.96902
177.29;4.307625;53.62906;38.18193;368.3269;32.96533
176.9125;4.311719;53.40907;38.27896;367.7175;32.96484
177.9113;4.318188;53.39312;38.43449;367.1062;32.96442
176.8375;4.312875;53.68531;38.32396;367.6294;32.96434
177.8475;4.246156;50.34687;37.47175;368.1356;32.96188
177.0225;4.278219;51.76188;37.72212;367.8525;32.96066
177.6325;4.297969;53.33406;37.54604;367.6594;32.96036
177.0887;4.278219;52.44437;37.74178;367.7981;32.9577
177.3188;4.277969;52.4625;37.73333;367.8094;32.95743
177.955;4.301875;53.75781;38.08714;367.5038;32.95532
177.82;4.31225;54.74;38.72596;367.1738;32.95108
177.7088;4.312375;53.99625;38.69637;367.1663;32.95031
177.7375;4.308594;54.1725;38.54013;367.5469;32.95005
178.6637;4.310969;55.24344;40.09162;366.5981;32.94998
177.3237;4.238688;51.2525;37.69706;368.1694;32.94987
177.595;4.315906;53.37094;38.46679;366.8269;32.94985
178.95;4.306531;55.22688;40.20393;366.4912;32.94899
177.4775;4.312906;54.46563;38.98915;367.485;32.94768
178.125;4.326406;54.71188;39.06594;366.7406;32.94561
176.8688;4.298438;52.69156;37.58245;367.6988;32.94513
177.2975;4.288438;53.32969;37.6826;367.1756;32.94402
177.6237;4.3055;53.97469;37.9256;367.8337;32.94378
178.1425;4.323187;56.21844;39.06796;366.7706;32.94337
177.6987;4.325;55.26937;39.74395;367.6875;32.94263
177.28;4.296344;53.12156;37.52549;367.5619;32.94238
177.8625;4.283187;54.68594;39.14127;366.6206;32.94085
177.5488;4.318687;54.46812;38.75702;367.455;32.94038
177.67;4.317156;55.45094;40.0706;366.8044;32.94011
177.0275;4.289656;52.19406;37.61671;367.2338;32.93802
178.2263;4.321813;54.92844;39.08216;367.0181;32.93747
177.3038;4.305156;55.01313;38.2301;367.4269;32.93745
177.26;4.276937;52.48563;37.6816;367.7437;32.93744
179.0988;4.308844;55.54187;40.26021;366.465;32.93587
177.1688;4.300469;53.30437;37.7177;368.3344;32.93578
177.1563;4.231656;49.52063;36.66465;368.04;32.93428
176.9837;4.236594;50.39313;37.22202;368.0419;32.9341
176.9375;4.304937;52.65531;37.54276;367.9744;32.93307
177.6525;4.285969;53.0675;37.9331;367.0069;32.9323
177.4975;4.321281;53.73094;38.49196;367.3613;32.93102
177.575;4.282031;53.04156;37.95514;367.0931;32.93013
177.3825;4.299687;55.00938;38.24547;367.5319;32.92847
178.0575;4.320375;55.43312;39.40005;367.0181;32.92805
177.8112;4.309031;55.24844;38.6029;367.4831;32.92731
177.9225;4.2815;54.10156;38.53934;366.9375;32.92707
178.145;4.316937;54.91406;38.28957;367.1888;32.92643
177.775;4.3145;54.72906;38.7999;367.2975;32.92632
177.3125;4.322844;55.96094;40.16974;366.9675;32.92631
177.0213;4.301687;51.98406;37.54082;367.7588;32.92615
177.5813;4.307375;53.49125;38.09741;368.205;32.92511
177.5825;4.309968;53.79875;38.48005;367.5262;32.92486
177.8712;4.316156;55.68469;38.90726;367.2919;32.92412
177.6275;4.309156;54.69531;37.92274;367.4587;32.92375
177.7063;4.3125;53.68531;39.00724;366.9225;32.9231
177.7962;4.312844;54.73781;38.78472;367.1756;32.92289
177.2175;4.32275;55.46188;39.67419;366.7106;32.92268
178.4475;4.252531;51.39781;37.23284;367.6762;32.92157
177.7813;4.245656;50.34687;37.53444;368.0513;32.91928
177.24;4.238344;51.13781;37.06163;368.1094;32.91822
177.6425;4.310031;54.3725;38.28196;367.3763;32.91797
177.6;4.323125;55.17469;39.55353;366.8531;32.9167
176.6875;4.230719;53.88469;39.54947;366.2513;32.91515
176.8425;4.299344;52.68;37.77546;368.205;32.91317
176.5137;4.312031;52.4825;38.08714;367.7944;32.9131
177.645;4.319906;54.83562;39.20721;367.6631;32.91279
178.1688;4.252187;51.40062;37.40612;367.875;32.91235
177.215;4.295969;52.82219;37.53384;367.8131;32.9108
177.2363;4.291719;52.42031;37.66462;367.095;32.91079
177.6662;4.314062;53.3825;38.42309;367.0537;32.91076
177.6725;4.313063;53.67188;39.02047;366.9056;32.90998
177.2725;4.321906;55.6625;39.69285;366.7613;32.90995
176.955;4.300469;53.18438;37.63663;367.5975;32.90944
176.855;4.312656;53.25938;38.4921;367.6613;32.90831
176.8412;4.232563;50.87062;37.37961;367.95;32.9074
176.6025;4.320563;53.59156;39.00574;367.6781;32.90715
177.885;4.2865;54.74906;38.4655;367.0969;32.90621
177.445;4.2405;50.75625;37.59814;368.0925;32.9051
177.6763;4.310875;54.36312;37.93748;367.3969;32.90448
177.615;4.325969;53.52406;38.43373;367.6087;32.90079
177.545;4.311718;54.45281;38.68006;367.4681;32.90033
176.775;4.303125;52.67656;37.721;367.9781;32.89991
177.0663;4.296187;51.51594;37.56562;367.7456;32.8995
176.5912;4.234188;55.39563;39.65816;366.5156;32.8991
177.7663;4.2875;55.71812;39.45208;366.7144;32.89893
177.8625;4.324;56.58937;40.06408;367.3144;32.89864
177.6763;4.305719;54.26719;38.60836;367.425;32.89808
178.3325;4.256094;51.39844;37.36679;367.7794;32.89728
177.5338;4.312906;53.68906;38.01526;367.0856;32.89653
177.6938;4.314219;53.67406;39.00813;366.9656;32.89594
177.4288;4.31175;54.46844;38.67634;367.5506;32.89433
177.6113;4.319531;53.95781;39.03315;367.4644;32.89431
177.6712;4.243563;50.3525;37.59581;368.1;32.8921
177.4563;4.315562;54.46781;38.86341;367.4194;32.89033
177.5675;4.314125;53.05938;38.66859;367.0425;32.88948
177.65;4.3085;53.68281;38.75769;366.9881;32.88816
177.6275;4.314813;55.02844;39.71173;367.1419;32.88626
177.6375;4.316031;53.37719;38.39716;366.93;32.88613
176.8613;4.307343;53.91687;37.87088;366.9862;32.88514
177.5638;4.316625;53.10437;38.50708;366.765;32.88258
177.0938;4.299469;52.82344;37.66522;368.1244;32.88081
177.46;4.312656;54.45906;38.74455;367.5019;32.88079
177.67;4.283563;55.36063;39.67215;366.4331;32.88029
177.7062;4.281969;53.55125;37.92406;367.0931;32.87883
177.6;4.312188;53.05875;38.60867;367.0425;32.87663
177.8775;4.30775;53.73469;38.87237;367.5769;32.87579
177.4688;4.314969;54.31875;38.09704;367.815;32.87444
177.8512;4.311719;53.74344;38.8327;367.65;32.87424
177.76;4.308625;54.27562;38.51088;367.5262;32.87144
177.7063;4.307656;54.26469;38.53636;367.5094;32.86982
177.5587;4.312406;53.40281;38.94923;366.975;32.86881
176.8537;4.322344;54.10625;39.37402;367.2675;32.8677
176.7175;4.301969;52.68594;37.76144;367.9256;32.86628
177.7875;4.278438;53.60594;37.96948;366.93;32.86618
177.3525;4.283937;53.27906;37.76221;366.9844;32.86549
177.6013;4.321375;55.45687;40.05988;367.0763;32.86449
177.1275;4.286937;52.24844;37.61768;367.2937;32.86412
177.2238;4.316406;55.44625;39.78252;366.7988;32.86404
178.0712;4.30075;54.28531;38.17619;366.9056;32.86293
177.715;4.320063;54.83781;39.15523;367.4962;32.86184
177.5437;4.312125;53.45344;38.52086;367.6237;32.86168
179.3463;4.303406;55.82938;40.25839;366.4819;32.86132
176.725;4.229094;50.86625;37.55051;368.0831;32.86071
176.8425;4.277812;52.49062;38.24718;367.3387;32.85829
177.6975;4.31625;54.84375;39.20901;367.38;32.85653
178.2113;4.295281;54.02344;38.31253;366.7425;32.85616
177.6425;4.315156;53.68;39.07039;366.8269;32.8561
177.7;4.311469;53.68906;39.12009;366.855;32.85543
176.8188;4.301406;53.94094;37.89223;367.1644;32.85213
176.57;4.314625;52.26781;38.10832;367.62;32.8518
177.675;4.319438;54.87094;39.2604;367.6406;32.85077
177.5587;4.315625;53.26344;38.54391;366.8475;32.85057
177.6162;4.32175;55.26656;39.6591;367.5994;32.85032
177.01;4.318531;54.6275;39.02605;366.9131;32.84869
178.0112;4.318563;56.58281;39.70647;367.1119;32.84855
176.5087;4.226844;50.86594;37.53417;367.935;32.84853
177.5313;4.315813;53.22969;38.60104;367.1475;32.84796
177.7038;4.322219;55.80656;39.40607;366.9956;32.84711
177.65;4.314375;53.68937;38.67856;367.1156;32.8468
177.825;4.277187;54.68687;39.03951;366.6731;32.84578
178.1463;4.301813;54.30094;38.22002;366.7988;32.84575
177.1625;4.315813;54.05281;38.83394;366.9525;32.84267
177.8938;4.304219;53.61937;38.32573;367.6669;32.84153
176.9312;4.327656;54.09125;39.35035;367.3144;32.83981
177.5362;4.316844;54.6425;38.78299;367.8262;32.83963
176.6775;4.231125;50.87313;37.50008;368.0531;32.83792
177.8062;4.30975;53.74625;38.82219;367.6425;32.83783
177.21;4.309219;54.30188;37.83363;367.9706;32.83598
176.8875;4.289156;51.69906;37.60665;367.1325;32.83503
177.7088;4.306781;54.25906;38.60404;367.7831;32.83498
177.8513;4.308687;54.16344;38.83718;367.695;32.83485
178.4088;4.314094;55.25125;40.04643;366.6431;32.83442
177.655;4.31225;53.68906;39.01975;366.7819;32.83272
177.7025;4.308063;54.26844;38.65866;367.59;32.83063
177.6463;4.311875;53.07063;38.75825;367.1456;32.82938
177.4175;4.280688;53.06937;37.74793;367.0612;32.82904
178.0313;4.320656;56.02375;39.98099;367.0875;32.82783
178.5625;4.3125;55.24656;40.08836;366.585;32.82743
178.27;4.315906;55.18344;39.12939;366.8344;32.82685
177.6963;4.319062;53.37688;38.45832;367.0875;32.82451
176.8387;4.318187;54.38531;39.23019;367.2169;32.82444
177.7325;4.320969;54.94687;39.20271;367.6013;32.82355
177.4538;4.315125;54.47125;38.80044;367.4887;32.82228
177.6637;4.309937;53.38187;38.40777;366.9713;32.82104
177.6637;4.310875;53.68219;38.777;367.1306;32.82098
177.2238;4.314125;54.31906;37.91455;367.8994;32.82007
177.68;4.306781;54.24844;38.61514;367.1906;32.81991
177.045;4.296875;52.67219;37.64976;368.1862;32.81824
177.59;4.323094;55.27219;39.55588;367.56;32.8181
177.6812;4.314188;53.68063;39.05346;366.8269;32.81804
177.6825;4.311062;53.67812;39.05497;366.7781;32.81667
176.835;4.325562;54.10062;39.32834;367.155;32.81607
176.6763;4.314938;53.60781;39.08286;367.6031;32.81582
177.6087;4.311312;53.6825;38.78415;367.1756;32.81472
177.705;4.321563;54.9;39.04693;367.5581;32.81399
177.1362;4.32625;55.44906;39.722;366.8756;32.81334
177.5825;4.241375;50.25625;37.63585;367.9969;32.81211
177.8438;4.306625;54.53563;38.75863;367.5319;32.81206
176.6938;4.304313;52.42969;38.60395;368.0663;32.81205
177.5887;4.279406;55.87406;39.95147;366.4763;32.8103
177.745;4.305156;54.26094;38.64397;367.4212;32.80933
178.2375;4.316875;55.35812;39.02869;366.7313;32.80908
176.8513;4.302938;53.91344;37.9206;366.9675;32.80809
177.5087;4.310812;53.70438;38.6509;367.4644;32.80491
176.9075;4.301469;52.67437;37.64127;368.0325;32.80428
177.7612;4.280781;54.76656;38.44614;366.825;32.80355
177.5525;4.3155;55.47875;39.01621;367.4063;32.80336
176.34;4.232375;52.99094;39.53144;367.1025;32.80305
177.9487;4.326688;55.63531;40.2356;366.6881;32.80235
176.9413;4.288343;52.1825;37.61416;367.2225;32.80225
177.4688;4.314344;54.46344;38.98242;367.3912;32.79969
178.1537;4.326094;55.87188;39.04934;366.5513;32.79874
178.2762;4.250125;51.405;37.45139;367.83;32.79837
178.0963;4.324656;55.92406;40.20325;366.6938;32.7971
177.0562;4.327969;54.08844;39.3359;367.1531;32.79664
178.52;4.310312;55.24906;40.05972;366.585;32.7963
177.5688;4.321562;53.51125;38.45221;367.5562;32.79615
177.4375;4.31925;55.96281;39.94897;366.945;32.79593
