K5PC5CH.OP;K5P19_1.PV;K5PC6CH.OP
20.44484;-339.5504;32.81068
20.57255;-339.544;32.64771
20.08391;-339.5438;32.73714
20.07776;-339.5406;32.75276
20.46797;-339.539;32.75995
20.45823;-339.5294;32.78057
20.07479;-339.5292;32.7337
20.4688;-339.5269;32.82458
19.46823;-339.5254;32.69818
20.79526;-339.52;33.88802
19.86557;-339.5121;32.71391
20.32307;-339.5102;32.79151
18.57375;-339.51;32.7037
20.32078;-339.509;32.74688
20.42583;-339.5077;32.87609
20.57245;-339.5042;32.6899
20.06427;-339.4871;32.88734
20.95318;-339.4844;34.03375
20.12687;-339.4827;32.75646
19.85198;-339.4779;32.70687
20.69542;-339.4727;32.70646
18.69708;-339.4725;32.67615
19.82068;-339.4704;32.68646
17.95526;-339.469;32.19844
20.29812;-339.469;32.73229
20.52958;-339.4667;32.84536
20.52662;-339.46;32.84036
20.65458;-339.4577;32.7351
20.30151;-339.4573;32.80682
22.71125;-339.4562;36.17609
19.45401;-339.4475;32.68677
20.05787;-339.4471;32.86818
20.51656;-339.4423;32.76594
18.59271;-339.4419;32.77464
20.1226;-339.4408;32.77625
19.79927;-339.4331;32.7086
17.72911;-339.4315;32.31052
20.19958;-339.4292;32.85839
17.67078;-339.4285;32.29136
19.78922;-339.4273;32.7263
20.82641;-339.4246;32.77536
20.2701;-339.4244;32.82406
20.27073;-339.4181;32.8413
20.5388;-339.4152;32.62568
20.37391;-339.409;32.84156
19.62755;-339.4088;32.65047
18.83531;-339.4085;32.73354
19.3475;-339.4019;32.58604
21.42234;-339.3994;34.03688
20.32203;-339.3977;32.67078
18.54766;-339.3971;32.87714
18.55281;-339.3914;32.78885
19.61177;-339.39;32.66448
19.99073;-339.3858;32.72031
20.78266;-339.3802;32.79682
20.47807;-339.3798;32.73359
19.85776;-339.3765;32.72385
18.50307;-339.3687;32.73229
18.88412;-339.3644;32.66526
20.16203;-339.3617;32.73823
20.97719;-339.3546;33.90807
20.04328;-339.3485;32.80156
20.13516;-339.344;32.74995
20.02073;-339.339;32.82964
20.53365;-339.3377;32.78365
20.56052;-339.3369;32.70203
20.68891;-339.3331;32.68594
19.75026;-339.3327;32.7
19.67036;-339.3325;32.62365
18.05661;-339.3283;32.33625
19.63349;-339.3279;32.61443
19.67719;-339.3244;32.62912
20.26677;-339.3242;32.77687
19.87917;-339.3229;32.73177
20.49083;-339.32;32.76943
21.12521;-339.3181;33.91307
20.87172;-339.3148;32.8738
20.35276;-339.3106;32.8113
19.76906;-339.3104;32.6951
19.98969;-339.3069;32.74682
19.7649;-339.2983;32.71057
20.48948;-339.2925;32.51495
18.2124;-339.2785;32.27854
19.71974;-339.2744;32.65208
18.12792;-339.2737;32.38896
20.50932;-339.2725;32.86542
19.48812;-339.2694;32.60922
19.7912;-339.2658;32.7212
19.99463;-339.2633;32.71807
19.85213;-339.2627;32.66901
20.53391;-339.2583;33.94844
18.33495;-339.2454;32.79396
19.98135;-339.2433;32.73729
19.31562;-339.2433;32.64682
19.99516;-339.24;32.83912
19.57474;-339.2344;32.71354
20.39109;-339.2342;32.74297
20.575;-339.2321;32.70276
20.69417;-339.2306;32.64557
20.02193;-339.2296;32.86276
20.63797;-339.225;32.80755
20.61813;-339.225;32.77
20.65333;-339.2221;32.83667
20.54974;-339.2215;32.70615
18.24969;-339.2183;32.33693
19.72562;-339.2173;32.71875
20.24328;-339.2056;32.74364
20.31589;-339.2;32.83193
19.80443;-339.1969;32.72063
17.83859;-339.194;32.2851
20.5051;-339.1871;32.58328
18.44114;-339.1865;32.73526
20.50604;-339.1823;32.71641
19.88677;-339.1767;32.70432
18.66604;-339.1731;32.74953
20.31328;-339.1702;32.87547
21.03594;-339.1688;33.9162
20.51354;-339.1646;32.86578
21.11083;-339.1606;33.9162
19.83896;-339.1552;32.69823
21.00323;-339.155;33.96521
19.75974;-339.1452;32.67604
19.30266;-339.1436;32.64135
19.89682;-339.1427;32.73917
20.42667;-339.1379;32.74672
20.8099;-339.1338;32.57104
19.48854;-339.1271;32.60224
19.65182;-339.1248;32.72828
19.68573;-339.1212;32.71719
18.51047;-339.1185;32.7676
20.50583;-339.1162;32.73838
20.33687;-339.1162;32.74901
20.04099;-339.1136;32.75599
20.19995;-339.1133;32.80687
20.29161;-339.1127;32.82083
19.80109;-339.1092;32.72255
20.64896;-339.1;32.77406
20.4549;-339.0996;32.73219
20.32896;-339.0973;32.72609
20.52062;-339.094;32.63667
20.42021;-339.094;32.71948
18.11786;-339.0817;32.20474
18.3188;-339.0808;32.7337
19.8525;-339.0764;32.68422
19.78646;-339.075;32.70677
19.70146;-339.0625;32.66339
20.38646;-339.0604;32.79625
20.75589;-339.0552;32.59578
19.8725;-339.0548;32.71667
18.35161;-339.0535;32.74417
19.85177;-339.0523;32.71927
20.37833;-339.0483;32.7025
20.13917;-339.0456;32.81771
18.53703;-339.0444;32.75859
20.4387;-339.0444;32.81662
18.60469;-339.0425;32.49745
20.55375;-339.0363;32.84167
20.40667;-339.0333;32.74739
20.39781;-339.0331;32.85984
20.34849;-339.0292;32.83312
19.81474;-339.0281;32.7174
19.3637;-339.0181;32.60542
20.14682;-339.0131;32.81422
20.11714;-339.0113;32.72865
19.81682;-339.0085;32.74526
19.57;-338.9969;32.60411
20.88234;-338.9967;32.5362
20.76302;-338.9902;32.65547
20.52385;-338.9854;32.8276
19.80417;-338.9829;32.68516
19.39286;-338.9825;32.62239
20.21667;-338.9823;32.72781
20.52719;-338.9814;32.76406
19.90089;-338.9788;32.64875
18.16583;-338.9748;32.29813
20.46635;-338.969;32.74401
21.33266;-338.9665;33.91958
22.8975;-338.9648;36.19542
18.26526;-338.9642;32.73005
20.91375;-338.955;34.0064
20.65865;-338.9536;32.76578
21.17536;-338.9435;33.94005
19.16156;-338.9425;32.58995
19.87359;-338.9356;32.72073
19.45281;-338.9348;32.59719
18.55073;-338.9271;32.8275
18.60042;-338.9189;32.87339
20.34786;-338.9171;32.81438
19.8899;-338.9171;32.72511
19.77281;-338.9156;32.6887
20.36583;-338.9092;32.71823
18.6462;-338.9048;32.82859
18.52234;-338.9044;32.80745
20.82917;-338.9025;32.78531
20.61953;-338.8985;32.67271
18.66214;-338.895;32.7
20.6887;-338.8931;32.81198
20.47698;-338.8927;32.83136
19.72161;-338.8913;32.71989
18.19146;-338.8908;32.74062
20.61755;-338.8821;32.78969
18.52714;-338.8792;32.78141
19.95339;-338.8785;32.69984
19.90573;-338.8777;32.77281
19.75729;-338.8775;32.68604
19.38172;-338.8763;32.62682
20.89068;-338.8754;33.9176
20.48125;-338.874;32.7362
19.98302;-338.8702;32.74401
19.66162;-338.869;32.73177
20.38141;-338.8681;32.84859
18.18547;-338.8675;32.2475
19.83792;-338.8669;32.72427
21.00031;-338.8665;34.04865
19.75802;-338.8596;32.65354
19.71677;-338.8544;32.65958
20.35755;-338.8473;32.73146
21.42823;-338.8469;33.96791
20.02141;-338.8444;32.86125
19.8451;-338.8365;32.71469
20.52453;-338.8311;32.80458
18.36339;-338.8296;32.76974
20.55042;-338.8281;32.77625
19.59026;-338.8273;32.7201
20.26297;-338.8252;32.74588
20.50094;-338.825;32.78588
20.33458;-338.8238;32.7901
20.7549;-338.8192;34.01937
20.27521;-338.816;32.88136
20.71901;-338.816;32.73974
19.78687;-338.8138;32.71375
19.67281;-338.8129;32.72083
20.26063;-338.8123;32.90651
21.03146;-338.81;34.05542
17.8299;-338.8087;32.07302
18.01854;-338.8087;32.35396
20.80359;-338.8004;32.78458
20.41156;-338.7987;32.83708
20.24339;-338.7956;32.73656
20.88297;-338.795;33.95828
18.05776;-338.7896;32.21958
20.59672;-338.7852;32.81073
19.65365;-338.7823;32.61891
20.47104;-338.7765;32.86167
20.34917;-338.7733;33.80859
21.12031;-338.7721;33.89953
20.8049;-338.7694;33.9474
20.77662;-338.7604;33.92688
20.30214;-338.7585;32.81651
20.27464;-338.7567;32.75318
22.63812;-338.755;36.13833
18.80083;-338.7494;32.7837
18.2063;-338.7483;32.24948
20.305;-338.745;32.86271
20.48547;-338.744;32.79146
18.21037;-338.7429;32.39021
18.42463;-338.7429;32.77964
20.44547;-338.7396;32.77083
19.85323;-338.7379;32.66312
21.21516;-338.7377;34.00281
17.87984;-338.7362;32.26099
21.05563;-338.7348;33.88958
19.35792;-338.7344;32.60135
20.78036;-338.7281;32.79297
19.97797;-338.7231;32.73427
18.07469;-338.7169;32.33745
21.13375;-338.7154;34.03453
17.77229;-338.7129;32.23589
20.82505;-338.7121;32.84604
22.47338;-338.7087;36.10875
20.23703;-338.7087;32.90453
17.42745;-338.7071;32.24166
20.44354;-338.7031;32.77198
18.93917;-338.7017;32.67953
18.23109;-338.7002;32.22948
18.20417;-338.6938;32.35625
21.03557;-338.6883;33.92292
20.40151;-338.6877;32.78552
18.66323;-338.6875;32.69333
20.23427;-338.6798;32.85344
21.37021;-338.6775;33.96333
19.95594;-338.6731;32.71682
20.4912;-338.6711;32.77234
18.55188;-338.6683;32.79854
20.44849;-338.6669;32.7776
20.47526;-338.6648;32.77203
17.56849;-338.6585;32.80224
19.7612;-338.6542;32.68604
19.87099;-338.65;32.77021
19.73255;-338.6498;32.69089
19.46917;-338.6481;32.62229
18.67578;-338.6462;32.69828
19.60625;-338.6456;32.68391
20.44849;-338.645;33.79672
21.12042;-338.6431;33.91109
20.59224;-338.6423;32.73604
21.09917;-338.6421;33.89943
19.76078;-338.6419;32.69885
20.57719;-338.6398;32.62714
20.76406;-338.6358;32.77781
19.50969;-338.6306;33.55948
19.83521;-338.6263;32.7326
20.47333;-338.6252;32.79656
21.24578;-338.624;33.97047
19.75859;-338.6194;32.65833
20.27938;-338.614;32.82401
21.15151;-338.6073;33.98406
21.17021;-338.6013;34.05661
17.72839;-338.6006;32.29839
20.34297;-338.6002;32.80037
21.08375;-338.5967;34.00412
18.23802;-338.5954;32.35437
22.93271;-338.5933;36.18281
17.82911;-338.5904;32.17427
21.01995;-338.5898;33.92562
19.91964;-338.5896;32.66604
19.46318;-338.5873;32.65948
20.50432;-338.5823;32.87989
19.78016;-338.5823;32.71088
19.6488;-338.5813;32.75359
20.60599;-338.5775;33.91484
20.49286;-338.5767;32.76922
20.2788;-338.576;32.84068
17.98266;-338.5758;32.11411
20.58937;-338.5756;32.92021
21.06391;-338.5752;33.98864
19.64036;-338.5727;32.66677
21.22516;-338.5725;33.9988
19.6987;-338.5671;32.71599
20.59135;-338.5644;32.79682
20.75875;-338.561;32.69656
20.40844;-338.5587;32.79688
18.14359;-338.5583;32.22271
20.9637;-338.5511;33.89677
20.93745;-338.5511;33.93271
20.77203;-338.55;33.87484
20.01115;-338.5498;33.7364
21.30385;-338.5487;33.98328
20.60755;-338.5487;32.6314
19.5026;-338.5475;32.6701
21.00849;-338.5473;33.92891
20.49609;-338.5463;33.97354
18.64938;-338.5448;32.81271
20.33214;-338.5429;33.88177
20.75047;-338.5421;32.74364
20.93328;-338.5385;33.90729
19.22953;-338.5373;32.63219
20.00167;-338.5363;32.90062
20.5425;-338.5352;32.79083
20.55729;-338.5315;32.74896
19.62396;-338.5285;32.72063
20.01911;-338.5279;32.72344
20.90849;-338.5225;33.88385
20.98198;-338.515;33.93844
20.04859;-338.5144;32.65786
20.92266;-338.5131;33.92714
22.66495;-338.5088;36.1462
19.91312;-338.5042;32.76177
18.5188;-338.4929;32.78568
18.04406;-338.4883;32.29292
