K5PC5CH.OP;K5PC6CH.OP;K5F3.PV;K5P5_1.PV;K5P5_2.PV
56.34917;67.7486;3093.412;-38.83594;-41.26094
55.10729;66.39172;3093.37;-39.58437;-40.46406
55.46542;66.4151;3093.184;-40.75078;-41.69609
56.34261;67.59651;3093.012;-39.05078;-38.58203
56.24458;67.69511;3092.744;-41.4375;-42.05625
55.57755;66.3951;3092.728;-35.98359;-40.16719
56.54901;67.66229;3092.672;-41.84531;-38.29766
56.58974;67.83719;3092.652;-38.36328;-36.03906
56.43542;67.8026;3092.631;-38.08203;-39.10156
56.40292;67.80682;3092.619;-39.00391;-40.62266
56.24031;67.88115;3092.486;-38.91797;-42.3125
56.69255;67.80698;3092.327;-42.40859;-37.99141
56.57635;67.80729;3092.269;-41.53516;-39.45391
55.55969;66.39417;3092.23;-42.88515;-40.73281
56.55959;67.76765;3092.184;-40.25391;-41.20391
56.31776;67.64047;3092.166;-36.75;-39.58594
56.31662;67.76688;3092;-42.65;-41.78672
56.45078;67.74083;3091.809;-39.96641;-39.24141
55.45922;66.42167;3091.784;-39.5375;-40.37031
56.44021;67.79516;3091.756;-38.35469;-43.97109
56.53635;67.78323;3091.711;-39.69141;-44.36562
56.48359;67.62135;3091.686;-40.61485;-36.6625
56.14047;67.60068;3091.66;-37.44219;-39.45313
55.37318;66.38786;3091.555;-37.55469;-40.66016
56.5337;67.82828;3091.22;-39.92578;-38.8539
55.6912;66.40938;3091.085;-39.66016;-38.84844
56.36224;67.74271;3091.06;-39.86094;-42.12969
56.53667;67.81786;3090.941;-39.98203;-39.82031
55.57802;66.41156;3090.88;-38.48594;-38.26015
55.39682;66.425;3090.876;-39.71328;-39.38203
56.4363;67.72761;3090.847;-41.55312;-41.77969
56.42719;67.73646;3090.764;-40.78125;-40.21406
56.56615;67.79594;3090.728;-41.11562;-36.13515
55.54719;66.40714;3090.631;-42.83047;-37.34531
55.56229;66.39313;3090.6;-40.42735;-39.85625
55.43005;66.39526;3090.592;-40.08516;-38.38984
56.41245;67.70099;3090.552;-38.36094;-37.76172
55.47276;66.32849;3090.473;-38.88906;-37.41719
56.53349;67.77808;3090.469;-40.36016;-39.62891
56.36864;67.75739;3090.325;-38.40625;-40.55
55.41359;66.31958;3090.325;-39.35781;-40.60469
55.71011;66.43958;3090.205;-39.27187;-44.15937
55.54911;66.34005;3090.2;-38.01406;-35.80781
55.39057;66.35646;3090.189;-41.87734;-42.00391
56.36302;67.88422;3090.178;-41.29453;-40.99688
56.31839;67.76037;3090.14;-42.45234;-38.7875
56.29875;67.7664;3090.112;-40.83125;-42.09453
54.58531;65.42604;3090.089;-41.05938;-41.21406
55.37427;66.38677;3090.083;-39.18359;-38.97578
56.57375;67.76604;3090.063;-46.075;-40.70547
56.19719;67.62521;3090.021;-39.78516;-38.77656
55.35677;66.39912;3090.017;-40.31562;-37.11719
55.45401;66.33807;3090.002;-39.10078;-42.99688
56.38656;67.76896;3089.967;-38.85859;-38.61875
55.3887;66.3462;3089.915;-42.54375;-40.53047
56.40688;67.85276;3089.909;-39.43594;-42.5836
54.52146;65.43765;3089.844;-38.97656;-37.25078
56.27687;67.76703;3089.767;-39.74766;-42.34063
56.4238;67.7975;3089.76;-37.78828;-41.88125
55.33417;66.39083;3089.734;-38.625;-38.70156
