K5T7.PV;K5T8_1.PV
52.0149;67.63781
52.01406;67.50282
52.01323;63.55021
52.01229;63.69417
52.01073;64.88292
52.01062;67.80073
52.00948;63.47698
52.0076;61.68667
52.00636;62.83062
52.00354;67.57396
52.00219;61.16656
52.00104;67.80073
51.99969;67.76281
51.99823;67.78177
51.99688;67.75938
51.99677;67.76052
51.99667;63.04063
51.99594;61.70719
51.99531;63.06313
51.99083;67.51334
51.99073;67.73729
51.9901;67.7526
51.98989;64.48531
51.98989;67.66927
51.98979;67.68063
51.98906;67.48531
51.98708;67.51542
51.98604;67.75271
51.98448;62.22187
51.98271;63.41042
51.98219;67.55417
51.98042;62.83729
51.97896;67.73479
51.97813;61.11167
51.97729;63.08302
51.97698;67.71635
51.97594;61.19
51.97406;67.63156
51.97375;63.59625
51.97271;63.10625
51.96969;62.05156
51.96844;63.665
51.96698;67.61542
51.965;62.96875
51.96458;63.07312
51.96437;67.64271
51.96333;67.67979
51.96198;67.81458
51.96167;67.80375
51.96094;63.57854
51.96073;62.32323
51.96062;64.3775
51.95979;67.54855
51.95969;67.76354
51.95896;61.67188
51.95896;62.87677
51.95896;67.71532
51.95875;64.27302
51.95854;63.68489
51.95823;64.16521
51.95792;63.03125
51.95708;63.00146
51.95687;63.31573
51.95656;63.22667
51.95635;64.7601
51.95448;67.74281
51.95406;63.40104
51.95302;67.56386
51.95208;62.93896
51.95208;63.28313
51.95177;63.51052
51.95146;60.98938
51.95135;63.00125
51.95052;63.55458
51.95052;67.76511
51.95042;62.89989
51.95;67.46833
51.94938;63.45406
51.94938;62.14667
51.94823;67.50906
51.94792;63.03208
51.9474;67.45708
51.94729;64.58135
51.94667;67.53709
51.94635;67.45406
51.94604;67.69791
51.94521;63.2049
51.94479;67.5325
51.94437;63.51073
51.94396;63.65146
51.94396;63.47094
51.94281;63.43906
51.94167;62.43261
51.93927;63.17427
51.93885;61.64458
51.93875;61.58594
51.93719;67.47896
51.93521;67.74031
51.93458;61.03531
51.93406;63.10865
51.93312;61.35375
51.93312;63.6124
51.93261;67.71938
51.93208;67.69375
51.93177;63.57938
51.93167;67.63136
51.93063;63.25542
