K0P102_1.PV;K5T16.PV
4.037584;94.70406
4.024528;94.7048
4.072978;94.70531
4.045178;94.70563
4.061572;94.70573
4.090425;94.70594
4.107172;94.70677
4.094909;94.70708
4.051131;94.70718
4.106631;94.70729
4.035512;94.70771
4.050766;94.70792
4.0611;94.70792
4.057497;94.70823
4.106375;94.70834
4.004878;94.70844
4.059225;94.70937
4.088119;94.70937
4.08355;94.70979
4.039581;94.70979
4.053728;94.71094
4.098712;94.71114
4.040422;94.71136
4.049256;94.71156
4.020887;94.71188
4.015994;94.71229
4.028322;94.7125
4.042681;94.7126
4.006231;94.71344
4.012638;94.71396
4.028216;94.71406
4.025803;94.71416
4.054585;94.71458
4.085597;94.71458
4.054069;94.715
4.051847;94.71521
4.074341;94.71573
4.097562;94.71635
4.057216;94.71646
4.028306;94.71656
4.012797;94.71687
4.034822;94.71687
4.019519;94.71719
4.020869;94.71739
4.057206;94.7175
4.026247;94.71761
4.015537;94.71771
4.011325;94.71781
4.007469;94.71844
4.047187;94.71864
4.088319;94.71958
4.031075;94.7198
4.084172;94.71989
4.0218;94.7201
4.083353;94.72063
4.07969;94.72073
4.040688;94.72083
4.044581;94.72177
4.033294;94.7225
4.076347;94.72281
4.0843;94.72385
4.025531;94.72437
4.027366;94.72479
4.062697;94.72511
4.037456;94.72542
4.03065;94.72552
4.093006;94.72573
4.027966;94.72604
3.999019;94.72667
4.052441;94.72698
3.993712;94.72739
4.081884;94.7275
4.109416;94.72802
4.022647;94.72844
4.018722;94.72844
4.038694;94.72854
3.999069;94.72875
4.028428;94.72938
4.092747;94.7299
4.09504;94.73
4.03015;94.7301
4.012787;94.7301
4.096138;94.7301
4.020544;94.73063
4.1337;94.7324
4.056419;94.7326
4.021675;94.7326
4.041934;94.73271
4.062834;94.73312
4.074584;94.73438
4.017188;94.73469
4.14985;94.73489
4.064919;94.73521
4.041772;94.73563
4.017925;94.73625
4.027647;94.73656
4.05695;94.73698
4.083444;94.73719
4.051415;94.73719
4.109853;94.73729
4.053247;94.7376
4.029244;94.73802
4.033109;94.73823
4.119894;94.73865
4.022409;94.73896
4.034681;94.74042
4.006063;94.74052
