K5F5.PV;K5LCV1_1I.PV
33.49684;0.00125
33.60309;0.00125
33.90754;0
33.97546;0
34.29637;0
34.37239;0
34.38157;0
34.39674;0
34.3219;0
34.17348;0
34.18902;0
34.04311;0
34.03528;0
33.95795;0
33.94604;0
34.04974;0
34.07699;0
33.89242;0
34.58565;0
34.92542;0
35.31509;0
35.28552;0
35.09477;0
34.26532;0
34.45243;0
34.1286;0
33.31434;0
34.44962;0
34.67274;0
34.70756;0
34.46115;0
34.00358;0
33.88785;0
33.52457;0
32.74447;0
32.6243;0
33.04668;0
33.49533;0
34.63808;0
34.80655;0
34.63243;0
34.39374;0
34.37568;0
34.39957;0
34.25315;0
34.02834;0
34.04382;0
33.57682;0
33.01988;0
33.22003;0
33.60654;0
34.75978;0
34.87448;0
35.11914;0
35.19285;0
35.16585;0
34.94481;0
34.17033;0
33.24743;0
32.52224;0
32.42902;0
32.95897;0
33.25196;0
34.34567;0
35.229;0
35.50721;0
35.35004;0
34.74168;0
34.34538;0
33.92591;0
33.75258;0
33.89342;0
34.08049;0
34.11338;0
33.99308;0
33.92007;0
34.00878;0
34.00899;0
34.00678;0
33.98114;0
33.93922;0
33.81172;0
33.76728;0
33.78249;0
33.92869;0
33.77066;0
33.86525;0
33.77607;0
34.8998;0
34.85161;0
34.68542;0
34.5033;0
34.34423;0
34.24342;0
34.16505;0
34.24245;0
34.52488;0
34.47213;0
33.41418;0
33.4029;0
33.21405;0
32.82248;0
32.85607;0
33.58186;0
34.41301;0
34.47336;0
34.67191;0
34.59842;0
34.56568;0
34.22427;0
33.93156;0
34.02355;0
34.21649;0
33.24139;0
33.37215;0
33.15272;0
32.4556;0
32.58001;0
32.72551;0
32.77081;0
32.66068;0
32.63932;0
32.81602;0
32.3821;0
30.95732;0
29.86046;0
28.86299;0
30.26224;0
31.96631;0
33.0022;0
32.87522;0
33.15569;0
34.10697;0
34.48446;0
33.34052;0
31.46121;0
29.7193;0
29.26123;0
29.92236;0
31.38667;0
32.35558;0
32.35656;0
32.66537;0
32.40197;0
32.16299;0
32.07134;0
31.60594;0
31.60816;0
31.6481;0
31.71448;0
32.26184;0
32.37141;0
32.47049;0
32.05425;0
31.78096;0
31.75946;0
31.7985;0
31.76491;0
31.86856;0
31.79537;0
31.76531;0
31.40925;0
30.83496;0
31.10456;0
31.45812;0
31.8857;0
32.98788;0
33.48616;0
32.90291;0
32.56594;0
31.76572;0
31.59563;0
31.14455;0
30.88715;0
30.00865;0
31.20159;0
31.51119;0
31.99314;0
33.48986;0
33.803;0
33.0403;0
32.05642;0
31.60867;0
31.04352;0
30.92469;0
30.8061;0
30.97954;0
31.92633;0
32.0414;0
31.95637;0
31.50638;0
31.61872;0
31.45012;0
31.43349;0
31.71119;0
31.56186;0
31.52795;0
32.24053;0
32.72132;0
33.152;0
33.35157;0
32.42252;0
31.60895;0
31.0933;0
30.07977;0
30.05274;0
31.09297;0
31.83509;0
32.2253;0
32.06134;0
32.0759;0
32.00144;0
31.79719;0
31.80873;0
31.3796;0
31.20047;0
31.17262;0
30.93726;0
30.88701;0.00125
31.21064;0
31.73317;0
32.01526;0
32.65133;0
32.77495;0
32.92373;0
33.02616;0
32.94127;0
32.83474;0
31.63058;0
31.42277;0
30.83646;0
30.50616;0
31.4865;0
31.75823;0
31.56197;0.00125
31.60938;0.001666667
31.74637;0
31.93679;0
31.74051;0.00125
30.98965;0
30.93794;0
30.81148;0
30.68687;0
30.71121;0
30.00904;0
29.75033;0
29.73697;0
29.69932;0
30.07512;0
30.49228;0
31.82522;0
32.43093;0.0004166667
31.22451;0
29.67913;0
29.32095;0
29.05773;0
28.94408;0
28.8878;0
29.53864;0.0004166667
31.01262;0
32.32638;0.0008333334
32.37236;0
32.14405;0.0005729167
30.98565;0.0005729167
