K5PS14_2.PV;K5P10.PV
4.290803;4.31087
4.29075;4.306104
4.290734;4.311797
4.290706;4.286339
4.2907;4.288771
4.290694;4.280531
4.290688;4.289292
4.290662;4.305438
4.2906;4.313208
4.290434;4.293417
4.290322;4.305917
4.290263;4.295979
4.290225;4.300641
4.290165;4.302969
4.290134;4.310615
4.290038;4.288286
4.289956;4.291974
4.289931;4.276859
4.289931;4.287662
4.289891;4.287161
4.289872;4.302922
4.289856;4.320333
4.289853;4.307938
4.28985;4.283932
4.289762;4.301578
4.289575;4.316
4.289531;4.281703
4.289497;4.300786
4.289447;4.281625
4.289384;4.298932
4.289338;4.302995
4.289278;4.276495
4.289263;4.300979
4.289172;4.311182
4.289128;4.276266
4.289103;4.281437
4.289084;4.296193
4.289022;4.300844
4.289016;4.295995
4.289006;4.285511
4.288997;4.314339
4.288978;4.313057
4.288922;4.301073
4.288897;4.322349
4.288756;4.30738
4.288678;4.324265
4.28859;4.283885
4.288372;4.285281
4.288331;4.305219
4.28831;4.310948
4.2882;4.293115
4.288194;4.305599
4.288178;4.307521
4.288166;4.311271
4.288156;4.272156
4.288135;4.296318
4.288103;4.311714
4.288028;4.361312
4.288009;4.300687
4.287991;4.302583
4.287984;4.31263
4.287982;4.292662
4.287978;4.271495
4.287962;4.302943
4.28796;4.306213
4.287878;4.28363
4.287859;4.29887
4.287794;4.27875
4.287787;4.309078
4.287772;4.291729
4.28775;4.285703
4.287737;4.288807
4.287737;4.347886
4.287678;4.283198
4.287656;4.280703
4.287628;4.300963
4.28754;4.301302
4.287444;4.290776
4.287306;4.318818
4.287278;4.305338
4.287253;4.308109
4.287244;4.293479
4.287228;4.284693
4.287222;4.284203
4.287216;4.312469
4.287188;4.294713
4.287188;4.289297
4.287037;4.292094
4.287022;4.296906
4.286934;4.286255
4.286866;4.297469
4.286844;4.298484
4.286816;4.301427
4.2868;4.294526
4.286731;4.295531
4.286713;4.300802
4.286713;4.302886
4.286547;4.286213
4.286488;4.311469
4.286372;4.293406
4.286272;4.30724
4.286269;4.268896
4.286237;4.30512
4.28616;4.314771
4.28615;4.296229
4.286125;4.303208
4.286062;4.292265
4.285978;4.264151
4.285978;4.297302
4.285931;4.299333
4.285919;4.276422
4.285894;4.295984
4.285853;4.297849
4.285788;4.283578
4.285772;4.29476
4.285738;4.294333
4.285691;4.282276
4.285615;4.313562
4.285575;4.295969
4.285566;4.291344
4.285565;4.313307
4.285547;4.267687
4.285547;4.301208
4.2855;4.304427
4.285316;4.290031
4.285215;4.303354
4.285206;4.275063
4.285197;4.283083
4.28516;4.280292
4.285103;4.298229
4.285072;4.289287
4.285062;4.287198
4.285018;4.277182
4.284969;4.288583
4.284963;4.26937
4.284959;4.288412
4.284947;4.302057
4.284941;4.290453
4.284828;4.29862
4.284816;4.299109
4.2848;4.283766
4.284791;4.301016
4.284734;4.292651
4.284722;4.301375
4.284666;4.294948
4.284656;4.320917
4.284578;4.286891
4.2845;4.276437
4.28445;4.307594
4.284375;4.307833
4.284353;4.298
4.284334;4.267521
4.28425;4.292922
4.284181;4.301115
4.284166;4.311177
4.284153;4.352578
