K5P17_2.PV;K5P4_1.PV
11.56461;22.26844
11.56461;22.23594
11.56445;22.19
11.56437;22.23219
11.56422;22.19594
11.56422;22.29313
11.56414;22.36656
11.56406;22.24375
11.56406;22.26437
11.56398;22.19438
11.56398;22.27062
11.56375;22.15688
11.56375;22.37313
11.56375;22.30437
11.56367;22.17344
11.56359;22.32094
11.56359;22.33937
11.56359;22.21625
11.56352;22.17062
11.56336;22.19094
11.56336;22.16656
11.56336;22.18312
11.56336;22.23938
11.56312;22.20375
11.56305;22.19
11.56289;22.1325
11.56289;22.15781
11.56281;22.20625
11.56281;22.23531
11.56273;22.26094
11.56258;22.14531
11.56258;22.25187
11.56242;22.17438
11.56242;22.28312
11.56227;22.16937
11.56227;22.26156
11.56227;22.32063
11.56219;22.26969
11.56203;22.21813
11.56203;22.18281
11.56195;22.21906
11.56188;22.17687
11.56188;22.26906
11.56188;22.24344
11.56172;22.32813
11.56156;22.16813
11.56148;22.18438
11.56148;22.17656
11.56148;22.25562
11.56141;22.33438
11.56141;22.25937
11.56141;22.28563
11.56141;22.19938
11.56133;22.13688
11.56133;22.25625
11.56133;22.20375
11.56117;22.14719
11.56109;22.27344
11.56109;22.22375
11.56102;22.295
11.56102;22.23
11.56094;22.225
11.56094;22.24688
11.56078;22.2425
11.56063;22.215
11.56063;22.26781
11.56047;22.26969
11.56039;22.29688
11.56039;22.20344
11.56024;22.28
11.56023;22.17594
11.56016;22.16094
11.56016;22.20156
11.56016;22.23219
11.56008;22.30844
11.55992;22.16438
11.55992;22.13813
11.55992;22.24531
11.55984;22.18875
11.55984;22.23875
11.55969;22.25969
11.55961;22.15844
11.55961;22.24937
11.55961;22.27
11.55953;22.195
11.55953;22.24219
11.55945;22.26875
11.55937;22.12281
11.55922;22.34906
11.55922;22.23938
11.55914;22.15625
11.55914;22.195
11.55914;22.30656
11.55906;22.24906
11.55898;22.29031
11.55875;22.26
11.55875;22.19875
11.55867;22.15688
11.55859;22.20156
11.55844;22.18531
11.55836;22.25562
11.55805;22.15469
11.55797;22.10906
11.55797;22.27563
11.55766;22.33031
11.55758;22.12781
11.55742;22.12125
11.55742;22.23656
11.55742;22.23031
11.55734;22.29469
11.55727;22.16063
11.55727;22.17219
11.55719;22.19406
11.55719;22.18937
11.55719;22.15688
11.55719;22.145
11.55719;22.28219
11.55711;22.23812
11.55711;22.17969
11.55703;22.12969
11.55688;22.20063
11.55688;22.25
11.55688;22.2725
11.55672;22.14594
11.55672;22.25406
11.55664;22.27
11.55664;22.21313
11.55641;22.16562
11.55641;22.18344
11.55641;22.17687
11.55633;22.29062
11.55625;22.13906
11.55625;22.26
11.55625;22.28125
11.55625;22.21594
11.55609;22.12812
11.55609;22.28156
11.55602;22.18438
11.55602;22.14812
11.55602;22.21938
11.55602;22.28531
11.55602;22.23344
11.55594;22.23469
11.55594;22.175
11.55594;22.24688
11.55594;22.20531
11.55586;22.18844
11.55586;22.2275
11.55555;22.23719
11.55555;22.21187
11.55547;22.24563
11.55539;22.17062
11.55539;22.20031
11.55539;22.22719
11.55523;22.25281
11.55523;22.27063
11.55523;22.23438
11.55516;22.14219
11.55516;22.24313
11.55508;22.26125
11.55508;22.25625
11.555;22.23187
11.55492;22.17188
11.55492;22.225
11.55484;22.26031
11.55477;22.15156
11.55477;22.23875
11.55477;22.20625
11.55469;22.2775
11.55469;22.20719
11.55461;22.2775
11.55453;22.13937
11.55453;22.21437
11.55453;22.22094
11.55445;22.15469
11.55445;22.26719
11.55438;22.12687
11.55414;22.30406
11.55414;22.24156
11.55406;22.17344
11.55406;22.25063
11.55398;22.14781
11.55391;22.20125
11.55375;22.15875
11.55375;22.28031
11.55367;22.18844
11.55367;22.21688
11.55367;22.21969
11.55359;22.25531
11.55352;22.21406
11.55352;22.24875
11.55344;22.1575
11.55344;22.25187
