K5T2_1.PV;K0T104_2.PV
421.935;415.5281
422.2819;415.5244
421.6331;415.5244
422.0625;415.5244
421.6856;415.5244
421.9763;415.5225
421.6613;415.5225
422.0325;415.5225
422.7563;415.5225
421.6594;415.5225
421.815;415.5225
422.1694;415.5225
422.4713;415.5206
421.4344;415.5206
421.9125;415.5187
422.0475;415.5187
421.4231;415.5187
422.0438;415.5187
422.3887;415.5187
422.2462;415.5169
422.5388;415.5169
421.6162;415.5169
421.4175;415.515
422.22;415.515
421.6613;415.515
422.34;415.515
422.55;415.515
421.6613;415.5131
421.4119;415.5113
423.5512;415.5113
421.6613;415.5094
422.325;415.5094
422.1;415.5075
421.9669;415.5075
421.0369;415.5056
421.1644;415.5056
422.2687;415.5056
422.2913;415.5038
422.2875;415.5038
421.7569;415.5038
421.5131;415.5038
421.8712;415.5019
422.3662;415.5019
422.0606;415.5019
421.9519;415.5019
421.9125;415.5
421.9444;415.5
422.3081;415.5
421.8694;415.5
421.9987;415.5
421.7006;415.4981
421.6556;415.4981
421.9594;415.4981
421.95;415.4981
422.4431;415.4981
422.4975;415.4981
421.6219;415.4981
421.7194;415.4962
421.7625;415.4962
421.1625;415.4944
422.0025;415.4944
422.0625;415.4944
421.4569;415.4944
421.6613;415.4925
422.1038;415.4925
421.3275;415.4925
421.575;415.4906
422.8256;415.4906
422.1244;415.4906
422.0175;415.4906
421.8563;415.4906
422.2875;415.4906
422.3775;415.4888
421.4419;415.4887
421.8356;415.4887
421.6688;415.4869
421.7231;415.4869
422.5725;415.4869
422.0044;415.485
424.2244;415.485
422.7112;415.485
422.6306;415.485
421.9781;415.485
421.9631;415.485
421.665;415.485
422.1675;415.4831
424.1944;415.4813
422.7994;415.4794
422.1638;415.4775
421.7381;415.4775
422.1956;415.4775
421.485;415.4756
421.4738;415.4756
421.7569;415.4756
421.965;415.4738
421.65;415.4738
421.6781;415.4738
422.2406;415.4738
422.1319;415.4738
421.9388;415.47
421.8337;415.47
422.1188;415.47
421.575;415.47
422.2913;415.47
421.77;415.47
422.5556;415.47
421.9763;415.4681
421.4738;415.4681
422.4225;415.4681
421.5938;415.4681
421.8037;415.4681
422.0531;415.4681
421.8881;415.4681
422.0363;415.4681
422.4694;415.4681
422.6288;415.4681
422.1431;415.4662
421.2;415.4662
421.9369;415.4662
421.6425;415.4644
421.7194;415.4644
421.3894;415.4644
422.1712;415.4644
422.0475;415.4644
421.2375;415.4606
422.0531;415.4606
422.3025;415.4606
422.0906;415.4606
422.3025;415.4606
421.7756;415.4588
422.04;415.4587
420.3394;415.4587
422.4431;415.4587
421.8019;415.4587
421.2581;415.4569
421.5956;415.4569
422.1469;415.4569
421.9275;415.4569
422.8744;415.4569
422.3812;415.4569
421.485;415.455
422.19;415.455
422.0025;415.455
422.835;415.455
422.4806;415.455
422.0381;415.455
422.1131;415.4531
421.3875;415.4531
421.0725;415.4531
421.1775;415.4513
421.0875;415.4513
421.875;415.4513
421.7381;415.4512
421.6931;415.4494
421.3969;415.4494
422.0663;415.4494
422.13;415.4494
421.9781;415.4494
421.5506;415.4494
422.4994;415.4494
422.0869;415.4475
421.4831;415.4475
421.71;415.4475
422.0231;415.4475
422.9063;415.4456
421.9181;415.4456
421.5619;415.4456
421.3538;415.4456
424.2056;415.4456
421.6237;415.4456
421.725;415.4456
421.9181;415.4438
421.5019;415.4438
421.9762;415.4419
421.7363;415.4419
421.7062;415.4419
421.185;415.44
421.8431;415.44
421.875;415.44
421.9912;415.4381
421.7794;415.4381
421.7663;415.4381
420.36;415.4381
421.1831;415.4362
421.4512;415.4362
422.16;415.4362
421.455;415.4362
421.8281;415.4362
421.575;415.4362
421.6575;415.4344
421.515;415.4344
422.0775;415.4344
422.2256;415.4325
421.5319;415.4325
421.6444;415.4325
422.325;415.4325
421.8281;415.4306
421.5732;415.4306
421.65;415.4306
421.8375;415.4306
421.5225;415.4306
422.1094;415.4306
422.3063;415.4288
421.1794;415.4287
421.665;415.4287
422.8275;415.4287
421.6819;415.4287
422.7431;415.4269
420.3806;415.4269
421.8356;415.4269
422.1075;415.425
421.7156;415.425
421.6875;415.425
421.5206;415.4231
421.6312;415.4231
421.7213;415.4231
421.7775;415.4231
421.2938;415.4212
421.7813;415.4212
422.7731;415.4212
422.1506;415.4212
421.56;415.4194
421.6894;415.4194
422.1713;415.4194
421.4869;415.4194
421.8394;415.4194
422.3081;415.4194
421.7813;415.4194
421.4719;415.4194
421.8431;415.4194
422.1619;415.4194
421.1569;415.4175
421.9594;415.4175
421.6669;415.4175
421.9631;415.4175
421.92;415.4175
421.8469;415.4156
421.8281;415.4156
421.6744;415.4156
422.2462;415.4156
421.8075;415.4156
421.6725;415.4138
421.5956;415.4138
421.425;415.4138
421.9238;415.4138
422.0231;415.4138
421.7962;415.4119
422.8669;415.4119
421.2094;415.4119
420.8531;415.41
421.8281;415.41
421.425;415.41
421.7513;415.41
421.7006;415.41
421.935;415.41
422.1187;415.41
421.7231;415.41
421.5469;415.4081
421.74;415.4081
421.3913;415.4081
421.4194;415.4081
421.9125;415.4081
421.4438;415.4081
421.8919;415.4063
422.1713;415.4063
421.8;415.4063
421.7813;415.4044
421.7981;415.4044
421.8694;415.4044
421.4063;415.4044
422.115;415.4025
422.2219;415.4025
421.755;415.4025
421.9725;415.4006
422.2913;415.4006
422.4619;415.4006
422.4075;415.4006
421.3031;415.3987
421.4419;415.3987
422.5425;415.3987
422.0081;415.3987
421.5825;415.3987
421.575;415.3969
422.325;415.3969
421.7006;415.3969
421.6313;415.3969
421.6012;415.3969
421.6031;415.395
422.04;415.395
421.725;415.395
421.7719;415.395
421.4719;415.3931
421.6819;415.3931
421.6294;415.3931
422.7881;415.3931
421.935;415.3913
422.3175;415.3913
421.4119;415.3912
421.6387;415.3912
421.7888;415.3912
421.6631;415.3912
422.1244;415.3912
421.3444;415.3894
421.0762;415.3894
421.6369;415.3894
422.0756;415.3894
421.8937;415.3894
422.0887;415.3894
421.71;415.3894
421.725;415.3894
421.7944;415.3894
421.635;415.3894
421.8319;415.3894
423.3469;415.3875
420.9788;415.3875
421.65;415.3875
421.6725;415.3875
421.9987;415.3875
420.9375;415.3856
422.025;415.3856
421.8;415.3856
421.6387;415.3856
422.8181;415.3838
422.025;415.3838
421.5113;415.3838
421.5019;415.3838
422.2313;415.3819
421.6744;415.3819
421.4381;415.3819
421.8506;415.3819
421.7044;415.3819
421.725;415.38
422.2519;415.38
421.2375;415.38
421.7156;415.38
422.3569;415.38
421.5375;415.38
422.8725;415.3781
422.4206;415.3781
421.8994;415.3781
422.085;415.3781
422.1862;415.3781
422.4;415.3781
421.4494;415.3763
421.7981;415.3763
421.6875;415.3744
422.0663;415.3744
422.1844;415.3744
421.9706;415.3744
421.5;415.3744
421.5244;415.3725
421.7775;415.3725
421.5319;415.3725
421.8956;415.3725
422.0194;415.3706
422.1487;415.3706
422.1487;415.3706
421.6275;415.3687
421.8469;415.3669
421.035;415.3669
421.6875;415.3669
421.7775;415.365
422.3269;415.365
421.5394;415.365
421.6312;415.365
422.115;415.3631
421.5169;415.3631
421.3312;415.3613
422.0625;415.3613
422.0119;415.3613
