K5PC5CH.OP;K5T5_2.PV;K5T18_1.PV;K5F3.PV
56.51349;756.0167;254.5844;3088.574
55.58969;754.9578;254.5777;3039.734
55.46088;751.4391;254.5756;3032.251
55.44307;752.1755;254.5746;3021.423
56.6237;759.0313;254.5721;3086.117
55.34333;749.8156;254.5685;3033.408
56.53349;757.4224;254.5683;3090.469
55.16427;748.3156;254.5681;3033.573
56.00323;763.5286;254.5542;3129.788
55.5387;751.4042;254.5533;3038.997
56.40172;752.0162;254.549;3084.023
56.37734;757.2224;254.5437;3084.898
56.31839;755.8391;254.5423;3090.14
55.57125;756.0833;254.5421;3043.888
55.60818;754.2094;254.5421;3042.078
55.45094;753.3484;254.5394;3040.159
57.16651;771.4125;254.539;3280.327
56.37271;762.1458;254.5379;3121.968
56.58974;757.361;254.536;3092.652
56.47099;752.2651;254.5277;3052.962
56.59187;761.8198;254.5213;3102.271
55.55203;753.074;254.5202;3046.068
56.41484;753.9057;254.52;3083.405
56.42406;756.9984;254.5177;3104.316
57.19239;772.6609;254.5175;3271.48
56.39078;755.5042;254.5167;3089.193
55.43214;750.7823;254.5142;3029.896
56.43542;755.6755;254.5094;3092.631
56.66297;758.2802;254.5092;3084.675
56.37823;755.9464;254.509;3094.731
55.47833;754.0703;254.5065;3039.055
56.40292;754.3943;254.5054;3092.619
56.48359;759.049;254.501;3091.686
55.33682;750.0354;254.4923;3022.809
55.36901;753.524;254.4921;3035.133
56.44761;759.8635;254.4885;3088.494
56.51234;758.6161;254.4871;3095.749
55.44661;749.1047;254.4844;3062.808
56.44021;756.0162;254.4765;3091.756
55.53453;752.8193;254.4756;3027.71
56.47823;754.2385;254.475;3080.491
56.64161;760.4359;254.4679;3085.682
56.49682;757.8411;254.4662;3087.686
56.46448;757.2755;254.4627;3097.446
56.34609;759.5406;254.4606;3122.114
56.41245;755.2864;254.4581;3090.552
55.44588;750.1208;254.4567;3026.796
56.5338;755.0578;254.4558;3089.305
55.3961;755.5104;254.4546;3037.12
56.42719;757.0911;254.4475;3090.764
