K5P6.PV;K5P17_1.PV;K5P17_2.PV;K5F3.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5P16_1.PV;K5GKAL.PV;K5P16_2.PV;K5Q2_1.PV;K5P4_1.PV
0.7256673;5.309626;5.168283;2048.069;28.36636;145.1556;4.002268;0.4687677;14.73564;0.5529863;366.5704;10.21838
0.8000886;5.729615;5.581515;2134.533;29.52426;148.8271;4.001865;0.5195606;15.37524;0.6095024;385.5856;10.99599
0.8980568;6.427962;6.255669;2255.765;30.75579;150.6345;4.001511;0.5893654;16.16594;0.6807342;404.7782;12.24922
0.8201815;5.720627;5.571313;2122.633;29.36596;138.3206;4.001168;0.5390889;15.22291;0.6231035;385.5937;10.99548
0.9501139;6.559608;6.377289;2275.13;31.13049;151.5487;4.000774;0.6269072;16.34705;0.715759;469.3088;12.50274
0.8512664;6.181425;6.025683;2220.866;30.28495;147.6763;4.000641;0.5561863;16.03117;0.6465138;453.5168;11.81407
0.7593457;5.304862;5.172522;2073.989;28.2392;145.5296;4.000394;0.4849823;15.12991;0.5801067;489.933;10.1887
0.9501014;6.560242;6.386532;2285.007;31.07673;142.9048;4.00001;0.6245965;16.42217;0.7162827;448.8001;12.50036
0.9001001;6.276268;6.105846;2228.469;30.65419;152.5023;3.999953;0.5947268;16.17291;0.6812441;515.2481;11.9992
0.7503162;5.196801;5.069459;2045.908;28.02416;146.1669;3.999341;0.4783919;14.92399;0.5729842;457.8924;10.00793
0.7466462;5.302575;5.159955;2043.201;28.34425;145.9697;3.998984;0.4821464;14.6727;0.5683957;347.3504;10.2076
0.7300202;5.206225;5.06322;2031.251;27.91109;143.2081;3.998092;0.4648106;14.61072;0.5569405;1201.568;10.00216
0.7132345;5.107086;4.967588;2010.17;27.71646;143.024;3.997052;0.4521143;14.46035;0.5443813;1155.625;9.817025
0.6701632;4.924965;4.797636;1978.256;27.51986;144.4974;3.996753;0.4320198;14.28648;0.5119956;370.8993;9.503613
0.871911;6.114278;5.953532;2219.692;29.89616;148.0984;3.996593;0.5659921;16.02819;0.663139;441.8423;11.66558
0.7649527;5.316122;5.180675;2067.081;28.22639;146.5928;3.995703;0.4938423;15.07505;0.5839071;492.0663;10.21583
0.6701749;4.921059;4.795014;1977.031;27.40403;144.2594;3.99516;0.4296784;14.27563;0.5118679;340.687;9.500382
0.6875592;5.076979;4.942249;2005.532;27.71809;144.9278;3.99467;0.4468639;14.48915;0.5244715;369.0715;9.791614
0.6617582;4.797123;4.663934;1944.042;27.01734;141.3905;3.994399;0.4172224;13.98809;0.506306;1207.62;9.242208
0.8502773;5.881432;5.71513;2150.045;29.64603;150.2646;3.993845;0.5550653;15.43543;0.6440237;408.8463;11.25138
0.9145147;6.334473;6.153249;2229.629;30.61988;150.774;3.993785;0.6058523;16.05867;0.6912516;445.6865;12.09404
0.9001337;6.280987;6.10953;2229.473;30.53338;150.4908;3.993534;0.5935225;16.06774;0.681831;429.5616;12.00185
0.7266733;5.338432;5.197084;2050.198;28.40488;144.131;3.993395;0.4679441;14.78545;0.5533654;1121.663;10.27417
0.6807822;5.08743;4.960288;2010.948;27.66476;142.1063;3.991826;0.434031;14.62046;0.5210884;381.9989;9.811803
0.7672201;5.365345;5.218297;2056.694;28.32824;149.1737;3.99064;0.5031869;14.79589;0.5838062;381.7231;10.31412
0.6772647;4.981547;4.853418;1984.534;27.67616;143.8924;3.990354;0.4356194;14.3224;0.5170302;339.3068;9.617741
0.6461663;4.888418;4.764278;1971.471;27.3306;141.0578;3.988871;0.408531;14.34733;0.4949604;339.3807;9.438024
0.820174;5.741557;5.589488;2137.768;29.18794;146.3192;3.988866;0.532205;15.46932;0.6241875;436.5425;11.00107
0.9501182;6.553876;6.364776;2266.732;31.15253;153.341;3.988124;0.6311451;16.31466;0.7158387;457.244;12.49707
0.6724252;4.939093;4.807625;1973.89;27.41206;144.9928;3.98713;0.4347517;14.24277;0.5134007;361.3033;9.537728
0.7976971;5.583777;5.436651;2107.202;28.83019;146.3253;3.985844;0.5156246;15.26145;0.6070039;439.7661;10.71125
0.6201627;4.653776;4.534199;1921.048;26.80279;140.5967;3.984337;0.3895762;13.97164;0.4749774;347.6366;9.004105
