K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_5.PV;K5T12.PV
31.52427;43.65162;92.4199;574.5656;212.2269;99.92355;150.8411
29.7249;42.21088;91.13198;569.3021;209.3875;99.92239;149.6776
28.92271;41.29583;91.52563;561.0901;206.2577;99.92198;148.571
29.70969;42.22411;91.17448;568.1875;209.3583;99.92177;149.7072
27.24984;39.6501;90.72115;550.8917;205.3856;99.92052;147.9945
29.77151;42.2799;91.16094;570.063;209.4604;99.91979;149.7497
29.77906;42.24537;91.15771;569.7104;210.1221;99.91906;149.737
29.82589;42.21609;91.16093;568.5552;209.7271;99.91594;149.6608
29.55406;42.25177;91.1625;570.5854;209.4192;99.91583;149.7849
29.8551;42.23198;91.13187;570.4047;209.3406;99.91458;149.5144
29.68484;42.23745;91.15385;569.0031;209.2217;99.91354;149.5158
28.83516;41.24146;90.96802;563.0042;205.3763;99.91344;147.9665
29.03938;41.76396;92.14208;565.0859;209.0248;99.91261;149.6138
28.81667;41.24136;91.24396;562.8865;206.0367;99.91209;147.935
29.17463;41.77568;92.14562;564.6021;209.111;99.91198;149.5758
29.80958;42.26281;91.1451;570.6359;209.734;99.91187;149.8017
29.67286;42.20161;91.23583;570.0792;209.4177;99.91135;149.5659
28.8438;41.20198;90.27573;560.8344;205.4852;99.91104;147.6268
29.79589;42.2361;91.09906;569.7136;210.0683;99.91042;149.6424
28.79963;41.22484;90.9976;561.9448;205.5183;99.90896;147.9454
34.79964;46.88646;93.01125;585.5886;213.3629;99.90885;150.2455
29.70359;42.22635;91.10823;570.6339;210.0283;99.90844;149.6712
28.99463;41.22005;90.80125;564.1334;205.7165;99.90614;147.881
27.94807;39.87359;92.77969;558.4844;200.3994;99.90584;146.0935
29.785;42.21656;91.12937;572.7052;209.534;99.90542;149.4378
28.93287;41.21484;90.79927;564.212;205.7196;99.9049;147.9157
28.94484;41.70281;91.50687;564.4495;208.9794;99.90417;149.5979
29.76729;42.185;91.21625;569.1646;209.4673;99.90396;149.5725
28.8675;41.24151;91.18468;560.8708;206.0531;99.90334;147.9489
28.78677;41.22104;90.99281;565.0656;205.2994;99.89927;147.935
34.19938;46.24568;93.06834;585.0635;213.0673;99.89906;150.1978
29.0249;41.7249;91.42709;565.7318;208.9512;99.89906;149.5651
29.55464;42.26;91.16896;570.4448;209.811;99.89875;149.7614
28.78963;41.23094;91.01636;566.3083;205.331;99.89854;147.9267
29.6325;42.20667;91.125;570.9823;209.6585;99.89844;149.4898
29.65115;42.25995;91.18427;569.0709;209.7158;99.89792;149.7628
28.79766;41.21458;90.81948;565.3656;205.5769;99.89771;147.9411
29.71458;42.2351;91.20156;569.3781;209.819;99.8974;149.6429
29.63412;42.25776;91.09625;570.0505;209.6156;99.89667;149.7518
27.95151;39.85208;92.75573;558.7792;200.3321;99.89656;146.0808
29.63974;42.20802;91.12312;571.0917;209.966;99.89646;149.6007
28.99937;41.21833;90.98344;563.3724;205.5135;99.89584;147.9431
28.90849;41.20021;90.25896;562.6854;205.8027;99.89584;147.7044
28.87958;41.19182;90.61667;563.2224;205.2746;99.89552;147.8969
28.88437;41.22271;90.94073;565.374;205.3379;99.89521;147.92
29.14448;41.78005;92.1449;564.9281;208.9971;99.89375;149.6245
28.75505;41.23406;90.95865;564.501;205.4175;99.89354;147.9071
28.94963;41.19797;90.64219;563.3323;205.2706;99.89344;147.8655
29.62417;42.2301;91.12583;570.0521;209.4144;99.8925;149.7652
28.94026;41.20083;90.64542;564.8036;205.3288;99.89198;147.913
27.71589;39.85734;92.76614;556.6521;200.2542;99.89198;146.0893
28.9888;41.71984;91.45406;565.7318;208.9015;99.89166;149.5562
31.71167;43.66438;92.45896;575.125;212.0294;99.89156;150.8505
28.84151;41.23037;91.09771;560.8964;205.9965;99.89156;147.9328
28.79589;41.21943;90.86073;562.3245;205.4986;99.89136;148.0147
28.82349;41.23859;91.06187;564.3151;205.5319;99.89125;147.9756
29.73167;42.24625;91.09489;570.611;209.6648;99.89063;149.7416
29.82844;42.20719;91.15375;570.9078;209.4575;99.89052;149.502
26.46313;38.94693;92.39417;551.3771;196.2233;99.88948;144.1434
28.79677;41.22156;90.95635;560.4141;205.5244;99.88917;147.9282
29.70615;42.23427;91.16209;570.7979;209.6915;99.88896;149.698
28.99;41.20547;90.54844;563.8396;205.4842;99.88875;147.9377
28.95448;41.2312;90.82875;563.9;205.6269;99.88781;147.9043
28.92792;41.21823;90.78156;564.1797;205.4558;99.88781;147.9795
28.88365;41.18542;90.2475;563.9031;206.0523;99.88781;147.7983
28.84932;41.20828;90.8699;564.4656;205.7594;99.88646;147.8936
28.96198;41.2101;90.74406;565.4021;205.5552;99.88583;147.8754
34.10359;46.14729;93.13667;583.1224;212.7523;99.8851;150.1229
29.72703;42.25312;91.08489;568.9365;209.6273;99.88469;149.7177
29.69344;42.20964;91.23364;568.8885;209.6427;99.88469;149.5427
29.23313;41.34453;91.46687;562.6609;206.5354;99.88438;148.496
29.71448;42.21375;91.11739;569.876;209.8329;99.88427;149.4777
28.91115;41.19989;90.73656;564.3787;205.4206;99.88302;147.8521
28.8049;41.19537;90.60156;563.3292;205.3212;99.88261;147.8315
28.87536;41.19781;90.61459;561.9182;205.4844;99.88167;147.9012
21.90828;35.85792;89.75573;538.0615;196.1823;99.88032;144.4187
34.15073;46.13484;93.10646;584.0198;212.984;99.87959;150.139
27.23901;39.66057;90.71208;551.262;205.2565;99.87959;147.9392
28.87443;41.21115;90.75896;567.2396;205.5644;99.87865;147.9146
28.77193;41.2187;91.09323;561.9615;205.6692;99.8775;147.9179
29.84057;42.20948;91.15938;571.9708;209.7506;99.87698;149.4748
28.96115;41.2025;90.50875;562.575;205.3613;99.87625;147.9368
28.87682;41.19542;90.6625;563.8339;205.3898;99.87437;147.8108
26.29672;38.9799;92.32354;552.4276;196.0971;99.87386;144.158
28.89391;41.18901;90.53781;565.1172;205.4767;99.87104;147.9516
28.8151;41.19823;90.52594;561.7859;205.4625;99.87052;147.9538
28.88682;41.21437;90.31781;563.8646;205.7794;99.86958;147.988
29.73057;42.21651;91.17177;570.9063;209.7317;99.86896;149.4916
28.88656;41.20615;90.28396;563.4114;205.9956;99.86781;147.9203
28.87198;41.7337;91.51552;563.613;208.9396;99.8675;149.4551
28.93375;41.19786;90.26281;563.5318;206.1744;99.86667;147.8435
29.74068;42.23463;91.29479;568.7495;209.5767;99.86656;149.5809
31.25224;43.17094;92.33927;569.2479;207.6029;99.86646;148.8353
28.97083;41.71922;91.58875;565.3344;209.0658;99.86625;149.4569
26.06839;38.98651;92.24052;554.5146;196.055;99.86594;144.1421
33.88953;46.08937;93.25823;581.6745;212.3467;99.86583;150.1774
29.58088;42.21073;91.38989;570.5682;209.4708;99.86542;149.5815
29.71323;42.20443;91.37865;569.9771;209.504;99.86469;149.4956
29.67;42.24495;91.07562;568.6713;209.4894;99.86375;149.6761
29.0951;41.75151;92.02834;564.5901;209.1348;99.86333;149.6165
28.93161;41.20552;90.54708;561.3354;205.3481;99.8626;147.9422
27.81437;39.85552;92.7575;557.7625;200.2552;99.86219;146.0814
29.05604;41.76021;91.55812;563.8823;209.2083;99.86125;149.5202
28.82786;41.19677;90.43823;563.0364;205.6485;99.86011;147.9617
33.00833;45.36151;93.29667;582.2552;212.3142;99.85948;150.1644
29.10464;41.70656;91.81834;565.6703;209.245;99.85854;149.5707
29.74667;42.19682;91.14646;570.7318;209.8152;99.85771;149.4854
29.73052;42.24417;90.96739;567.751;209.3477;99.85562;149.6851
28.97469;41.73656;91.86948;566.7292;209.0737;99.85042;149.5123
28.76927;41.19761;90.50021;561.9875;205.3785;99.84979;147.9137
29.6575;42.19667;91.36886;571.0854;209.5233;99.84917;149.5894
29.61115;42.21297;91.34771;570.4641;209.5104;99.84792;149.4596
29.75495;42.25297;91.02604;568.0656;209.4335;99.84729;149.6743
29.72932;42.20047;91.42646;568.649;209.584;99.84573;149.5399
29.02906;41.73682;91.55677;563.263;209.2652;99.84563;149.5368
29.11245;41.73771;91.87573;566.9776;208.8381;99.84469;149.5093
29.84885;42.19568;91.20323;568.7495;209.9073;99.84125;149.5947
29.0837;41.71687;91.88156;564.674;208.6817;99.84021;149.4727
29.98583;42.18365;91.20333;570.0391;209.9329;99.83958;149.589
29.11953;41.30734;91.43855;560.7896;206.6206;99.83927;148.4327
26.12625;39.37953;90.35062;551.4682;204.7838;99.83916;147.2149
29.77292;42.21828;91.3975;569.3453;209.58;99.83896;149.5278
29.70958;42.19011;91.26667;569.2109;209.4806;99.83833;149.446
29.54672;42.18802;91.18656;568.3646;209.476;99.83813;149.4542
29.72802;42.24224;90.95625;567.8094;209.1848;99.83729;149.7776
29.72068;42.19375;91.20969;568.3797;209.5973;99.83698;149.5023
29.6651;42.20979;91.19906;568.4911;209.8856;99.83677;149.6028
29.12635;41.7275;91.82969;564.5932;208.7127;99.83646;149.4766
29.16578;41.71115;91.84782;565.999;208.8373;99.83573;149.4597
29.00818;41.76833;91.95667;564.3063;209.1804;99.83573;149.6029
32.97766;45.34641;93.2776;583.3391;212.325;99.83417;150.1629
29.08266;41.77167;91.96104;563.1229;209.2794;99.83334;149.618
27.17927;39.67562;90.71698;552.9302;205.0596;99.83198;147.8869
31.69823;43.65307;92.49229;574.0979;212.0992;99.83188;150.9073
29.74354;42.20521;91.22979;568.8104;209.8904;99.83167;149.5461
29.9199;42.21552;91.21917;568.7245;209.7283;99.83135;149.5606
29.74849;42.24537;90.99062;567.937;209.1033;99.83063;149.7816
29.07609;41.76354;91.615;563.1568;209.3181;99.8301;149.5733
36.09906;47.34459;89.19083;587.8698;217.0842;99.82906;149.6619
29.72547;42.20026;91.19198;568.6094;209.5087;99.82906;149.4476
26.44885;38.97453;92.24073;552.1682;195.7183;99.82896;144.0649
29.03484;41.77422;91.91052;563.5422;209.4512;99.82677;149.6242
29.69406;42.19661;91.17886;569.775;209.8252;99.82667;149.6114
27.89396;39.88911;92.76594;557.8162;200.3575;99.8249;146.0975
29.66266;42.26302;91.10896;569.5943;209.2717;99.82417;149.847
29.25292;41.73875;91.90979;565.9026;209.0483;99.82281;149.4595
22.98349;36.15479;92.11542;537.2776;195.8348;99.82083;144.5036
29.06938;41.76078;91.74177;563.4537;209.3125;99.82042;149.6037
26.38292;39.00385;92.2676;550.774;195.4771;99.82042;144.0672
32.89922;45.36104;93.27635;584.8682;212.2838;99.81854;150.007
29.64703;42.22682;91.10146;570.1552;209.0577;99.81792;149.7931
22.13505;35.86146;89.71656;540.0557;196.3285;99.8174;144.412
29.51052;42.25005;91.10729;569.2161;209.4983;99.81729;149.862
29.65156;42.24609;91.00906;569.7625;209.0873;99.81718;149.8209
29.87792;42.20625;91.21011;568.7761;209.6494;99.81709;149.561
22.96823;36.19557;92.12292;537.6964;195.604;99.8149;144.4672
29.13219;41.74443;91.90781;564.513;209.5358;99.81458;149.5652
29.62823;42.23406;91.09229;570.8474;209.0992;99.81354;149.8351
29.58885;42.24094;91.04948;569.5062;209.125;99.81344;149.7867
29.58849;42.20864;91.24989;571.7438;209.5046;99.81219;149.5096
29.13943;41.74162;91.855;566.6531;209.3325;99.81209;149.4158
29.00651;41.29464;91.40094;560.8713;206.5892;99.81146;148.3755
29.15276;41.77151;91.90312;565.1755;209.6248;99.80791;149.5144
29.21021;41.78083;91.86761;565.3984;209.584;99.80729;149.5296
29.08526;41.76271;91.80209;566.8287;209.4823;99.80666;149.4477
22.8799;36.12979;92.14948;541.7708;196.0452;99.80334;144.4324
22.91307;36.17615;92.16104;539.5568;195.8281;99.80292;144.418
28.02276;39.87141;92.77677;558.5797;200.4598;99.80125;146.1239
22.81771;36.18578;92.20375;538.2354;195.4754;99.79958;144.3784
22.89125;36.17443;92.15459;538.9865;195.6602;99.79938;144.4061
22.9399;36.17437;92.18;539.2245;195.3652;99.79844;144.4641
29.62068;42.20052;91.26614;572.4693;209.5046;99.79833;149.5107
22.8949;36.22213;92.21062;540.7042;196.226;99.79813;144.5934
29.52849;42.21724;90.88364;571.2328;209.7444;99.79656;149.4309
29.50729;42.20287;90.86833;570.0229;209.8169;99.79656;149.3957
33.20349;45.37391;93.19365;584.0026;212.1083;99.79594;149.9418
28.95104;41.28354;91.32166;558.4916;206.3456;99.79448;148.2771
22.98599;36.17557;92.09187;539.7745;195.9585;99.79385;144.4948
23.05713;36.16484;92.20458;538.5901;196.075;99.79333;144.5211
29.52042;42.24886;91.12021;570.0588;209.6394;99.7926;149.7956
26.10781;38.98386;92.2326;552.676;195.5183;99.79188;144.0527
22.97156;36.16781;92.13989;542.9437;196.0327;99.79156;144.4123
22.87417;36.15688;91.93198;541.7807;195.8085;99.79135;144.5164
29.48859;42.22974;90.94198;570.1188;209.6233;99.79011;149.5412
22.97849;36.15057;91.98146;542.013;195.8613;99.78958;144.4755
29.49411;42.21589;91.06114;569.2141;209.4956;99.78917;149.5721
23.03714;36.18146;92.08073;542.0828;195.7246;99.78677;144.4995
22.75359;36.17318;91.93896;540.0177;195.7871;99.78604;144.5078
31.67865;43.67229;92.51146;574.5323;212.3004;99.78552;150.9699
29.69406;42.20651;91.00208;568.2318;209.4617;99.78552;149.4256
29.5499;42.20495;90.89052;571.7776;209.724;99.78552;149.3303
29.67505;42.20776;91.26177;570.5797;209.38;99.78427;149.4632
22.95724;36.1687;92.16885;544.6276;196.2135;99.78396;144.4133
29.49833;42.22375;91.005;571.2203;209.5508;99.78354;149.5085
22.74427;36.18568;92.17406;539.3651;196.2515;99.78156;144.5348
22.84021;36.16729;92.06802;543.0891;195.6671;99.78021;144.5366
