K5LCV1I.PV;K5F5.PV
31.55099;22.81019
32.52354;22.81105
35.13318;22.81149
33.61276;22.81206
33.69828;22.81275
34.60646;22.81545
33.86469;22.8176
32.72813;22.81787
32.23286;22.81797
35.85896;22.81836
31.71667;22.821
31.70583;22.82297
33.1349;22.82471
33.0388;22.82629
31.94385;22.8264
34.01333;22.82724
32.19865;22.82804
31.86547;22.82962
31.8037;22.83053
31.61547;22.83151
36.21552;22.83171
31.60604;22.83225
32.0413;22.83251
35.83417;22.83263
32.45318;22.83413
34.58073;22.83564
33.08198;22.83582
34.33339;22.83599
32.90406;22.83701
31.75932;22.8376
35.64412;22.83792
33.12068;22.83964
35.82495;22.84061
31.61271;22.84118
31.67339;22.84184
31.48781;22.84196
31.9401;22.84437
32.99547;22.84621
33.14802;22.84637
35.3401;22.84757
33.12068;22.84789
32.85651;22.84863
32.73318;22.84889
31.70786;22.8496
30.71656;22.85134
34.76198;22.85269
31.87453;22.85295
34.79109;22.85369
33.74802;22.8591
35.13161;22.86091
31.74344;22.86205
34.58646;22.86337
31.82427;22.86337
34.09797;22.86418
32.04026;22.86615
33.05802;22.86777
31.66286;22.86816
32.71339;22.86913
32.99203;22.8696
35.00156;22.86999
35.38943;22.87176
33.70297;22.87187
35.71563;22.87447
31.72844;22.87537
31.96328;22.87554
32.10604;22.87588
32.13083;22.87753
34.36115;22.8776
35.6937;22.87874
33.02224;22.88067
35.08797;22.88126
31.80995;22.88199
35.01802;22.88218
32.43708;22.88257
32.13349;22.88358
31.59016;22.88366
31.89797;22.88535
34.77359;22.88852
33.65339;22.88924
34.8625;22.89053
32.50849;22.89129
33.16646;22.89133
36.42641;22.89303
33.33026;22.89307
31.80313;22.89493
31.53281;22.89556
33.78406;22.89716
35.9163;22.89807
35.26531;22.89909
31.86266;22.90148
35.2324;22.90324
31.66193;22.90366
32.53031;22.90402
33.15057;22.90422
34.35104;22.90427
34.50854;22.90459
33.94437;22.90469
31.59401;22.90496
33.05589;22.90622
33.76849;22.90759
32.67375;22.90819
31.91245;22.91113
33.52094;22.91227
34.3862;22.91234
35.93349;22.91409
33.84328;22.91419
34.85375;22.91668
34.49036;22.91773
32.72984;22.91805
34.01599;22.91861
32.16063;22.92095
36.19458;22.92436
34.35708;22.92537
32.20406;22.92693
32.1225;22.93036
31.98078;22.93246
34.01573;22.93309
35.16776;22.93338
35.33276;22.93503
35.34849;22.9351
32.68297;22.93652
31.70927;22.93814
34.72255;22.93836
31.86245;22.9391
35.28109;22.94261
34.26771;22.94333
35.73339;22.94448
35.6313;22.94533
36.44026;22.94544
32.32687;22.94569
31.80031;22.94617
34.46255;22.94777
33.64141;22.94962
33.09818;22.95004
31.77792;22.95116
35.05167;22.95158
35.37354;22.95178
35.85417;22.95361
32.71854;22.95363
32.40943;22.95604
32.09771;22.95744
32.68052;22.95813
33.1237;22.96
32.2912;22.96108
32.10386;22.96145
33.16385;22.96236
32.52604;22.96252
32.09719;22.9638
31.80365;22.96397
32.97458;22.96561
33.88828;22.96845
31.80047;22.96972
31.82865;22.97051
34.12609;22.97268
32.70953;22.97323
31.92818;22.97338
33.23583;22.97358
35.09167;22.97438
33.35422;22.97441
35.52396;22.97445
34.01724;22.97608
32.47062;22.97653
32.81182;22.9795
31.77917;22.98008
31.15406;22.9816
33.90104;22.98322
35.495;22.98356
32.80146;22.98454
34.91219;22.98572
34.4776;22.98578
32.51078;22.98703
31.54135;22.98817
35.00422;22.9884
31.92307;22.98918
34.10036;22.98992
31.78703;22.98994
36.51708;22.99085
33.13969;22.99273
34.02276;22.99273
32.76688;22.99475
34.93797;22.9952
35.67219;22.99556
33.23156;22.99575
32.10135;22.99695
33.76568;22.99776
32.56854;22.99964
33.47917;23.00089
35.1863;23.00245
32.89526;23.00508
32.77802;23.00635
35.83323;23.00814
34.07787;23.00866
35.36823;23.00873
34.89094;23.00893
34.23818;23.00929
36.43005;23.00941
32.50672;23.00956
34.28271;23.01207
35.75682;23.01317
36.18307;23.0145
32.02516;23.01891
33.90932;23.02008
33.04672;23.02092
33.18661;23.02208
33.10427;23.02333
31.51583;23.02346
32.68219;23.0252
35.6726;23.02654
31.98469;23.02658
32.21453;23.02682
32.09917;23.03034
35.46578;23.03222
32.26802;23.03246
34.73073;23.03298
35.66536;23.03327
32.52682;23.03701
31.60536;23.03825
31.80625;23.04139
35.89656;23.0421
33.16125;23.04251
31.5401;23.04368
32.53958;23.04395
32.09271;23.04508
32.46083;23.04624
31.695;23.04635
33.57432;23.04897
32.40479;23.05074
33.32297;23.05271
31.97349;23.05316
35.24531;23.0538
35.23286;23.05534
34.68245;23.05643
34.48245;23.05649
35.73365;23.05737
32.19469;23.05818
35.77156;23.05865
33.31562;23.05881
33.3951;23.06016
32.86568;23.06064
33.65927;23.06071
31.96214;23.06239
31.98547;23.06348
32.62437;23.06353
34.74151;23.06395
32.9288;23.06558
31.25687;23.06616
33.94135;23.06643
31.83349;23.06876
35.16026;23.06908
33.19286;23.06926
34.99385;23.07186
32.0974;23.07189
32.16974;23.07282
35.73031;23.07299
32.68291;23.07489
32.02828;23.07547
35.88724;23.07547
33.1437;23.07624
32.56677;23.07749
31.8463;23.07909
33.13443;23.08109
35.78661;23.08165
32.74339;23.08171
34.7074;23.08353
32.26735;23.08388
33.8525;23.08535
32.04219;23.08558
35.29849;23.08603
35.86839;23.08713
33.84807;23.08774
32.41995;23.08949
32.91745;23.09014
33.31198;23.09147
32.26406;23.09153
33.19239;23.09222
33.23734;23.09316
32.29781;23.09411
33.22344;23.09495
33.27818;23.09558
31.93516;23.09675
36.24833;23.09679
31.78802;23.09694
36.03765;23.09857
32.40078;23.09867
31.87984;23.09888
31.75589;23.0998
31.3663;23.10014
36.03422;23.10076
33.27787;23.10184
31.96734;23.10257
32.08812;23.10482
32.92729;23.1074
33.89938;23.10772
31.95781;23.10789
32.21271;23.10858
33.24349;23.10944
35.7862;23.11023
33.05011;23.11036
33.58047;23.11068
32.23245;23.11126
34.10792;23.11337
31.79896;23.11344
34.85646;23.11594
32.115;23.11734
34.63229;23.11813
33.90245;23.11915
36.38287;23.11925
31.97338;23.12035
35.98;23.12305
35.00521;23.12318
33.4288;23.12406
36.16995;23.12473
34.88823;23.12501
33.27385;23.12547
35.03162;23.12576
36.12547;23.12623
33.60266;23.12627
35.70641;23.1272
32.86219;23.12742
35.26859;23.12913
31.90719;23.12964
35.28635;23.13051
33.84245;23.13348
31.53864;23.13366
33.79599;23.13434
32.14828;23.13543
33.60307;23.13844
32.21661;23.13921
35.87047;23.14024
35.55823;23.14363
32.98792;23.14466
33.17224;23.14597
34.87448;23.14645
32.05703;23.14649
32.65745;23.14649
33.42172;23.14677
31.9201;23.14733
35.1937;23.14798
35.25047;23.14844
36.25229;23.15156
35.46339;23.15174
32.23542;23.15268
35.72875;23.15337
34.74448;23.1535
33.2401;23.15575
32.36781;23.15601
32.00089;23.15677
32.71849;23.15836
32.595;23.16003
35.47245;23.16074
36.13703;23.16082
33.26219;23.1612
34.11214;23.16174
35.00266;23.16179
32.92714;23.1629
32.3811;23.16389
32.16412;23.16398
34.47219;23.16428
35.41505;23.16451
32.36276;23.16531
36.07609;23.16534
34.43969;23.16578
32.85162;23.16599
34.51021;23.16606
32.4999;23.16743
35.41224;23.16826
33.93573;23.16915
33.6513;23.16991
31.92537;23.17008
34.1851;23.17035
32.44099;23.17167
35.8814;23.17293
33.41109;23.1733
32.87859;23.17426
36.22281;23.17434
33.45412;23.17441
34.16885;23.17458
34.18266;23.17664
31.96656;23.17771
35.41484;23.17823
33.28177;23.17899
36.20594;23.17945
33.05724;23.17957
34.38495;23.1801
34.15318;23.18039
31.7287;23.18171
35.40208;23.18296
32.68203;23.18315
35.6751;23.1842
33.31167;23.18517
33.72807;23.18629
33.84167;23.18761
33.06823;23.18874
34.22021;23.18954
32.40391;23.19024
32.63411;23.19153
34.90042;23.19232
31.62391;23.19303
31.97318;23.19325
32.34307;23.19341
33.31818;23.19555
35.49396;23.19687
35.35104;23.19767
31.92964;23.19912
32.13927;23.20201
35.63016;23.20309
32.43771;23.20444
32.32943;23.20451
34.19443;23.20502
32.92417;23.20579
32.32656;23.20653
