K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
39.57344;121.7073;82.04833;51.60906;110.9611;99.77062
37.82833;122.4847;79.57521;49.10365;112.926;99.77
38.02495;122.7105;79.50021;49.23964;113.0844;99.76958
37.85703;122.3564;79.52396;49.12188;112.7805;99.7675
37.81292;122.5697;80.01833;49.13161;113.0692;99.76646
39.68203;121.3751;82.16;51.65364;110.8994;99.76636
39.54531;121.2865;81.58896;51.63104;111.0583;99.76
38.08891;122.7655;79.98312;49.23359;113.1455;99.75969
37.77427;122.4594;79.39313;49.13375;112.942;99.75948
37.90739;122.5371;80.04271;49.14443;113.0779;99.75636
37.93964;122.684;80.00833;49.14766;113.0721;99.75615
39.55687;121.5766;81.16812;51.60578;111.4401;99.75459
39.6549;121.9701;81.8275;51.59224;110.9654;99.75343
39.57542;121.5716;81.77896;51.66114;111.0152;99.75333
39.40505;121.6295;81.945;51.70703;110.9837;99.75291
37.9374;122.7495;79.92792;49.1824;113.1607;99.75011
39.64162;121.1554;81.87062;51.60297;111.0804;99.74927
37.96938;122.8679;79.86875;49.14526;113.1851;99.74792
39.48214;121.49;80.75813;51.54662;111.5875;99.74677
35.31161;122.1528;78.91813;46.92313;115.1424;99.74563
37.80839;122.5074;79.44563;49.09161;112.4658;99.74416
37.75615;122.6285;79.98792;49.08411;113.0588;99.74406
39.69807;121.5455;82.135;51.72583;110.7604;99.74375
38.02146;122.8144;79.95583;49.15359;113.161;99.74136
37.81495;122.7986;79.78792;49.15354;113.211;99.74115
39.63271;121.9883;82.29166;51.61745;110.743;99.74104
39.50125;121.4938;81.6475;51.60068;111.0945;99.73927
37.69062;122.8144;79.90125;49.07484;113.0601;99.73896
37.87984;122.8499;79.92875;49.20219;113.1667;99.73771
39.86713;121.4642;82.20812;51.65656;110.9444;99.7375
37.88917;122.7921;79.94083;49.11417;113.0479;99.73281
39.57177;121.2511;81.84917;51.56797;111.1016;99.73125
39.46146;121.8427;80.87292;51.59547;111.611;99.72761
37.7874;122.3365;79.52438;49.20156;112.5391;99.72739
39.49823;122.2604;81.89063;51.54328;111.2451;99.725
37.92422;123.0202;79.37917;49.15745;113.2945;99.71125
37.73911;122.4865;79.35021;49.16521;113.0683;99.70969
32.43182;121.5625;78.59771;44.3676;114.7114;99.70823
39.58547;122.2807;81.03188;51.53802;111.5491;99.70208
39.545;121.4815;80.81375;51.61724;111.6079;99.69948
37.89307;122.9427;79.92375;49.14437;113.0666;99.695
37.90328;122.531;79.34646;49.17396;113.0792;99.69448
32.1913;120.7949;77.74208;44.16687;114.5344;99.69427
37.81745;122.3283;79.49062;49.2026;112.4968;99.69354
37.93469;122.7182;79.97542;49.0938;113.0569;99.6926
37.93734;122.8785;79.59625;49.19614;113.2626;99.6875
37.07583;122.2784;79.77688;48.38823;112.9875;99.68625
38.16474;122.668;79.51771;49.22198;113.28;99.67958
37.08151;122.0322;81.63792;49.16625;114.8336;99.67917
39.38328;121.7394;81.65334;51.56932;111.0994;99.67886
39.47109;121.5405;81.69437;51.54302;111.261;99.67854
37.90479;122.3224;79.33354;49.20323;112.3974;99.67844
37.90844;122.8356;79.71021;49.21016;113.241;99.66917
39.63958;121.4041;82.5475;51.64989;110.6517;99.66646
39.62037;121.4415;82.33521;51.67495;110.9265;99.66552
35.12;122.1135;78.86479;46.93505;115.0305;99.66364
39.33651;121.6598;81.79146;51.67588;111.1097;99.66073
47.55912;127.309;82.19062;58.48838;110.701;99.65948
37.8625;122.996;79.90229;49.09084;113.0369;99.65448
39.58464;121.5439;81.91771;51.6301;111.2028;99.65271
37.90609;122.7428;79.94271;49.12688;113.0525;99.645
37.06724;122.4039;79.84354;48.355;112.9893;99.64427
37.99177;122.725;79.49479;49.18104;113.2865;99.64407
39.63552;121.6534;81.19312;51.58568;111.4375;99.64313
37.98057;122.548;79.94646;49.13963;113.0124;99.64135
39.6088;121.9214;81.72104;51.67229;111.1958;99.64073
37.97224;122.7702;79.95875;49.13901;113.0254;99.64031
35.41047;120.8512;78.15937;47.59219;116.0095;99.63698
37.79505;122.894;79.90833;49.11943;113.022;99.63594
39.63698;122.1032;81.67083;51.57031;111.197;99.63198
39.52182;121.2917;81.79813;51.5626;111.2067;99.62688
44.94292;124.0377;87.00646;56.01693;109.5126;99.62417
39.46088;123.01;80.65146;51.50193;111.5423;99.62417
39.6426;121.311;81.77458;51.63604;111.1855;99.6226
39.60135;121.6198;81.03812;51.56422;111.4418;99.62125
37.00338;122.1888;79.71458;48.40797;112.9894;99.61927
37.89505;122.659;79.88541;49.13016;113.0107;99.61667
39.48349;122.5144;81.42313;51.61036;111.2138;99.61552
44.88406;124.1805;86.92812;55.98479;109.4737;99.61385
37.77984;122.1581;79.35875;49.09312;112.3816;99.60687
39.32312;122.4568;81.54083;51.58151;111.1075;99.60406
39.48807;121.621;81.1425;51.61583;111.4306;99.60114
32.29995;120.6039;77.66708;44.1951;114.4847;99.59698
44.86396;123.986;86.85416;55.99766;109.5245;99.59646
37.81187;122.7889;79.9525;49.09146;113.0154;99.59261
39.55344;121.9035;81.66625;51.56609;111.1203;99.58916
39.78563;121.4503;82.33292;51.73088;110.6378;99.58802
34.61708;121.7033;78.69271;46.11864;114.7718;99.58698
39.42667;121.7763;81.55042;51.59589;111.2833;99.58542
43.52578;125.2613;82.03938;54.50891;109.7204;99.585
37.99729;122.2458;79.34292;49.14463;112.3953;99.58489
37.68167;122.0592;79.00875;49.05755;112.2486;99.58375
39.73088;121.3784;82.21896;51.63885;110.6167;99.58354
35.11896;121.9641;78.7425;46.9287;114.9601;99.5824
35.23651;121.8293;78.69375;46.9225;114.8802;99.58125
39.68;121.3913;81.68771;51.61349;111.1903;99.58
46.24859;125.5759;85.42709;57.67292;108.4732;99.57323
39.655;121.382;81.5625;51.58958;111.1663;99.57312
39.40557;121.89;81.58791;51.66302;111.1145;99.57125
39.40068;121.3857;81.54229;51.60948;111.1769;99.56927
37.8261;122.1536;79.08542;49.14531;112.2097;99.56718
39.47042;121.6299;81.20854;51.55094;111.4491;99.56667
39.39005;121.4515;81.82291;51.61615;111.2244;99.565
39.39458;121.6901;81.67188;51.56224;111.1969;99.56355
37.7551;122.1796;79.32875;49.07406;112.3838;99.56261
47.54937;126.964;81.99958;58.43599;110.6352;99.56239
37.89255;122.198;79.08083;49.01505;112.2078;99.56187
44.85219;124.1995;87.00396;56.00792;109.4319;99.56145
39.45526;121.4841;81.52979;51.61323;111.1513;99.55854
37.77943;122.0819;79.34541;49.08859;112.3696;99.55625
38.05344;122.5878;79.89812;49.14724;113.0018;99.55323
36.90911;121.8792;81.60208;49.19953;114.7559;99.54761
44.88651;124.0971;87.30209;55.98526;109.5212;99.5475
39.49797;121.869;81.41792;51.60578;111.1972;99.54614
39.40854;121.7897;81.51271;51.57021;111.192;99.54521
38.00354;122.1714;79.29584;49.22026;112.3694;99.54292
39.74979;121.2591;82.30146;51.70969;110.5956;99.53667
39.56172;121.8423;81.62563;51.61485;111.2;99.53593
39.51141;122.4628;80.64313;51.5437;111.5408;99.52979
37.8551;122.1237;79.09417;49.07323;112.2294;99.52812
37.87109;122.0854;79.04479;49.11016;112.2403;99.52479
39.34609;121.4095;81.31021;51.61417;111.4446;99.52104
37.03682;122.4723;79.93938;48.32708;112.9647;99.5124
37.91656;122.0938;79.03146;49.1312;112.288;99.51187
