K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_3.PV
30.72016;115.1939;50.55302;43.32151;108.224
30.61333;115.2486;50.60479;43.28271;108.2306
30.62365;115.3328;50.61489;43.35219;108.23
30.58766;115.2259;50.60479;43.31;108.2277
30.74302;115.2166;50.62198;43.32865;108.2247
30.56161;115.3073;50.6175;43.34953;108.2369
30.61448;115.2824;50.57073;43.33859;108.2274
30.79849;115.1706;50.57052;43.33323;108.2248
30.68526;115.2208;50.55115;43.3686;108.2392
30.71286;115.2411;50.49166;43.33016;108.2412
30.76943;115.4025;50.46677;43.35354;108.2268
30.70505;115.4609;50.45292;43.33094;108.2379
30.76813;115.4817;50.46698;43.36849;108.2323
30.62354;115.3763;50.51219;43.34802;108.251
30.5987;115.2897;50.51479;43.33693;108.2561
30.66599;115.3463;50.53271;43.34432;108.2576
30.6513;115.3854;50.59875;43.34031;108.2716
30.71557;115.3411;50.61573;43.33828;108.2729
30.77323;115.2699;50.60031;43.36787;108.2783
30.69474;115.339;50.59834;43.34807;108.2894
30.57203;115.3088;50.55938;43.33609;108.2717
30.63109;115.256;50.53521;43.35979;108.2843
30.65797;115.1825;50.48083;43.35026;108.2947
30.55448;115.2363;50.48708;43.28391;108.2613
30.64995;115.2546;50.49302;43.34854;108.2669
30.54812;115.2864;50.52896;43.32396;108.2696
30.73885;115.3219;50.4925;43.34427;108.2717
30.58109;115.7296;50.44406;43.36552;108.2636
30.58479;115.5696;50.40031;43.38213;108.2689
30.68469;115.3359;50.38802;43.34594;108.2568
30.52615;115.2627;50.41708;43.34448;108.2406
30.59693;115.2715;50.42062;43.37989;108.2486
30.58432;115.5596;50.42667;43.35458;108.2495
30.5588;115.5391;50.43323;43.35563;108.2504
30.65651;115.7257;50.38521;43.34979;108.2499
30.60927;115.4879;50.37312;43.37182;108.2549
30.585;115.4535;50.37115;43.33588;108.2593
30.51516;115.3878;50.37781;43.34333;108.2546
30.58162;115.4602;50.39667;43.34135;108.2578
30.5663;115.5257;50.41563;43.34052;108.2763
30.63083;115.3532;50.38688;43.36187;108.2758
30.57745;115.2361;50.36135;43.3562;108.2807
30.49365;115.225;50.41292;43.32536;108.2853
30.69724;115.1539;50.40792;43.33391;108.2944
30.60026;115.0881;50.405;43.34198;108.3019
30.5975;115.162;50.41677;43.32635;108.2998
30.5575;115.357;50.44677;43.35495;108.284
30.60719;115.3146;50.42646;43.35958;108.2875
30.36016;115.5311;50.43521;43.32755;108.2772
30.58745;115.4914;50.45313;43.34406;108.2675
30.52677;115.3591;50.47167;43.35203;108.2682
30.54891;115.3453;50.44448;43.3513;108.2932
30.54349;115.1689;50.39812;43.34391;108.2901
30.49594;115.2292;50.33062;43.37693;108.3121
30.45995;115.3019;50.29844;43.35844;108.3568
30.44823;115.3269;50.2424;43.35885;108.3724
30.58276;115.2249;50.22073;43.34531;108.3998
30.53276;115.163;50.18469;43.33224;108.4303
30.54005;115.3052;50.1399;43.30416;108.4412
30.51276;115.2469;50.13062;43.35188;108.4469
30.59224;115.3538;50.18083;43.34479;108.4526
30.54068;115.3392;50.1926;43.32297;108.4797
30.59224;115.2105;50.21927;43.34823;108.4492
30.58328;115.2811;50.25177;43.33646;108.4287
30.63745;115.1622;50.25677;43.35089;108.4191
30.59193;115.0459;50.28375;43.34427;108.419
30.57875;115.0574;50.30229;43.31219;108.3858
30.54714;115.1194;50.31417;43.35036;108.3623
30.60245;115.0173;50.29438;43.36276;108.3652
30.47745;115.0656;50.30406;43.35641;108.3412
30.54807;115.0276;50.31177;43.32099;108.3327
30.67271;114.8854;50.30927;43.33922;108.3079
30.65984;114.8576;50.36406;43.26318;108.2792
30.48719;114.9327;50.35292;43.30177;108.2828
30.70323;114.9501;50.28875;43.29568;108.2692
30.47693;114.9812;50.28031;43.30198;108.2522
30.58307;114.9361;50.24562;43.30484;108.2415
30.56885;114.9728;50.25156;43.29734;108.238
30.54385;114.8466;50.25281;43.30802;108.2329
30.65187;114.7903;50.21896;43.29417;108.2256
30.64865;114.9494;50.25542;43.33208;108.2255
30.55036;114.964;50.20885;43.28088;108.2136
30.51287;114.9941;50.15792;43.30833;108.1897
