K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-41.17721;56.54536;0.9547291
-41.25274;56.20953;0.9549479
-37.85651;55.92755;0.9549479
-40.92292;56.75484;0.9554114
-39.82813;57.01401;0.9558437
-41.1026;57.43182;0.9560052
-40.6832;57.17875;0.956026
-39.25286;55.97703;0.956151
-40.86771;56.28625;0.9561719
-39.11406;56.17573;0.9569531
-40.36706;55.70839;0.9574323
-39.43737;55.81286;0.9582969
-37.39922;56.50208;0.9592448
-40.91146;56.80203;0.959474
-40.44284;57.00177;0.9595938
-39.19857;56.35646;0.9604688
-40.0319;56.61562;0.961651
-39.51172;57.56156;0.9616875
-41.56992;56.73922;0.9619843
-39.88515;55.57854;0.9634687
-38.38268;55.91682;0.9637188
-40.07253;56.1526;0.9642136
-40.73997;57.27776;0.9643958
-40.7099;56.87635;0.9644635
-37.23099;56.96203;0.9644896
-40.04401;55.6814;0.9647865
-40.41081;55.71635;0.9652812
-37.80391;56.5139;0.9659584
-35.25964;56.33578;0.966125
-39.7224;56.29839;0.9665156
-40.40091;56.61781;0.9674166
-37.46784;56.21068;0.9677761
-40.83281;56.36781;0.9678073
-41.12409;56.68489;0.9680312
-39.7457;56.20719;0.968625
-40.0957;57.28557;0.9687396
-39.99023;56.06;0.9688073
-40.7849;56.21614;0.9695261
-39.75651;56.19724;0.9695521
-39.49219;56.09734;0.9696823
-40.35807;56.12234;0.9707657
-38.86016;56.12443;0.9711615
-40.22149;55.67313;0.9712656
-37.06146;56.33333;0.9713646
-40.55391;57.43344;0.9714479
-39.21601;56.01292;0.9718438
-41.31198;55.91224;0.972224
-39.65664;57.01677;0.9722865
-39.95781;57.05838;0.9731979
-40.34127;57.27146;0.9734687
-40.41445;56.42078;0.9736511
-41.96758;56.91604;0.973776
-39.85039;56.31161;0.9744427
-36.72786;57.19115;0.974776
-38.42604;55.72771;0.9747969
-40.72213;55.66646;0.9748125
-40.05339;55.83047;0.9763073
-39.83581;58.25292;0.9765885
-41.03919;56.16469;0.9768385
-38.51185;57.02417;0.9770833
-40.48164;56.54958;0.9772083
-40.43789;55.86766;0.9782031
-36.79531;56.09958;0.9783698
-40.75495;56.34094;0.9784323
-40.70924;57.19125;0.9786146
-42.13411;57.17021;0.978625
-40.24896;55.44344;0.9787917
-40.16341;57.17036;0.9795156
-41.12526;56.71995;0.9799219
-39.76029;55.84021;0.9807448
-40.39544;56.58974;0.9810625
-38.33867;56.49255;0.9814115
-41.67656;55.89917;0.9814166
-40.24076;56.06224;0.9816823
-40.56888;57.09682;0.9817448
-38.93971;56.0749;0.981849
-39.03229;57.21635;0.9821927
-39.65859;56.04573;0.9829167
-40.44765;55.83364;0.9830208
-41.1931;56.41141;0.9834375
