K5PC5CH.OP;K5PC6CH.OP;K5F3.PV
56.35948;67.70781;3082.489
56.35552;67.76844;3083.093
56.35417;67.74766;3096.917
56.35156;67.76146;3082.711
56.34917;67.7486;3093.412
56.3488;67.64323;3120.037
56.34609;67.58828;3122.114
56.34542;67.84396;3058.063
56.34489;67.71453;3082.769
56.34261;67.59651;3093.012
56.3424;67.70557;3077.517
56.33698;67.33318;3178.542
56.3362;67.72292;3076.886
56.33464;67.765;3089.548
56.33318;67.6976;3101.185
56.32323;67.61313;3098.397
56.32229;67.13594;3077.736
56.32203;67.71125;3110.157
56.3201;67.73422;3069.189
56.31984;67.65161;3088.804
56.31839;67.76037;3090.14
56.31776;67.64047;3092.166
56.31662;67.76688;3092
56.31401;67.63802;3093.761
56.31385;67.76339;3084.848
56.31036;67.79369;3082.871
56.30938;67.7476;3080.55
56.30797;67.72938;3083.974
56.30656;67.21344;3114.426
56.30239;67.79761;3070.683
56.30125;67.59052;3112.84
56.29875;67.7664;3090.112
56.29802;67.635;3094.52
56.29662;67.21573;3121.699
56.2962;67.64407;3086.63
56.2924;67.79912;3082.923
56.29099;67.7299;3086.13
56.28948;67.72516;3083.586
56.28568;67.2875;3176.678
56.27687;67.76703;3089.767
56.27656;67.80412;3063.954
56.27536;67.77782;3089.591
56.27505;67.15734;3080.71
56.27489;67.79302;3080.627
56.27422;67.57151;3082.553
56.27229;67.59422;3113.107
56.27057;67.73161;3093.427
56.26313;67.75979;3051.872
56.26062;67.69885;3077.39
56.25693;67.68229;3080.626
56.25463;67.71021;3088.078
56.24755;67.79531;3065.541
56.24458;67.69511;3092.744
56.24031;67.88115;3092.486
56.23859;67.71193;3084.757
56.23406;67.50307;3087.318
56.23245;67.01006;3069.004
56.23214;67.13349;3074.909
56.22896;67.3139;3175.859
56.22203;67.60448;3099.032
56.21953;67.63448;3100.304
56.21062;67.57594;3085.624
56.20187;67.57813;3078.648
56.2013;67.7299;3081.828
56.19719;67.62521;3090.021
56.18542;67.73933;3084.323
56.16833;67.59349;3102.761
56.14766;67.56906;3087.978
56.14047;67.60068;3091.66
56.13302;66.85833;3124.048
56.12734;67.19443;3171.043
56.00323;67.0263;3129.788
55.98208;66.73917;3159.176
55.93177;66.42359;3083.282
55.91302;66.38734;3082.029
55.90531;67.02901;3117.027
55.8725;66.38125;3082.877
55.87047;66.41161;3083.469
55.82203;66.97583;3072.114
55.81604;66.37839;3084.619
55.80875;66.40677;3068.028
55.80698;66.38458;3086.8
55.80297;66.40208;3073.26
55.79708;66.39313;3082.697
55.79703;66.45724;3076.7
55.79109;66.37474;3068.479
55.79083;66.39442;3078.581
55.78458;66.56453;3079.043
55.78318;66.36104;3078.302
55.77422;66.38078;3078.622
55.7599;66.40599;3081.638
55.7576;66.97662;3080.948
55.755;66.40797;3076.112
55.74703;66.37865;3082.865
55.74682;66.42141;3077.732
55.74635;66.99297;3139.304
55.73938;66.46047;3080.908
55.73875;66.44896;3076.225
55.73635;66.37854;3084.549
55.73453;66.32938;3086.844
55.73265;66.41505;3089.529
55.73146;66.38718;3080.258
55.73037;66.40969;3085.371
55.72818;66.39422;3078.629
