K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
65.3765;301.1875;5.249688;1.251023;97.74125;80.34843;8.75914;99.44281;8.399922;2615.134;14.54594;63.857;36.58875;146.8094;4.013044;97.96531;0.8107578;18.54542;97.73594;0.9286094;100;339.4688;16.275
65.37;373.4375;5.240625;1.247656;97.72813;80.34843;9.089687;99.4375;8.735859;2656.785;14.54469;63.8275;37.18281;146.86;4.012781;97.91719;0.8366562;18.72776;97.82656;0.9208984;100;331.25;17.05437
64.989;175.2813;5.290625;1.249507;97.72968;80.39;9.015079;99.43063;8.670859;2646.333;14.54063;63.5615;37.17188;146.9512;4.017675;97.97594;0.8321953;18.81021;97.75282;0.9306172;100;336.7813;16.93625
64.8295;290.7188;5.236562;1.249211;97.71438;80.41906;8.982656;99.43719;8.619765;2639.589;14.52375;63.3345;37.16906;147.0669;4.016269;97.99094;0.8135703;18.89485;97.73125;0.9215859;100;344.8125;16.83875
64.741;318.75;5.219062;1.250609;97.71;80.37469;8.96711;99.44749;8.603125;2637.353;14.52312;63.237;37.16906;147.1237;4.015594;97.90063;0.8367969;18.89487;97.74438;0.9373282;100;342.2188;16.75656
64.7;357.3125;5.29625;1.247597;97.73375;80.37093;8.939453;99.45;8.583984;2633.664;14.52656;63.145;37.18156;147.1844;4.015312;97.99688;0.854414;18.88252;97.71812;0.9290625;100;331.6875;16.80938
64.7265;342.2188;5.1;1.24803;97.74375;80.39031;8.935625;99.43625;8.594453;2634.321;14.51375;63.113;37.17094;147.28;4.01685;98.01344;0.8178203;18.87077;97.81062;0.9234532;100;340.6875;16.81906
65.022;310.0938;5.243125;1.251141;97.70593;80.35031;9.001562;99.4325;8.630078;2642.219;14.51719;63.435;37.18594;147.4094;4.012594;97.91438;0.869375;18.84169;97.73781;0.9239843;100;343.625;16.89375
65.331;374.5313;5.295312;1.253661;97.73125;80.37187;9.040078;99.43594;8.686015;2649.062;14.5125;63.7015;37.175;147.4256;4.01625;97.9;0.8517265;18.80567;97.76719;0.929125;100;342.8125;16.9725
65.587;245.5;5.29375;1.300438;97.72406;80.37782;9.07789;99.44406;8.719609;2655.185;14.50375;63.9065;37.16219;147.4706;4.012669;97.87062;0.8986406;18.87289;97.73469;0.9809062;100;342.9688;17.02875
65.4865;361.75;5.234375;1.347216;97.73062;80.31625;9.082188;99.44093;8.726954;2656.69;14.48812;63.9645;37.1725;147.5081;4.017;97.93375;0.9314766;18.87678;97.89844;1.019297;100;332.1875;17.06688
65.0775;191.4063;5.27375;1.349362;97.73344;80.34688;9.026953;99.44531;8.66;2647.716;14.50438;63.6035;37.18031;147.58;4.0116;97.91312;0.893961;18.69827;97.7575;1.018508;100;345.5938;16.9275
64.6885;388.0313;5.260625;1.350858;97.7175;80.36219;8.973359;99.43594;8.619532;2638.572;14.50344;63.2955;37.17969;147.6481;4.012425;97.93719;0.8973516;18.67992;97.7375;1.013875;100;343.8438;16.80625
64.259;371.375;5.3375;1.350543;97.74281;80.34657;9.10289;99.4575;8.733828;2658.954;14.47969;62.7975;37.61781;147.665;4.014488;97.93343;0.8798906;18.55031;97.71687;1.009398;100;343.1875;17.09063
