K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T9_2.PV;K5T8_1.PV
55.53667;138.1565;51.92646;66.41286;26.98854;67.59604
55.39057;137.9684;51.72917;66.35646;27.14458;67.59521
55.45839;137.8203;51.78198;66.35344;27.29781;67.59406
55.42427;137.8421;51.85042;66.37943;27.1325;67.59396
55.44323;137.8115;51.89292;66.40385;27.30656;67.59052
55.57828;137.5972;51.77344;66.36219;26.44135;67.59
55.25734;137.8782;51.86844;66.31687;26.4574;67.58979
55.52636;137.7711;51.88521;66.42396;26.7024;67.58792
55.18172;137.756;51.92698;66.34635;27.35188;67.58761
55.32589;137.9214;52.10896;66.41969;27.23302;67.58688
55.4625;137.9971;51.74531;66.35422;27.23615;67.58636
55.47458;138.0017;51.52958;66.38125;27.3424;67.58583
55.20083;138.1233;52.12479;66.37177;26.69489;67.58573
55.87047;137.8921;52.2174;66.41161;27.26865;67.58542
55.37083;137.789;51.79031;66.40083;26.68042;67.58313
55.42807;138.0172;51.74177;66.37693;27.23969;67.58281
55.49792;137.7369;51.75917;66.30865;25.61833;67.58208
55.46375;137.7609;51.80677;66.34599;27.05375;67.57833
55.73875;138.0114;52.18698;66.44896;27.48229;67.57761
55.67901;138.1615;52.18604;66.42016;27.45344;67.57739
55.47005;137.7154;51.91094;66.37312;26.96729;67.57604
55.71365;137.7554;51.87208;66.36234;26.60698;67.57573
55.45245;137.8327;51.8974;66.37411;27.18021;67.57521
55.36068;137.9109;51.55729;66.37318;26.11542;67.57479
55.45089;137.8495;52.00354;66.33791;25.35792;67.57396
55.48094;137.6869;51.8499;66.37453;26.50698;67.57104
55.52208;137.6756;51.79208;66.35823;26.4599;67.56959
55.4662;137.7708;51.57521;66.36089;26.48302;67.56834
55.55141;138.0352;51.60156;66.37458;25.95167;67.56823
55.22354;137.924;52.0999;66.45683;26.69385;67.56792
55.37078;137.7208;51.81094;66.35969;26.7301;67.5675
55.38245;138.0035;51.51646;66.38271;26.87719;67.56625
55.62693;137.8175;51.69;66.39787;26.4901;67.5651
55.69552;137.8339;51.65208;66.39214;26.635;67.5651
55.43636;137.9609;51.50687;66.40797;26.11125;67.56416
55.42943;138.3865;51.95302;66.43151;27.3274;67.56386
55.33511;137.6651;51.73812;66.39661;26.21458;67.56364
55.59031;138.1617;52.21094;66.4436;27.26344;67.55854
55.65615;137.895;51.64958;66.36614;26.86719;67.5574
55.27417;137.6725;51.7701;66.34016;26.535;67.55719
55.31511;137.8646;51.59677;66.36818;25.96885;67.55719
55.58229;137.8922;51.71396;66.41115;26.84146;67.55646
55.49432;138.1908;51.98219;66.42818;27.16344;67.55417
55.3326;137.976;51.52698;66.39578;25.7649;67.55406
55.65182;137.9342;51.71156;66.3875;27.12375;67.55386
55.57724;137.5546;51.64896;66.38364;27.30396;67.5525
55.36958;137.9067;51.69281;66.35687;26.06375;67.55063
55.57109;138.0748;51.95979;66.4362;26.81437;67.54855
55.66563;137.9035;51.71885;66.36089;27.26354;67.54792
55.8725;137.7411;51.63573;66.38125;27.17875;67.54188
55.56953;137.6978;51.68729;66.39619;26.84615;67.54135
55.16354;137.9426;51.80979;66.37177;25.98354;67.54135
55.35167;137.8531;51.60531;66.37146;27.32104;67.53906
55.32245;137.7825;51.8175;66.37115;26.21406;67.53875
55.55536;137.7977;51.94667;66.38958;25.71208;67.53709
55.51891;137.7303;51.70823;66.4087;26.90917;67.53593
55.56292;137.7141;51.72604;66.41032;27.11437;67.53385
55.49005;137.8186;51.77114;66.33953;25.82083;67.53385
55.57677;138.0431;51.94479;66.45198;26.62406;67.5325
55.50182;137.9929;51.66448;66.33255;26.20812;67.53219
55.21349;138.0833;51.58375;66.34042;27.1974;67.53188
55.29724;137.843;52.03073;66.43896;27.24583;67.53114
55.35417;137.8771;51.82875;66.40646;27.19427;67.53104
55.60219;137.8837;52.20438;66.45583;27.40656;67.52802
55.4737;137.7451;51.70698;66.42177;27.79292;67.52531
55.25901;138.0882;51.52719;66.37057;26.47698;67.52521
55.68193;137.8408;51.71761;66.39901;26.66771;67.52458
55.46193;137.8022;52.035;66.42182;27.4376;67.52448
55.38672;137.9199;51.92875;66.38797;27.76208;67.52323
55.34729;137.9834;51.72042;66.3813;27.12781;67.52167
55.39;137.9476;51.51011;66.39339;25.29833;67.52094
55.62943;137.7766;51.79854;66.32745;25.92583;67.51938
55.40469;137.7411;51.79542;66.35583;26.59354;67.51917
55.6326;137.5383;51.64792;66.37854;27.18542;67.51791
55.51333;138.0347;51.71416;66.39109;26.60458;67.51791
55.51286;137.9014;51.66459;66.38042;26.68698;67.51656
55.54818;137.8537;51.98708;66.37948;27.84958;67.51542
55.4076;137.9767;51.71563;66.36922;27.11802;67.51365
55.33672;137.5797;51.99083;66.33568;27.69406;67.51334
55.3887;137.9934;51.70646;66.3462;26.90771;67.51334
55.35151;137.7045;51.76958;66.35979;26.85979;67.51292
55.34167;137.8784;51.79844;66.36896;25.52958;67.51271
55.20687;138.0235;51.60073;66.36739;25.18229;67.5126
55.71094;138.078;51.90771;66.40485;27.35271;67.51219
55.46328;138.0003;51.76167;66.40995;26.79198;67.51094
55.50604;138.0215;51.94823;66.40005;27.07594;67.50906
55.39995;137.6414;51.64625;66.41036;27.17271;67.50896
55.3812;137.794;51.57969;66.3988;26.68219;67.5075
55.40526;138.0297;51.64125;66.34213;25.28188;67.50677
55.26578;138.1175;51.76;66.33292;25.53115;67.50438
55.69011;137.8062;51.64115;66.40323;26.90417;67.50302
55.15349;138.0395;51.71708;66.37292;25.82177;67.50302
55.43214;137.6342;52.01406;66.38073;27.5526;67.50282
55.44453;138.0058;51.73729;66.36953;26.52479;67.5026
55.46443;138.0592;51.67417;66.3951;26.31125;67.50063
55.42422;137.9998;51.80281;66.36052;25.94437;67.50042
55.60552;138.026;51.52833;66.37187;25.52594;67.49677
55.44896;137.9707;51.53614;66.36026;25.31646;67.49615
55.43328;137.9889;51.60354;66.33537;25.93344;67.49521
55.51963;138.0863;51.83156;66.36068;25.98854;67.49167
55.6112;138.0324;51.89542;66.40688;27.38521;67.49167
55.52422;137.945;51.90615;66.39349;26.01792;67.49083
55.51724;138.2804;51.72625;66.3776;25.71448;67.49
55.65115;137.9187;51.98906;66.41849;26.77396;67.48531
55.4862;137.9031;51.53041;66.42235;26.36396;67.48521
55.50693;138.1278;51.85344;66.38099;26.37687;67.48438
42.88662;130.1544;53.76531;54.01765;27.81177;67.48396
55.35677;137.9772;51.52729;66.39912;26.31073;67.48334
55.70198;138.2615;51.74166;66.39677;26.15875;67.48093
55.22562;138.0546;51.93719;66.42979;26.84438;67.47896
55.47443;137.9869;51.86562;66.37354;27.42281;67.47885
55.57255;137.8537;51.47771;66.34448;26.25344;67.47479
55.47953;137.9453;51.80927;66.38193;26.93792;67.47427
55.35021;138.0652;51.65177;66.38177;26.55406;67.47281
55.69427;137.8466;51.92;66.42229;27.44396;67.47188
55.4387;137.7859;51.69094;66.42234;27.50833;67.47157
55.51729;137.9588;51.58094;66.34755;26.02312;67.47146
55.20406;138.5124;51.80761;66.42735;26.79635;67.47146
42.73677;130.1115;53.76771;54.04911;27.31948;67.46917
55.30693;138.0633;51.54104;66.39651;26.01;67.46917
42.89807;130.106;53.77677;54.04182;27.72302;67.46906
55.54724;137.7745;51.58917;66.37328;26.74625;67.46906
55.66193;138.4325;51.73146;66.40312;26.04635;67.46886
55.49776;137.9446;51.95;66.40292;26.40937;67.46833
55.39495;137.8077;51.56177;66.3874;26.67521;67.4674
55.49089;138.2158;51.81427;66.45042;27.37198;67.46719
42.86115;130.0848;53.80427;54.03307;28.04854;67.46584
55.37073;137.8471;51.65823;66.4064;27.46146;67.46458
42.84083;129.9617;53.76771;54.04068;26.71656;67.46344
55.66646;138.1697;51.74177;66.40844;26.96281;67.46271
55.71479;137.7413;51.48823;66.3924;27.03719;67.46062
55.57802;137.9557;51.9474;66.41156;26.66469;67.45708
55.64552;137.7481;51.46125;66.38656;26.65479;67.45646
42.87901;130.0572;53.80969;54.04167;27.71604;67.45583
42.80375;129.993;53.7301;54.03573;27.31656;67.45479
55.74682;137.8284;51.94635;66.42141;27.34604;67.45406
55.40635;137.8691;51.6549;66.435;26.71896;67.44948
55.45599;137.8125;51.57948;66.35313;26.66;67.44917
55.63005;137.8903;51.88396;66.41786;26.99823;67.44781
42.77016;129.9598;53.70438;54.02214;26.33906;67.4475
42.73156;129.8708;53.73271;54.06646;26.76542;67.44666
42.7501;130.1822;53.76698;54.01396;26.63948;67.44572
55.59896;138.0208;51.50042;66.40192;26.22292;67.44312
55.64135;138.0909;51.73969;66.39594;26.56417;67.43771
55.46271;137.9616;51.53021;66.34292;25.92854;67.42865
55.23104;137.7695;51.61906;66.40594;27.58771;67.42719
55.55969;138.0593;51.70854;66.42354;25.86271;67.425
55.56266;137.8808;51.82469;66.37589;26.21406;67.42385
55.57964;137.8289;51.58;66.41093;26.33281;67.41666
55.54083;137.9681;51.48198;66.36292;26.12052;67.415
42.74802;130.1662;53.79177;54.03099;27.6224;67.41354
55.56036;137.7058;51.55385;66.31094;25.67;67.4101
55.56443;137.9864;51.70083;66.3875;25.85104;67.4101
55.55516;137.7951;51.4976;66.38281;26.42469;67.40979
55.61422;137.813;51.56813;66.34927;26.52052;67.40677
55.79083;137.7744;51.56937;66.39442;27.34865;67.40458
44.42854;131.2951;53.19052;55.82687;28.37313;67.40302
55.78318;138.0505;51.78146;66.36104;26.43542;67.40218
55.16792;138.0862;51.49354;66.37146;25.94292;67.4
44.31089;131.3108;53.16323;55.81328;28.42562;67.39521
44.36385;131.3552;53.19031;55.80865;28.50271;67.39458
55.57224;137.8856;51.52937;66.39094;26.18208;67.39458
42.75261;130.0327;53.77063;54.07609;27.80719;67.39333
55.43489;137.7383;51.57375;66.36443;26.83094;67.39313
55.375;137.8841;51.57531;66.38844;26.8024;67.39291
55.60724;138.0224;51.78583;66.37756;25.9425;67.39229
42.82672;130.1387;53.76208;54.03099;27.05719;67.39114
55.55443;137.7758;51.55938;66.36646;26.66354;67.38823
44.39125;131.0081;53.35688;55.80828;28.58104;67.38771
42.74667;130.095;53.74937;54.04766;26.75469;67.385
44.40505;131.0467;53.23989;55.82188;28.41771;67.38198
55.10245;137.5684;51.76698;66.38776;27.56198;67.38104
44.47682;131.8349;53.07323;55.83979;27.68552;67.38031
43.10422;130.6873;53.63063;54.3901;28.29708;67.37937
42.8101;130.0829;53.77594;54.0163;27.65542;67.37896
55.52156;138.0715;51.75177;66.36255;26.62302;67.37823
55.43057;137.811;51.60281;66.38333;27.18458;67.37813
55.81604;138.0159;51.79521;66.37839;25.11469;67.37781
