K5L1_3.PV;K5F5.PV;K5F6X.PV
4.268906;24.94413;19.01773
-4.265953;32.70919;21.59733
-4.265625;25.18153;18.77221
-4.265297;26.10343;19.70509
-4.263;25.20412;19.44123
-4.258078;28.52115;19.31864
-4.255781;25.61574;20.40407
-4.254797;27.81299;20.3504
-4.251187;33.35668;26.17629
4.250859;25.52362;18.74606
4.248234;26.24277;21.35025
-4.247578;26.45042;19.34135
-4.245609;25.71349;18.47664
-4.245281;37.11598;28.98433
-4.242984;35.58452;26.32074
-4.242656;25.43992;18.46625
-4.241672;35.61999;28.99068
-4.241015;26.91825;19.74453
4.240687;34.84594;28.32324
-4.23839;24.62868;18.40963
4.237406;22.09694;17.45144
-4.236094;28.27401;19.18964
-4.232156;25.82504;18.30934
4.230844;25.20816;21.72313
4.230844;23.68274;19.96064
4.230844;33.38232;30.18181
-4.229531;30.4615;24.10171
-4.229531;26.79588;19.37811
-4.225594;28.04338;21.61849
-4.224937;27.91271;20.03176
-4.222312;26.27443;18.31363
-4.221328;26.0158;19.71738
-4.219687;25.56555;18.74412
4.219359;24.60704;18.70862
4.218703;24.38578;19.43501
-4.217391;30.50861;22.41277
4.214766;25.91611;18.90043
-4.214109;38.46164;30.30285
4.209516;24.92144;19.66982
-4.208531;25.62681;18.67656
4.20525;23.66367;17.85032
4.203281;25.66969;19.08048
4.198688;25.86684;20.81026
4.198031;23.5446;17.96193
4.196391;36.21358;29.80334
4.193766;23.28988;19.93956
4.192781;25.07949;19.55987
-4.189172;29.36786;19.60258
-4.188844;34.26812;26.31928
4.183266;28.88175;22.49429
4.183266;23.62037;20.87536
4.18261;36.62088;29.70893
-4.180969;26.9353;19.93523
4.180313;22.71487;18.19341
4.178344;32.11935;22.50809
-4.175719;28.95587;22.0263
4.173094;25.83475;19.3878
4.168828;40.94683;30.29482
4.166203;26.92176;21.13336
-4.165875;24.83725;20.45802
-4.165219;25.49236;18.50999
-4.162266;24.97925;18.30089
4.160625;23.75504;18.80101
-4.158328;24.79125;18.70168
-4.157344;37.09639;30.75981
-4.156359;26.93369;20.53924
4.156359;23.15268;18.43358
4.151766;27.24002;21.42692
4.149141;21.35478;20.04022
-4.14914;24.59485;18.43734
4.146187;27.10201;21.60639
-4.145531;25.55483;18.85895
4.145531;26.57792;21.41744
-4.142906;25.66323;19.82849
4.14225;23.88804;19.16774
-4.138641;24.80731;18.5416
4.137656;22.50823;17.86596
4.137328;25.61081;20.24867
-4.133062;27.00314;19.90039
4.133062;29.86046;23.38327
4.132734;24.10418;19.8092
4.131422;23.32631;17.94344
-4.130765;29.50754;21.79431
4.124859;25.19023;22.38225
-4.123219;35.48876;28.61122
4.122562;29.34659;21.15621
4.118953;31.10586;25.24935
4.116;29.26123;23.81222
-4.113047;36.76384;28.95236
-4.109437;28.73555;22.19353
4.109437;25.24621;19.2959
-4.108453;26.35127;20.7349
4.108453;24.3321;19.61502
-4.106812;25.75037;19.56144
4.106156;23.33673;19.25278
-4.103859;29.52705;19.84738
-4.102875;36.37931;28.577
4.102547;23.7583;19.18021
4.10025;24.40742;19.58549
-4.099922;25.92326;19.75986
-4.096641;23.84246;18.38912
-4.095656;28.16194;20.05552
4.095;22.83225;18.20413
-4.094672;25.83569;19.40513
-4.092703;25.94255;19.71821
-4.090078;37.61867;30.37452
4.089094;23.78572;18.29292
-4.087125;24.42745;18.67595
-4.086797;24.99775;18.68194
-4.085813;32.32638;22.43292
-4.081547;25.19612;18.44649
4.080891;23.06876;18.21442
-4.080235;26.57939;18.70743
-4.07925;25.83057;19.8688
-4.077938;25.92598;19.17202
4.077938;30.95732;22.90603
4.077281;32.82048;26.7169
4.077281;22.45585;17.91251
-4.076953;25.48331;19.6225
-4.071047;24.62095;18.63088
-4.071047;26.45752;19.74403
-4.068422;43.27882;31.96902
-4.06711;32.82848;26.56312
4.066453;24.38036;19.17789
4.066125;22.35961;19.09726
4.0635;31.54743;25.30165
-4.063172;26.61598;20.00165
-4.062844;26.58875;20.39046
-4.062516;31.06695;22.83979
-4.062188;26.66873;19.73379
-4.061203;34.44605;26.94958
4.058906;22.87588;18.2889
-4.058578;26.94358;20.21061
4.058578;23.10014;17.68323
-4.057922;34.131;26.20646
-4.056281;25.95421;19.21971
-4.054641;24.11213;18.67209
4.054641;33.99619;27.47457
4.053656;28.1062;22.30224
-4.051688;27.52816;18.44522
4.051359;23.86609;19.09861
-4.049719;24.75484;18.62011
4.049719;28.46924;23.54391
4.048406;22.76715;18.09472
-4.047422;28.03325;21.03608
-4.047422;26.80674;20.22887
4.047422;25.38423;19.84412
4.047094;32.97458;26.47311
4.046109;24.22506;19.27361
4.045781;24.79174;18.11545
-4.045453;28.22648;19.9601
-4.043484;26.59936;20.65612
4.043156;24.72707;19.71848
4.0425;23.03825;18.10733
-4.040859;26.17716;18.54055
-4.040531;26.57672;19.69285
4.040203;26.51071;21.45949
-4.039547;33.0022;23.82741
4.039547;21.69575;18.13306
-4.039219;27.30958;19.54744
4.039219;25.72958;19.53654
-4.037906;32.87522;23.80876
4.03725;24.05894;19.3278
4.036922;23.84852;18.24042
4.036922;22.61558;18.17147
-4.035937;27.69895;20.39402
-4.035281;26.34304;19.51955
-4.034953;24.22781;18.71353
4.033641;24.86484;19.69009
-4.03364;26.4938;19.95374
4.033312;22.51887;18.09662
-4.030687;25.66394;19.38723
-4.029703;25.65729;19.86016
4.029375;24.34253;20.73757
-4.025765;27.5906;19.17414
4.025437;23.33948;19.1504
4.024781;24.6691;19.30114
-4.024453;27.20089;19.01114
4.024453;25.46101;20.0258
-4.024125;22.94544;18.90786
-4.023797;28.17592;22.12924
4.022812;23.40436;19.54925
4.018875;27.28108;21.41911
-4.016578;27.18051;20.69012
-4.015265;34.97917;25.97171
-4.014937;27.05876;19.66949
-4.014937;26.99876;20.09809
4.013625;24.69101;19.21437
4.011984;23.73261;18.02261
4.011328;22.61924;18.23387
-4.010344;27.18397;20.56621
4.010344;25.23798;19.38005
-4.006078;30.01521;22.2377
-4.004437;28.8159;21.95646
-4.002797;25.26067;18.68527
3.998859;22.14181;17.88914
3.995906;23.99139;18.05327
3.993937;24.31877;20.72917
3.993281;27.18788;21.70489
-3.991313;26.05239;19.53693
-3.989016;26.09771;20.35582
-3.987047;28.60891;19.17454
3.986719;29.67913;22.18564
3.985734;30.92328;24.30818
3.982781;23.79983;18.2171
-3.981469;25.86454;19.78396
-3.981141;25.04763;19.8981
-3.981141;33.57381;26.6382
3.978516;25.10021;18.93587
-3.977203;26.34254;19.8093
3.977203;28.16859;22.49698
-3.976547;24.14447;18.25244
-3.976219;26.95522;19.41174
-3.975891;29.94891;21.78034
-3.974578;35.17687;26.56873
3.97425;23.10789;17.94591
-3.971953;25.59257;18.57726
3.971625;23.35604;19.10609
3.971297;24.70545;19.90574
-3.970969;27.58019;19.63397
-3.969;25.87451;19.73057
-3.968344;27.29619;20.2725
3.967687;25.24205;21.56765
-3.966703;26.01118;20.02598
-3.965719;27.00452;20.56349
-3.965719;27.51359;20.01834
3.965391;25.33023;20.1529
