K5P6.PV;K5PC5CH.OP;K5T18_2.PV;K5T10_1.PV;K5T10_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
0.820174;30.97768;78.47611;71.36284;89.91574;0.630074;0.7040838;-820.2807;573.902;669.0796;93.70562;98.69159;144.5719
0.8327436;31.39035;78.44747;64.59758;90.2277;0.6451115;0.7154977;-818.542;574.535;669.7603;92.83288;97.44041;143.6423
0.8235604;31.42975;78.34766;86.62988;91.20462;0.6276761;0.7066378;-822.0022;574.4487;667.9471;95.80512;100.6303;145.5923
0.7300202;27.52429;78.28339;62.64949;88.42663;0.5638521;0.6282012;-831.3499;565.0979;655.3196;91.42061;95.40755;140.6138
1.000151;37.33043;78.06613;91.65355;95.59843;0.7614523;0.8551832;-800.5898;577.9052;688.7402;100.6244;105.5216;152.1769
0.7146439;27.50843;77.68006;65.85112;88.604;0.5514602;0.6135198;-833.5392;562.713;651.7389;91.35164;95.19745;140.3663
0.7132345;27.29122;77.67409;67.59645;88.52178;0.5514243;0.6130996;-833.2618;563.7247;652.8766;91.1241;94.86008;139.7607
0.9751335;36.57661;77.59631;90.1206;95.02034;0.7428812;0.8344712;-803.3353;578.3689;686.874;99.94204;104.7441;151.4327
0.7976971;30.14186;77.54546;71.51199;89.40263;0.6127844;0.6839389;-822.8824;571.6024;665.4084;93.02833;97.97246;143.8587
0.9933436;36.84088;77.2832;92.64681;94.1743;0.7523739;0.8511948;-801.3467;579.5367;688.0458;99.86667;104.7601;151.0397
0.8512664;31.99164;77.24636;75.0772;89.49003;0.6516719;0.7295697;-816.5999;576.1672;677.77;92.92376;98.29442;144.8468
1.000138;37.21236;76.95855;92.38137;94.88383;0.7597278;0.8556491;-800.4226;579.624;688.8223;100.3172;105.2659;151.4241
0.7266733;28.43256;76.77946;59.77333;90.33453;0.5544971;0.6234499;-831.0353;567.9844;657.2806;93.15239;97.01862;140.6675
