K5F5.PV;K5F6X.PV;K5T16.PV;K5T15.PV;K5T17.PV
37.57492;30.84314;96.87437;122.5788;132.5963
36.94862;30.76073;97.11;122.5775;132.8
40.20393;32.94899;96.34624;122.5762;132.6731
36.98094;30.85526;97.12063;122.5762;132.7781
40.09162;32.94998;96.30563;122.575;132.49
37.17395;31.0696;96.61125;122.575;132.7238
36.30945;31.04331;97.03938;122.575;132.6462
37.47294;30.93513;96.82625;122.575;132.7425
36.64048;30.72454;96.715;122.5725;133.4031
36.91262;31.25774;96.61437;122.57;132.6819
37.03549;30.87035;97.09625;122.5687;132.7531
40.08345;32.99539;96.30187;122.5663;132.5594
35.26424;28.54094;96.92;122.5638;132.895
36.36807;30.99416;97.05125;122.5625;133.3231
35.28934;28.58649;96.9025;122.5625;132.9825
37.00416;30.77944;97.13375;122.5612;132.8919
36.28159;30.98839;97.01625;122.56;132.6212
37.50996;31.05322;96.8;122.5587;132.6931
35.09526;28.43148;96.88313;122.5587;132.8737
36.62079;30.99965;96.595;122.5575;132.6313
37.1172;30.77221;97.0875;122.5563;132.7325
37.52314;30.97959;96.825;122.5563;132.7263
37.58575;30.95383;96.89125;122.555;132.5762
38.69848;33.36482;96.61813;122.5537;134.2569
35.19007;28.44401;96.91937;122.5537;132.9269
37.00081;30.87127;97.1175;122.5525;132.8581
36.30623;31.0347;97.03875;122.5525;132.6337
37.29414;31.00603;96.77625;122.5525;132.8275
37.23498;30.95005;96.82875;122.5525;132.7913
36.43077;30.97016;96.71938;122.55;133.4094
37.64704;31.02219;96.90874;122.55;132.5525
37.04266;30.9824;97.06562;122.5488;132.705
37.00317;30.66018;97.15937;122.5475;132.9181
36.18079;31.00941;96.97187;122.5475;132.6638
36.25062;31.03385;97.04;122.5462;132.6469
37.61724;30.82547;96.8425;122.5462;132.6237
36.26331;30.97562;97.06687;122.545;133.3587
37.60065;31.08856;96.83063;122.545;132.6712
38.65882;33.33149;96.58437;122.5438;134.2031
37.07093;31.0866;96.9675;122.5437;132.4075
36.58759;30.85892;96.60812;122.5425;132.6019
37.06425;30.98954;96.9275;122.5413;132.4569
37.32765;30.81344;96.81687;122.5413;132.7506
37.45488;31.01069;97.01375;122.54;133.0606
36.94179;30.61027;97.17375;122.54;132.9194
36.88459;30.53091;97.165;122.5387;132.9844
37.72652;30.97247;96.94125;122.5387;132.5187
36.04464;31.34609;96.91312;122.5363;132.7325
37.72749;31.16803;96.935;122.5362;132.5169
36.7378;30.74467;96.77688;122.535;132.855
36.52774;31.05489;96.6;122.5325;132.6369
35.76632;31.09025;96.7875;122.5313;132.8563
37.72041;30.57353;96.66063;122.53;132.9913
36.03795;31.30311;96.84125;122.5275;132.7787
36.15481;31.2807;96.9575;122.5238;132.6631
37.16322;30.9155;96.59812;122.5225;132.475
37.61884;30.86776;96.8475;122.5225;132.5944
36.71723;30.80484;96.76813;122.5212;132.8475
36.20974;31.1298;96.95562;122.5188;132.6806
35.63221;31.16766;96.71687;122.5175;133.3719
37.68317;30.86208;96.66;122.5163;132.6656
36.27717;31.01124;97.01625;122.515;132.6481
35.55716;28.64915;96.9325;122.515;133.0225
35.70418;31.28444;96.80375;122.5125;132.8144
38.6682;33.47631;96.5675;122.5113;134.1525
36.7057;30.8857;96.5875;122.51;132.615
36.98547;31.17422;96.93625;122.5088;132.4063
37.72889;30.99419;96.93813;122.5088;132.5038
37.33816;30.6884;97.1775;122.5075;133.1344
36.87614;30.53162;97.19376;122.5075;133.0381
36.17234;31.13042;96.95937;122.5062;132.6588
37.59815;31.05412;96.79375;122.5062;132.6875
37.68685;30.38824;96.67563;122.505;133.1431
37.6569;30.51029;96.66563;122.505;132.8212
37.01146;30.45152;97.18187;122.505;133.0725
36.78254;31.14317;96.79688;122.505;132.885
37.5019;30.86669;96.6;122.5037;132.5425
36.36074;30.98129;96.71125;122.5025;133.3975
36.9839;30.97332;96.95625;122.5025;132.4225
37.68586;30.59476;96.62563;122.5013;132.7806
36.75486;30.87738;96.76625;122.5;132.8556
37.76165;30.91805;96.95625;122.5;132.4994
37.70879;30.78055;96.635;122.4987;132.6387
36.76553;30.72653;96.77937;122.4987;132.8269
36.14941;31.24516;96.94625;122.4975;132.6662
36.74554;31.07024;96.7675;122.4975;132.9219
37.02575;30.02924;96.7775;122.4975;132.59
36.0999;31.27631;96.9125;122.495;132.7137
35.17974;28.5623;96.90375;122.495;132.9212
36.32421;31.01825;96.6975;122.4938;133.3681
36.32579;30.92617;97.03375;122.4938;132.6387
36.74867;30.71263;96.75;122.4925;132.8744
37.3054;30.95988;96.8025;122.4912;132.7769
37.71135;30.46538;96.66;122.49;132.9344
36.37347;30.89191;97.01187;122.49;133.2969
36.674;31.01624;96.77625;122.49;132.88
34.24524;28.58696;96.86625;122.49;132.8081
36.07992;31.37043;96.93687;122.4887;132.7044
36.04744;31.26774;96.95;122.4875;132.6919
36.08072;31.23847;96.85938;122.4875;132.775
35.73896;31.36698;96.83625;122.4875;132.8444
36.95354;29.97059;96.74687;122.4875;132.4956
37.30467;30.97073;96.57125;122.4863;132.6219
40.05972;32.7963;96.25375;122.485;132.3475
36.07832;31.28468;96.8425;122.485;132.7769
37.62636;30.40336;96.70563;122.4837;133.105
36.72632;31.03526;96.7625;122.4837;132.8956
36.59975;31.01822;96.72;122.4825;133.405
37.3339;30.51881;97.1875;122.4825;133.1319
37.74642;30.80988;96.99;122.4825;132.4925
36.7689;30.68415;96.77312;122.4812;132.8463
36.41303;30.88173;97.02813;122.48;133.3338
34.22886;28.4979;96.87625;122.48;132.8662
35.56088;28.84527;96.94125;122.4788;133.1063
37.26741;30.51138;97.18625;122.4787;133.0838
35.70133;31.25998;96.815;122.4775;132.8244
34.18783;28.63119;96.8625;122.4762;132.815
37.11055;30.02024;96.76312;122.4737;132.5594
36.7645;30.78414;96.76;122.4713;132.9012
37.32417;30.90138;96.7875;122.4713;132.8087
37.77781;31.00391;96.98937;122.47;132.4994
36.06078;31.21942;96.86687;122.4688;132.7487
35.55595;28.84022;96.95125;122.4688;133.0994
34.20017;28.42155;96.85687;122.4675;132.8356
36.76118;30.6918;96.74875;122.4662;132.8244
37.0872;30.05441;96.82063;122.4662;132.725
36.00486;31.1883;96.8875;122.465;132.7337
36.83805;30.6409;97.07375;122.4637;132.4587
36.97269;29.96884;96.71375;122.4637;132.3806
37.77763;30.92402;97.00937;122.4625;132.4756
35.84205;28.70977;96.94375;122.4625;133.1837
35.90289;31.51104;96.825;122.4613;132.7813
37.68028;30.51249;96.71938;122.46;133.2181
36.68034;30.79492;96.76875;122.4587;132.8225
36.59678;30.93377;96.68875;122.4575;133.4125
40.04643;32.83442;96.245;122.4563;132.2688
35.83882;28.88284;96.95937;122.455;133.2131
37.648;30.8126;96.59937;122.4525;132.5844
