K0P125.PV;K5PCV4I.PV;K5P4_1.PV
66.74934;44.10901;22.02411
66.709;44.10031;22.03969
66.70175;44.10563;22.03427
66.68134;44.13552;22.0313
66.62141;44.37359;22.00344
66.67567;44.36245;22.04182
66.6225;44.23318;22.05589
66.53809;44.38515;21.99167
66.56817;44.36464;21.99057
66.8695;43.49255;21.91906
66.65992;44.15729;22.01818
66.586;44.3949;21.9726
66.94542;43.47443;21.92125
66.53416;44.37526;21.97755
66.59192;44.15193;22.00698
66.69217;44.11156;22.01885
66.83867;43.47318;21.92781
66.47642;44.28224;22.0149
66.65175;44.15562;22.02969
66.42809;44.24932;22.03047
66.6405;44.37646;22.03859
66.96508;43.61427;21.91172
66.57008;44.15198;22.0012
66.91358;43.60073;21.87656
66.82992;43.48547;21.90505
66.70742;44.10099;22.03042
66.602;44.38906;22.00802
66.79475;43.71386;21.95729
66.58383;44.24781;22.03563
66.62517;44.42646;22.11318
66.528;44.26865;22.0374
66.55067;44.27;22.03167
66.99509;43.38448;21.75901
66.54625;44.24812;22.04271
66.64;44.37969;22.01104
66.83775;43.60109;21.86609
66.57808;44.13136;22.00609
66.48458;44.35635;21.97755
66.73708;43.7125;21.98115
66.56108;44.35828;22.00594
66.60592;44.36901;22.03745
66.54775;44.21745;22.04422
66.61433;44.36229;22.03922
66.4365;44.35172;22.06698
66.59042;44.38662;22.01641
66.60284;44.14682;21.99349
66.61567;44.42729;22.11719
66.56284;44.24781;22.03286
66.49658;44.38198;21.97698
66.62217;44.43604;22.09838
66.57283;44.41703;22.10156
66.60258;44.2463;22.02161
66.4675;44.39932;21.97286
66.58675;44.42224;22.11057
66.49308;44.37708;21.98693
66.52641;44.37344;21.96943
66.50266;44.35104;21.98198
66.38309;44.31448;22.02807
66.65733;44.08349;22.01922
66.59092;44.40026;22.10698
66.66258;43.75193;21.80797
66.82042;43.48568;21.91286
66.4535;44.28318;22.01464
66.75275;43.48052;21.87453
66.47017;44.27172;22.02615
66.58542;44.33922;22.06464
66.47533;44.26354;22.03234
66.58459;44.16412;21.98917
66.6365;44.36995;22.0126
66.51317;44.37755;21.9787
66.497;44.36818;21.97568
66.50233;44.38479;21.98214
66.94925;43.605;21.8887
66.53208;44.4026;21.97245
66.47908;44.37031;21.94891
66.52033;44.36844;21.97005
66.48383;44.36932;21.97328
66.5215;44.37401;21.97037
66.591;44.36917;22.02292
66.48225;44.36547;21.97979
66.56175;44.38172;21.98172
66.47691;44.27135;22.01078
66.46675;44.46375;22.07964
66.45942;44.37599;21.96589
66.6645;44.09854;22.00328
66.46983;44.36651;21.96286
66.50725;44.37896;21.97797
66.62566;44.15917;22.0275
66.50166;44.37453;21.96136
66.66358;44.08588;22.02156
66.65175;44.07474;22.00495
66.59525;44.36344;22.00604
66.55867;44.35234;22.07672
66.50933;44.37927;21.96141
68.07708;41.90344;21.46474
66.765;43.47896;21.87495
66.60333;44.1324;21.9876
66.59533;44.38646;21.99464
66.52534;44.37854;21.97057
66.55241;44.13974;21.9862
66.55317;44.3749;21.98037
66.53867;44.40896;22.09234
66.58984;44.12427;21.99427
66.40525;44.27287;22.00786
67.31917;42.47026;21.42901
66.49433;44.40229;21.97214
66.41317;44.24021;22.00276
