K5T6.PV;K5F5.PV;K5F6X.PV;K5T17.PV
177.8938;38.2632;33.17489;132.3219
177.8938;38.32573;32.84153;132.2325
177.8925;39.07097;33.00899;131.8362
177.8913;38.56644;33.02901;132.8281
177.89;38.88436;32.62244;132.1794
177.8887;38.68344;32.61777;132.145
177.8887;40.24627;32.73442;131.6294
177.8887;39.57615;33.04567;131.8081
177.885;38.4655;32.90621;132.7763
177.8788;36.86486;31.27819;133.7181
177.8775;38.87237;32.87579;132.1862
177.875;38.29683;32.62173;132.1519
177.875;39.92053;32.56055;131.7275
177.8737;37.66455;33.10163;134.2325
177.8737;36.90454;31.24718;133.7094
177.8737;37.58747;30.62522;133.4925
177.8712;40.39962;33.22722;133.0688
177.8712;38.33868;32.63564;132.1588
177.8712;38.90726;32.92412;131.825
177.8712;39.2289;32.96902;132.1913
177.8662;36.9089;31.1679;133.7525
177.865;39.13738;32.79261;132.9637
177.8638;38.35656;32.55898;132.1231
177.8625;39.14127;32.94085;132.9569
177.8625;38.90922;32.70659;132.1581
177.8625;40.06408;32.89864;131.8262
177.8587;38.40149;33.12309;132.3344
177.8562;38.42878;32.57162;132.1512
177.8513;38.83718;32.83485;132.1675
177.8512;38.8327;32.87424;132.1894
177.85;38.81787;32.76003;132.1563
177.8488;39.87877;32.55687;131.6687
177.8475;37.47175;32.96188;133.855
177.8463;38.84579;32.69049;132.1744
177.8438;38.85682;32.57218;132.1487
177.8438;38.75863;32.81206;132.1663
177.8438;39.04936;32.20908;132.1119
177.8425;40.37656;33.28727;133.0475
177.8425;39.56568;33.02393;131.7975
177.8313;38.38428;33.22864;132.3025
177.825;39.03951;32.84578;132.9731
177.825;39.32502;33.08657;132.1712
177.82;38.72596;32.95108;131.8537
177.815;38.7577;32.99162;131.8675
177.8112;38.57711;32.63558;132.1881
177.8112;38.6029;32.92731;132.1938
177.81;38.66416;32.70907;132.1563
177.8062;38.82219;32.83783;132.17
177.805;36.89785;31.09337;133.7563
177.8012;40.3003;32.66646;131.6256
177.8;38.74231;32.99694;131.8575
177.7988;39.10408;32.99557;132.9875
177.7962;38.78472;32.92289;131.8381
177.7937;39.10149;32.99551;133.0119
177.7937;37.97543;32.60991;132.3725
177.7875;37.96948;32.86618;132.6775
177.7875;37.65322;33.04551;134.1719
177.7875;38.39164;32.72188;132.1563
177.7875;39.01059;32.23648;132.075
177.7825;38.1269;33.13774;132.3225
177.7813;37.53444;32.91928;133.8188
177.7813;39.58128;32.98289;132.1613
177.7775;38.56617;32.7721;132.1756
177.775;38.7999;32.92632;131.8206
177.7712;39.57595;33.00426;131.7744
177.7663;39.45208;32.89893;133.025
177.7663;38.40567;33.11144;132.3781
177.7637;37.72447;30.54105;133.3781
177.7613;37.71111;30.53883;133.435
177.7612;38.44614;32.80355;132.73
177.76;38.51088;32.87144;132.195
177.7587;39.00204;32.09238;132.0594
177.75;38.71019;33.00549;131.7969
177.745;38.64397;32.80933;132.2937
177.7438;38.0451;33.27962;132.3069
177.7437;38.08061;33.09318;131.7912
177.7412;39.85891;33.02923;132.345
177.7375;38.54013;32.95005;132.1781
177.735;38.58936;32.35732;132.2587
177.7337;38.95668;33.02919;132.4438
177.7325;40.23581;32.76585;131.58
177.7325;39.20271;32.82355;132.3456
177.73;38.44489;33.06603;132.3675
177.7263;35.78295;30.02176;131.5363
177.725;37.73159;33.12238;134.1156
177.7238;38.40887;33.08484;132.3875
177.7238;39.60809;33.03874;131.7356
177.7238;38.09636;33.08657;132.16
177.7225;38.952;33.00212;132.4563
177.7225;39.82294;32.51397;131.6356
177.7188;38.6146;32.98087;132.3313
177.7175;35.7939;29.9796;131.5156
