K5PS14_1.PV;K5PS14_2.PV;K5T6.PV;K5P10.PV;K5F5.PV;K5T14.PV;K5F6X.PV
4.173563;4.294463;177.5788;4.320969;38.6212;367.4719;32.48758
4.167525;4.284788;177.545;4.311718;38.68006;367.4681;32.90033
4.081219;4.196419;176.2675;4.229406;38.83696;367.4644;32.77502
4.168556;4.285931;177.6113;4.319531;39.03315;367.4644;32.89431
4.16685;4.284694;177.5087;4.310812;38.6509;367.4644;32.80491
4.081313;4.196569;176.2688;4.228781;38.88062;367.4625;32.56661
4.1634;4.28325;178.1188;4.312969;38.74634;367.4606;33.19415
4.161637;4.280775;177.5038;4.29925;37.56911;367.4606;33.10233
4.1667;4.285875;177.6275;4.309156;37.92274;367.4587;32.92375
4.161656;4.28175;177.3013;4.307469;38.10654;367.4587;33.04628
4.167037;4.285125;177.5488;4.318687;38.75702;367.455;32.94038
4.165781;4.284094;177.6563;4.315;39.02683;367.4531;32.76662
4.164787;4.284675;177.095;4.304469;37.6768;367.4531;33.19934
4.158937;4.278394;176.9012;4.308687;39.16581;367.4513;32.62899
4.161337;4.281394;177.2762;4.310125;38.92219;367.4513;32.46899
4.156931;4.275037;177.8438;4.300188;38.85682;367.4456;32.57218
4.175156;4.294687;177.6175;4.324125;38.49385;367.4456;32.75226
4.174725;4.295962;177.5813;4.322062;38.51671;367.4456;32.73276
4.167094;4.285031;177.425;4.312187;38.9699;367.4438;32.98601
4.176656;4.297969;176.5938;4.321875;38.3357;367.4344;32.17519
4.186707;4.308019;177.4713;4.341063;38.81284;367.4325;32.6404
4.173843;4.295137;177.5975;4.321906;38.7233;367.4306;32.5504
4.16745;4.286438;177.5513;4.309906;38.45;367.4269;33.09759
4.160606;4.280512;177.3038;4.305156;38.2301;367.4269;32.93745
4.161394;4.279237;177.6763;4.305719;38.60836;367.425;32.89808
4.160869;4.2792;177.9362;4.315187;39.90099;367.425;32.99076
4.166775;4.284694;177.62;4.313375;39.03315;367.4213;32.75217
4.160869;4.278244;177.745;4.305156;38.64397;367.4212;32.80933
4.167375;4.285819;177.5437;4.318594;39.06819;367.4194;32.70922
4.1667;4.28535;177.4563;4.315562;38.86341;367.4194;32.89033
4.164225;4.284244;178.1637;4.317375;39.42546;367.4175;33.22374
4.162463;4.281675;177.365;4.319438;39.87058;367.4156;32.64082
4.16505;4.286175;176.9688;4.310281;38.55838;367.4119;32.78868
4.16625;4.284656;177.5525;4.3155;39.01621;367.4063;32.80336
4.132181;4.248994;179.4688;4.273906;37.88896;367.4006;33.52673
4.16085;4.279256;177.0287;4.313781;39.54704;367.4006;32.70945
4.166869;4.285744;177.6763;4.310875;37.93748;367.3969;32.90448
4.175906;4.29735;176.5875;4.320844;38.23087;367.3969;32.12535
4.165088;4.284431;178.12;4.318375;39.34657;367.395;33.37684
4.155675;4.275393;176.6525;4.304312;38.92435;367.3931;32.54305
4.1667;4.285144;177.4688;4.314344;38.98242;367.3912;32.79969
4.169512;4.287337;176.8163;4.321938;39.05016;367.3875;32.78071
4.161206;4.281113;177.5975;4.316844;39.80467;367.3856;32.69191
4.173244;4.294819;177.525;4.318156;38.76033;367.3856;32.54669
4.165462;4.28295;177.535;4.319;39.05776;367.3838;32.76337
4.156331;4.276669;176.6337;4.307656;38.93632;367.3838;32.34056
4.1853;4.307081;177.2825;4.324625;38.02119;367.3838;32.49242
4.165331;4.283719;177.6975;4.31625;39.20901;367.38;32.85653
4.165237;4.284056;177.5063;4.314219;39.08364;367.3763;32.79277
4.165425;4.284244;177.6425;4.310031;38.28196;367.3763;32.91797
4.162575;4.283269;178.0437;4.306437;38.07165;367.3763;33.00404
4.162219;4.281787;177.1225;4.308063;38.76388;367.3744;32.60897
4.081275;4.196831;176.26;4.229344;38.83307;367.3725;32.70592
4.177894;4.299131;176.665;4.323281;38.74028;367.3725;32.12738
4.162087;4.282537;177.4962;4.302875;38.27329;367.3687;33.13778
4.14555;4.262006;178.3788;4.291687;38.46552;367.365;33.36617
4.156594;4.277231;176.6325;4.312031;38.95987;367.365;32.37552
4.164112;4.284806;178.1013;4.307844;38.01143;367.365;33.05459
4.144875;4.260975;178.2563;4.289281;37.76012;367.3631;33.4368
4.16055;4.279538;177.8887;4.311719;39.57615;367.3631;33.04567
4.1616;4.281487;177.1913;4.308781;38.72465;367.3631;32.59692
4.161881;4.279294;177.705;4.311094;38.66506;367.3613;33.07362
4.176056;4.296619;177.4975;4.321281;38.49196;367.3613;32.93102
4.167487;4.285575;177.6888;4.309625;37.90465;367.3556;32.987
4.130475;4.245656;176.8412;4.274906;38.44392;367.3406;32.59909
4.175513;4.297012;176.5712;4.314063;38.32965;367.3406;32.09256
4.133719;4.250606;176.8425;4.277812;38.24718;367.3387;32.85829
4.163719;4.280063;177.7188;4.306094;38.6146;367.3312;32.98087
4.162706;4.280981;177.9512;4.327531;39.31651;367.3275;32.98629
4.23825;4.360631;176.8987;4.378125;38.02005;367.3275;31.23363
4.149;4.264519;176.8163;4.289781;37.68491;367.3256;32.78369
4.16085;4.279181;177.5488;4.3155;39.65437;367.3256;32.72827
4.159669;4.278337;176.9912;4.311687;39.52117;367.3256;32.6624
4.186969;4.308469;177.38;4.335218;38.68318;367.3238;32.66278
4.171594;4.293281;177.5375;4.318531;38.80266;367.32;32.49691
4.178231;4.299281;176.6475;4.320656;38.31705;367.3181;32.015
4.172606;4.290112;176.9312;4.327656;39.35035;367.3144;32.83981
4.162313;4.280194;177.8625;4.324;40.06408;367.3144;32.89864
4.166606;4.287469;177.4113;4.314656;38.82932;367.3144;32.3178
4.149994;4.265532;177.0938;4.287344;37.6517;367.3125;32.98558
4.16325;4.282781;177.2;4.303437;37.95034;367.3125;33.14839
4.248431;4.372087;176.8213;4.3905;37.10571;367.3125;30.90948
4.163081;4.282575;177.56;4.323;39.87258;367.3106;32.71749
4.173788;4.295662;177.0612;4.322344;38.61835;367.305;32.37517
4.165012;4.2858;178.1025;4.311531;37.94191;367.3012;33.1152
4.175981;4.29675;177.0625;4.327406;38.96934;367.3012;32.20047
4.16565;4.284657;177.775;4.3145;38.7999;367.2975;32.92632
4.163682;4.282856;177.9;4.312031;38.75016;367.2956;32.97279
4.163437;4.283587;177.6237;4.30825;38.93482;367.2938;33.199
4.177312;4.298437;176.5562;4.318594;37.99824;367.2938;32.23005
4.186406;4.308375;177.2313;4.327656;37.89395;367.2938;32.40122
4.1487;4.265156;177.1275;4.286937;37.61768;367.2937;32.86412
4.164375;4.283606;177.8712;4.316156;38.90726;367.2919;32.92412
4.176;4.297631;176.7287;4.309093;37.38337;367.2919;32.39645
4.180931;4.302375;177.1288;4.32775;38.54313;367.2919;32.61283
4.16175;4.281281;177.7112;4.317625;39.56034;367.29;33.00311
4.175869;4.29705;177.515;4.319625;38.15967;367.29;32.98351
4.186444;4.307925;177.1787;4.326781;37.93289;367.29;32.42994
4.178306;4.298981;176.6075;4.312407;37.41116;367.2881;32.24651
4.177481;4.298738;176.995;4.31925;38.12395;367.2881;32.31114
4.143619;4.260787;178.4837;4.294188;38.85345;367.2863;33.34519
4.166981;4.28535;178.1225;4.322813;39.40724;367.2863;33.26724
4.250513;4.374225;176.775;4.391687;37.32553;367.2863;30.91943
4.129894;4.246556;176.815;4.277469;38.42025;367.2844;32.74645
4.163456;4.282556;177.8;4.316093;38.74231;367.2844;32.99694
4.186125;4.307343;177.1187;4.332187;38.17698;367.2844;32.47766
4.185843;4.308656;177.38;4.33325;38.77269;367.2825;32.72675
4.192538;4.314094;176.5975;4.3385;38.08579;367.2806;32.27744
4.189013;4.311;177.0188;4.326;37.6077;367.2806;32.43756
4.1439;4.259831;178.1913;4.282781;37.73333;367.2731;33.36966
4.171744;4.290056;176.8537;4.322344;39.37402;367.2675;32.8677
4.159312;4.278018;177.3837;4.316281;39.62955;367.2675;32.67444
4.179525;4.301044;177.0575;4.323094;38.2298;367.2675;32.36114
4.178719;4.299281;176.6313;4.322187;38.27499;367.2656;32.12478
4.192781;4.313156;176.5812;4.335;38.03765;367.2656;32.26758
4.133606;4.250006;179.665;4.276844;38.63551;367.2638;33.50348
4.166532;4.285369;177.75;4.315844;38.71019;367.2637;33.00549
4.1604;4.278862;176.7063;4.310562;39.42273;367.2619;32.55384
4.167862;4.288294;177.4362;4.317906;38.81731;367.26;32.36629
4.15725;4.273969;177.8625;4.306094;38.90922;367.2563;32.70659
4.176131;4.297125;176.5688;4.319;38.26986;367.2506;32.15825
4.081425;4.197319;176.2887;4.233593;39.44042;367.2469;32.76038
4.161806;4.280437;177.7238;4.31725;39.60809;367.245;33.03874
4.160175;4.278788;177.7225;4.312625;39.82294;367.245;32.51397
4.163288;4.284563;176.8;4.310531;38.18561;367.2431;32.64816
4.161825;4.2804;177.7712;4.313906;39.57595;367.2412;33.00426
4.162538;4.28205;177.3662;4.320938;39.8602;367.2356;32.59346
4.174706;4.29705;176.7262;4.327375;38.92411;367.2356;31.9757
4.1505;4.266244;177.0275;4.289656;37.61671;367.2338;32.93802
4.2408;4.363856;176.865;4.382469;37.9787;367.2338;31.14745
4.160738;4.280681;177.39;4.299531;38.13522;367.2319;32.99432
4.160531;4.281113;177.6888;4.311781;39.10912;367.2319;32.99916
4.162875;4.28355;176.8087;4.312469;39.19328;367.2281;32.65038
4.192838;4.315031;176.6125;4.336094;38.11938;367.2263;32.30939
4.186237;4.307588;177.3038;4.332156;38.62473;367.2263;32.57548
4.149713;4.266187;176.9413;4.288343;37.61416;367.2225;32.80225
4.145362;4.261894;178.4325;4.289813;38.54652;367.2225;33.46593
4.160025;4.2807;177.7412;4.319031;39.85891;367.2206;33.02923
4.157344;4.277944;176.68;4.310906;39.20633;367.2206;32.56857
4.177556;4.299075;177.03;4.318187;37.98234;367.2206;32.17745
4.1595;4.276219;177.7875;4.304062;38.39164;367.2188;32.72188
4.174594;4.296038;176.7538;4.33;39.06574;367.2188;31.98846
4.163288;4.284712;176.8387;4.318187;39.23019;367.2169;32.82444
4.164731;4.283156;177.9175;4.312375;39.10875;367.215;32.97196
4.177875;4.298775;176.5988;4.317968;37.39053;367.215;32.36168
4.16985;4.287806;178.1738;4.315938;38.45095;367.2131;33.28238
4.164675;4.28325;177.4837;4.314031;39.07936;367.2131;32.69391
4.193438;4.315312;176.6375;4.335125;38.13448;367.2131;32.2645
4.186931;4.30905;177.1263;4.322563;37.86053;367.2131;32.47873
4.1622;4.281563;177.9162;4.321719;39.91528;367.2112;32.69747
4.162875;4.284132;177.3238;4.309625;38.80326;367.2112;32.33024
4.158187;4.275169;177.8712;4.302187;38.33868;367.2094;32.63564
4.143956;4.259794;178.5675;4.289844;38.90475;367.2056;33.30684
4.161994;4.280231;177.2663;4.314813;39.60811;367.2056;32.73455
4.164393;4.283419;177.8925;4.310875;39.07097;367.2037;33.00899
4.163063;4.283625;178.1563;4.312094;39.42064;367.2037;33.01946
4.170806;4.289288;177.2075;4.327875;39.33111;367.2019;32.76735
4.161956;4.280287;177.2325;4.31625;39.634;367.2019;32.6883
4.166794;4.287356;176.9475;4.318594;39.10297;367.2019;32.6452
4.244381;4.366969;176.8338;4.380906;37.91371;367.2019;31.11019
4.163813;4.282125;177.815;4.312156;38.7577;367.2;32.99162
4.175719;4.298156;177.0625;4.324219;38.65413;367.2;32.46437
4.192031;4.314356;176.62;4.336625;38.07184;367.2;32.40623
4.133456;4.250325;179.6113;4.278594;38.65429;367.1963;33.54231
4.165406;4.284525;178.1462;4.322281;39.42239;367.1944;33.30602
4.163194;4.281487;177.68;4.306781;38.61514;367.1906;32.81991
4.163981;4.283606;177.5825;4.314;38.95623;367.1888;33.22641
4.16565;4.286438;178.145;4.316937;38.28957;367.1888;32.92643
4.178813;4.299844;176.995;4.320125;38.08543;367.1869;32.32771
4.0818;4.197356;176.405;4.232969;39.52943;367.185;32.73828
4.15635;4.276688;176.8788;4.307156;39.41015;367.185;32.60305
4.162612;4.283325;177.2375;4.313594;38.76273;367.1831;32.42916
4.176563;4.297819;177.0713;4.324563;38.42624;367.1831;32.42005
4.148062;4.2645;176.8;4.285156;37.58164;367.1812;32.60493
4.160325;4.278956;177.6875;4.316594;39.82258;367.1794;32.69529
4.1778;4.298925;176.575;4.320656;38.28693;367.1775;32.00835
4.175475;4.296225;177.0713;4.323625;38.90118;367.1775;32.23817
