K5F5.PV;K5F6X.PV
37.7212;30.80108
37.72011;30.67719
37.71572;30.73502
37.71361;29.77103
37.71336;30.86327
37.71281;30.83007
37.7066;30.08846
37.70176;31.10533
37.70035;29.98927
37.69783;30.89636
37.6978;30.74203
37.69354;30.03384
37.69306;30.29086
37.69254;30.61911
37.69033;31.00824
37.68887;30.09995
37.68826;28.96366
37.68275;30.30415
37.67618;30.27818
37.67215;30.38325
37.65893;30.06178
37.65811;32.24379
37.65793;30.87289
37.65697;30.70667
37.65696;30.98367
37.65336;30.81546
37.6518;30.14965
37.63487;30.42791
37.63325;30.89787
37.63236;29.96345
37.62861;30.79918
37.62833;30.12835
37.6283;28.58616
37.62281;31.02033
37.61867;30.37452
37.61849;30.19637
37.60748;32.37525
37.60608;30.13572
37.6029;30.94285
37.60105;28.95346
37.59762;30.86612
37.59692;30.53104
37.59655;28.70019
37.59519;30.86062
37.59506;30.11967
37.59469;32.02839
37.58631;30.44198
37.58548;30.20061
37.58543;31.22825
37.58524;30.04195
37.58326;31.03175
37.5828;30.22582
37.57833;30.20469
37.57458;30.22176
37.57346;30.80172
37.57073;30.80682
37.5699;30.19657
37.56971;30.969
37.56837;30.66558
37.56509;30.2608
37.56121;28.34231
37.55951;30.19917
37.55649;30.2471
37.55459;29.97391
37.55099;30.33777
37.55;31.01393
37.54927;30.8013
37.54922;30.04435
37.54398;30.24449
37.53652;30.81342
37.53561;30.54876
37.53162;31.24373
37.53018;31.2576
37.515;30.59703
37.50824;29.0555
37.50381;29.4472
37.49997;30.97355
37.49291;30.4413
37.48579;30.52321
37.48131;30.79891
37.48002;30.39044
37.47756;31.03794
37.47748;30.87033
37.47726;30.94079
37.46903;30.78071
37.46416;30.50662
37.45552;29.88985
37.44812;29.97864
37.44794;29.99681
37.44292;30.05031
37.44206;30.14431
37.43645;30.75165
37.43046;31.34457
37.42985;30.90203
37.42942;29.97094
37.41785;30.66289
37.41545;30.38165
37.40594;30.97023
37.40275;30.13568
37.40072;29.9573
37.39283;30.75362
37.38324;30.15246
37.37874;29.28625
37.37582;30.15753
37.37529;30.09642
37.36418;30.83165
37.35445;30.75718
37.34656;30.46504
37.34557;30.72982
37.34126;30.90823
37.33915;30.04572
37.33895;29.28189
37.33274;30.6457
37.32663;29.60858
37.32408;30.8952
37.32302;30.22754
37.32246;29.32412
37.32213;30.32497
37.32178;30.092
37.3132;30.96954
37.31182;30.1883
37.30915;30.7269
37.30484;29.98087
37.30407;31.02008
37.30358;29.39601
37.30052;30.87716
37.29911;30.19538
37.2965;29.17982
37.29141;30.89266
37.28986;30.18068
37.28889;30.11565
37.28851;31.01447
37.28574;29.76859
37.28098;29.20376
37.28057;29.97141
37.27908;30.78264
37.27711;30.76058
37.27651;31.00792
37.27064;29.84398
37.26467;29.1153
37.2531;30.00077
37.24964;31.05389
37.24755;29.84893
37.2456;30.44002
37.24433;30.2426
37.24186;30.13603
37.24147;30.87697
37.23851;31.22411
37.23844;30.96708
37.23805;30.14859
37.23517;29.78382
37.23502;31.05969
37.22926;30.18304
37.22677;28.67538
37.22621;29.32837
37.22319;28.72612
37.22242;28.85694
37.22169;28.56354
37.2119;29.10624
37.20937;30.67019
37.20896;29.89881
37.20436;30.43222
37.20134;30.04932
37.19112;30.02522
37.1889;29.25516
37.18545;30.28113
37.1834;29.83074
37.1811;30.93997
37.17791;30.1937
37.17559;29.84705
37.16477;30.00194
37.1622;30.53609
37.15604;29.81553
37.15072;30.05028
37.15067;29.58608
37.14028;28.89093
37.12867;29.86881
37.12813;30.26537
37.12721;28.99938
37.12477;30.92461
37.12272;29.13397
37.11598;28.98433
37.10659;29.1182
37.10411;30.22668
37.10259;30.33016
37.10079;30.10936
37.09927;30.0741
37.09639;30.75981
37.09384;29.37086
37.09286;29.24964
37.08677;30.25937
37.08559;30.71176
37.07965;28.99555
37.07669;28.77403
37.07305;25.52025
37.06942;30.06381
37.06027;30.14289
37.0571;30.17159
37.05472;29.15879
37.05347;31.07046
37.05192;29.23624
37.04892;27.57579
37.04562;29.07428
37.04219;29.03732
37.04181;30.69454
37.03569;29.01945
37.03291;30.02481
37.03143;29.54645
37.02526;29.25498
37.01955;30.0061
37.01307;29.99824
37.01263;30.27738
37.01177;29.22437
37.00826;29.19927
37.00722;29.15832
37.00665;28.94929
37.00415;29.27833
37.00358;28.78271
37.00269;30.69583
37.00253;29.07143
37.00096;29.27733
36.99423;30.70052
36.99224;29.07302
36.97943;28.32866
36.97921;29.3545
36.97915;30.98668
36.97705;29.32138
36.9759;30.43398
36.97488;29.05461
36.97222;30.11308
36.96786;29.00002
36.96579;28.0841
36.96192;29.00805
36.96178;29.17601
36.96066;30.16661
36.95841;29.08008
36.95472;30.04366
36.95423;29.81326
36.94511;30.16413
36.94438;29.2967
36.93865;28.94564
36.93791;29.28774
36.93233;29.60287
36.9321;28.97844
36.9306;30.90731
36.92746;30.40512
36.92588;28.07133
36.91822;27.75971
36.91737;27.98984
36.91648;31.08205
36.91429;28.20922
36.90955;30.09636
36.90874;28.38082
36.90862;29.13189
36.90625;28.76762
36.89697;28.99524
36.89267;29.16339
36.88858;29.12602
36.88253;29.29491
36.88183;29.2416
36.87688;30.57759
36.86084;30.17136
36.85931;28.50726
36.85777;30.77023
36.85589;29.09372
36.85277;31.458
36.85007;29.80822
36.84062;29.71461
36.8344;31.08054
36.83141;29.17234
36.82933;29.52175
36.82563;29.37164
36.82295;30.89373
36.82248;28.32661
36.82209;30.92006
36.81942;29.88925
36.81661;31.43442
36.81479;29.49609
36.81348;28.84464
36.81154;29.32718
36.80926;30.7049
36.80898;29.43737
36.8064;29.27768
36.80049;29.35976
36.79702;29.13391
36.79095;28.55861
36.78697;29.70225
36.78234;30.22297
36.77603;29.83675
36.77321;29.00014
36.77148;29.30789
36.76929;31.49348
36.76727;29.74236
36.76384;28.95236
36.76155;28.79814
36.75235;30.47357
36.73723;29.12137
36.73452;29.38272
36.72625;29.66551
36.71378;29.42753
36.70069;27.95127
36.70028;30.70649
36.69484;29.78366
36.68291;28.0128
36.6829;28.56936
36.682;30.16008
36.68088;29.1862
36.68015;30.06452
36.67864;29.07397
36.67676;29.18604
36.67516;29.79445
36.66263;30.41445
