K5PS14_1.PV;K0P102_1.PV
4.1448;4.1214
4.183106;4.1214
4.202775;4.121381
4.184813;4.121381
4.142588;4.121363
4.201125;4.121363
4.183163;4.121363
4.149938;4.121362
4.142344;4.121344
4.201875;4.121344
4.199587;4.121325
4.183181;4.121325
4.18305;4.121325
4.2021;4.121306
4.185788;4.121306
4.183669;4.121287
4.196588;4.121269
4.149019;4.12125
4.143375;4.12125
4.199775;4.12125
4.15575;4.121231
4.203469;4.121212
4.185806;4.121212
4.145044;4.121194
4.196494;4.121194
4.146;4.121175
4.148044;4.121175
4.202868;4.121175
4.198106;4.121175
4.143225;4.121156
4.198819;4.121138
4.198556;4.121138
4.180763;4.121138
4.146263;4.121119
4.145231;4.1211
4.171894;4.1211
4.181025;4.1211
4.182619;4.1211
4.195837;4.121081
4.206187;4.121063
4.195669;4.121062
4.18035;4.121062
4.200469;4.121025
4.134037;4.121006
4.188656;4.120987
4.142888;4.120969
4.186256;4.120969
4.185244;4.120969
4.195931;4.12095
4.198706;4.12095
4.185394;4.12095
4.183744;4.12095
4.151156;4.120931
4.144181;4.120931
4.198481;4.120931
4.145794;4.120894
4.144988;4.120894
4.172681;4.120894
4.19925;4.120893
4.145681;4.120875
4.143319;4.120875
4.183162;4.120875
4.198913;4.120856
4.204163;4.120838
4.198256;4.120837
4.142325;4.120819
4.204687;4.120819
4.206375;4.1208
4.181888;4.1208
4.146394;4.120781
4.199775;4.120781
4.147594;4.120763
4.195069;4.120762
4.142175;4.120744
4.199175;4.120744
4.19775;4.120744
4.198537;4.120725
4.186331;4.120725
4.148869;4.120706
4.197488;4.120706
4.148812;4.120687
4.195462;4.120687
4.195369;4.120687
4.143188;4.120669
4.188469;4.120669
4.195031;4.12065
4.142737;4.120631
4.206581;4.120631
4.1979;4.120631
4.201406;4.120631
4.180707;4.120631
4.178156;4.120631
4.198613;4.120613
4.1955;4.120594
4.197675;4.120594
4.148362;4.120575
4.13745;4.120575
4.196213;4.120575
4.192538;4.120575
4.1988;4.120556
4.195819;4.120556
4.204256;4.120538
4.143994;4.120537
4.145381;4.120537
4.19625;4.120537
4.182319;4.120537
4.183012;4.120519
4.179112;4.1205
4.166175;4.120481
4.203113;4.120481
4.183087;4.120481
4.143938;4.120462
4.204219;4.120462
4.195781;4.120462
4.177369;4.120462
4.143356;4.120444
4.177144;4.120444
4.144219;4.120425
4.14285;4.120425
4.191806;4.120425
4.185281;4.120425
4.184681;4.120425
4.185731;4.120425
4.182581;4.120425
4.18215;4.120425
4.174969;4.120425
4.145813;4.120406
4.199006;4.120406
4.177613;4.120388
4.141556;4.120369
4.149394;4.120369
4.147537;4.120331
4.144575;4.120331
4.180125;4.120313
4.141669;4.120294
4.142982;4.120275
4.141969;4.120275
4.184606;4.120275
4.195856;4.120256
4.184419;4.120256
4.181269;4.120256
4.145062;4.120237
4.145494;4.120219
4.185263;4.120219
4.202662;4.1202
4.196869;4.1202
4.171125;4.120181
4.181456;4.120162
4.144238;4.120144
4.140375;4.120144
4.195988;4.120144
4.198294;4.120144
4.178156;4.120143
4.141387;4.120125
4.196981;4.120125
4.182844;4.120125
